case_id,rules,fact,chain_steps,target_trajectory,predicted_trajectory,correct,steps_expected,steps_observed,minimum_logit_margin
0,A->B;B->C;C->D;D->STOP,A,4,B C D STOP,B C D STOP,True,4,4,0.9999990997193113
1,A->B;B->C;C->D;D->STOP,B,3,C D STOP,C D STOP,True,3,3,0.9999992122543088
2,A->B;B->C;C->D;D->STOP,C,2,D STOP,D STOP,True,2,2,0.9999993247893315
3,A->B;B->C;C->D;D->STOP,D,1,STOP,STOP,True,1,1,0.9999994373243796
4,A->B;B->D;D->C;C->STOP,A,4,B D C STOP,B D C STOP,True,4,4,0.9999990997193113
5,A->B;B->D;D->C;C->STOP,B,3,D C STOP,D C STOP,True,3,3,0.9999992122543088
6,A->B;B->D;D->C;C->STOP,D,2,C STOP,C STOP,True,2,2,0.9999993247893315
7,A->B;B->D;D->C;C->STOP,C,1,STOP,STOP,True,1,1,0.9999994373243796
8,A->C;C->B;B->D;D->STOP,A,4,C B D STOP,C B D STOP,True,4,4,0.9999990997193113
9,A->C;C->B;B->D;D->STOP,C,3,B D STOP,B D STOP,True,3,3,0.9999992122543088
10,A->C;C->B;B->D;D->STOP,B,2,D STOP,D STOP,True,2,2,0.9999993247893315
11,A->C;C->B;B->D;D->STOP,D,1,STOP,STOP,True,1,1,0.9999994373243796
12,A->C;C->D;D->B;B->STOP,A,4,C D B STOP,C D B STOP,True,4,4,0.9999990997193113
13,A->C;C->D;D->B;B->STOP,C,3,D B STOP,D B STOP,True,3,3,0.9999992122543088
14,A->C;C->D;D->B;B->STOP,D,2,B STOP,B STOP,True,2,2,0.9999993247893315
15,A->C;C->D;D->B;B->STOP,B,1,STOP,STOP,True,1,1,0.9999994373243796
16,A->D;D->B;B->C;C->STOP,A,4,D B C STOP,D B C STOP,True,4,4,0.9999990997193113
17,A->D;D->B;B->C;C->STOP,D,3,B C STOP,B C STOP,True,3,3,0.9999992122543088
18,A->D;D->B;B->C;C->STOP,B,2,C STOP,C STOP,True,2,2,0.9999993247893315
19,A->D;D->B;B->C;C->STOP,C,1,STOP,STOP,True,1,1,0.9999994373243796
20,A->D;D->C;C->B;B->STOP,A,4,D C B STOP,D C B STOP,True,4,4,0.9999990997193113
21,A->D;D->C;C->B;B->STOP,D,3,C B STOP,C B STOP,True,3,3,0.9999992122543088
22,A->D;D->C;C->B;B->STOP,C,2,B STOP,B STOP,True,2,2,0.9999993247893315
23,A->D;D->C;C->B;B->STOP,B,1,STOP,STOP,True,1,1,0.9999994373243796
24,B->A;A->C;C->D;D->STOP,B,4,A C D STOP,A C D STOP,True,4,4,0.9999990997193113
25,B->A;A->C;C->D;D->STOP,A,3,C D STOP,C D STOP,True,3,3,0.9999992122543088
26,B->A;A->C;C->D;D->STOP,C,2,D STOP,D STOP,True,2,2,0.9999993247893315
27,B->A;A->C;C->D;D->STOP,D,1,STOP,STOP,True,1,1,0.9999994373243796
28,B->A;A->D;D->C;C->STOP,B,4,A D C STOP,A D C STOP,True,4,4,0.9999990997193113
29,B->A;A->D;D->C;C->STOP,A,3,D C STOP,D C STOP,True,3,3,0.9999992122543088
30,B->A;A->D;D->C;C->STOP,D,2,C STOP,C STOP,True,2,2,0.9999993247893315
31,B->A;A->D;D->C;C->STOP,C,1,STOP,STOP,True,1,1,0.9999994373243796
32,B->C;C->A;A->D;D->STOP,B,4,C A D STOP,C A D STOP,True,4,4,0.9999990997193113
33,B->C;C->A;A->D;D->STOP,C,3,A D STOP,A D STOP,True,3,3,0.9999992122543088
34,B->C;C->A;A->D;D->STOP,A,2,D STOP,D STOP,True,2,2,0.9999993247893315
35,B->C;C->A;A->D;D->STOP,D,1,STOP,STOP,True,1,1,0.9999994373243796
36,B->C;C->D;D->A;A->STOP,B,4,C D A STOP,C D A STOP,True,4,4,0.9999990997193113
37,B->C;C->D;D->A;A->STOP,C,3,D A STOP,D A STOP,True,3,3,0.9999992122543088
38,B->C;C->D;D->A;A->STOP,D,2,A STOP,A STOP,True,2,2,0.9999993247893315
39,B->C;C->D;D->A;A->STOP,A,1,STOP,STOP,True,1,1,0.9999994373243796
40,B->D;D->A;A->C;C->STOP,B,4,D A C STOP,D A C STOP,True,4,4,0.9999990997193113
41,B->D;D->A;A->C;C->STOP,D,3,A C STOP,A C STOP,True,3,3,0.9999992122543088
42,B->D;D->A;A->C;C->STOP,A,2,C STOP,C STOP,True,2,2,0.9999993247893315
43,B->D;D->A;A->C;C->STOP,C,1,STOP,STOP,True,1,1,0.9999994373243796
44,B->D;D->C;C->A;A->STOP,B,4,D C A STOP,D C A STOP,True,4,4,0.9999990997193113
45,B->D;D->C;C->A;A->STOP,D,3,C A STOP,C A STOP,True,3,3,0.9999992122543088
46,B->D;D->C;C->A;A->STOP,C,2,A STOP,A STOP,True,2,2,0.9999993247893315
47,B->D;D->C;C->A;A->STOP,A,1,STOP,STOP,True,1,1,0.9999994373243796
48,C->A;A->B;B->D;D->STOP,C,4,A B D STOP,A B D STOP,True,4,4,0.9999990997193113
49,C->A;A->B;B->D;D->STOP,A,3,B D STOP,B D STOP,True,3,3,0.9999992122543088
50,C->A;A->B;B->D;D->STOP,B,2,D STOP,D STOP,True,2,2,0.9999993247893315
