task,topology,legal_cases,correct_cases,accuracy,expected_full_pass,observed_full_pass,expectation_met,minimum_logit_margin,claim_scope
successor,sa_only,3,0,0.0,False,False,True,1.0,fixed_weight_constructive_representability_only
successor,ff_only,3,3,1.0,True,True,True,1.0,fixed_weight_constructive_representability_only
successor,sa_ff,3,3,1.0,True,True,True,1.0,fixed_weight_constructive_representability_only
pair_lookup,sa_only,18,18,1.0,True,True,True,0.999999549859453,fixed_weight_constructive_representability_only
pair_lookup,ff_only,18,6,0.3333333333333333,False,False,True,0.0,fixed_weight_constructive_representability_only
pair_lookup,sa_ff,18,18,1.0,True,True,True,0.999999549859453,fixed_weight_constructive_representability_only
grandparent,sa_only,2,2,1.0,True,True,True,0.9999995498566162,fixed_weight_constructive_representability_only
grandparent,ff_only,2,0,0.0,False,False,True,0.0,fixed_weight_constructive_representability_only
grandparent,sa_ff,2,2,1.0,True,True,True,0.9999995498566162,fixed_weight_constructive_representability_only
grandparent,sa_only_1layer,2,0,0.0,False,False,True,0.0,fixed_weight_constructive_representability_only
