sequence,target,prediction,correct,attention_probability,attention_probability_margin,logit_margin
PAIR_A_A PAIR_B_B PAIR_C_C QUERY_A,A,A,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_A PAIR_B_B PAIR_C_C QUERY_B,B,B,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_A PAIR_B_B PAIR_C_C QUERY_C,C,C,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_A PAIR_B_C PAIR_C_B QUERY_A,A,A,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_A PAIR_B_C PAIR_C_B QUERY_B,C,C,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_A PAIR_B_C PAIR_C_B QUERY_C,B,B,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_B PAIR_B_A PAIR_C_C QUERY_A,B,B,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_B PAIR_B_A PAIR_C_C QUERY_B,A,A,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_B PAIR_B_A PAIR_C_C QUERY_C,C,C,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_B PAIR_B_C PAIR_C_A QUERY_A,B,B,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_B PAIR_B_C PAIR_C_A QUERY_B,C,C,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_B PAIR_B_C PAIR_C_A QUERY_C,A,A,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_C PAIR_B_A PAIR_C_B QUERY_A,C,C,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_C PAIR_B_A PAIR_C_B QUERY_B,A,A,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_C PAIR_B_A PAIR_C_B QUERY_C,B,B,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_C PAIR_B_B PAIR_C_A QUERY_A,C,C,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_C PAIR_B_B PAIR_C_A QUERY_B,B,B,True,0.9999996623945898,0.999999549859453,0.999999549859453
PAIR_A_C PAIR_B_B PAIR_C_A QUERY_C,A,A,True,0.9999996623945898,0.999999549859453,0.999999549859453
