case_id,mapping,start,depth_to_root,target_trajectory,predicted_trajectory,correct,steps_expected,steps_observed,minimum_logit_margin
0,R->STOP;A->R;B->A;C->B,R,0,STOP,STOP,True,1,1,0.9999994373243796
1,R->STOP;A->R;B->A;C->B,A,1,R STOP,R STOP,True,2,2,0.9999993247893315
2,R->STOP;A->R;B->A;C->B,B,2,A R STOP,A R STOP,True,3,3,0.9999992122543088
3,R->STOP;A->R;B->A;C->B,C,3,B A R STOP,B A R STOP,True,4,4,0.9999990997193113
4,R->STOP;A->R;C->A;B->C,R,0,STOP,STOP,True,1,1,0.9999994373243796
5,R->STOP;A->R;C->A;B->C,A,1,R STOP,R STOP,True,2,2,0.9999993247893315
6,R->STOP;A->R;C->A;B->C,C,2,A R STOP,A R STOP,True,3,3,0.9999992122543088
7,R->STOP;A->R;C->A;B->C,B,3,C A R STOP,C A R STOP,True,4,4,0.9999990997193113
8,R->STOP;B->R;A->B;C->A,R,0,STOP,STOP,True,1,1,0.9999994373243796
9,R->STOP;B->R;A->B;C->A,B,1,R STOP,R STOP,True,2,2,0.9999993247893315
10,R->STOP;B->R;A->B;C->A,A,2,B R STOP,B R STOP,True,3,3,0.9999992122543088
11,R->STOP;B->R;A->B;C->A,C,3,A B R STOP,A B R STOP,True,4,4,0.9999990997193113
12,R->STOP;B->R;C->B;A->C,R,0,STOP,STOP,True,1,1,0.9999994373243796
13,R->STOP;B->R;C->B;A->C,B,1,R STOP,R STOP,True,2,2,0.9999993247893315
14,R->STOP;B->R;C->B;A->C,C,2,B R STOP,B R STOP,True,3,3,0.9999992122543088
15,R->STOP;B->R;C->B;A->C,A,3,C B R STOP,C B R STOP,True,4,4,0.9999990997193113
16,R->STOP;C->R;A->C;B->A,R,0,STOP,STOP,True,1,1,0.9999994373243796
17,R->STOP;C->R;A->C;B->A,C,1,R STOP,R STOP,True,2,2,0.9999993247893315
18,R->STOP;C->R;A->C;B->A,A,2,C R STOP,C R STOP,True,3,3,0.9999992122543088
19,R->STOP;C->R;A->C;B->A,B,3,A C R STOP,A C R STOP,True,4,4,0.9999990997193113
20,R->STOP;C->R;B->C;A->B,R,0,STOP,STOP,True,1,1,0.9999994373243796
21,R->STOP;C->R;B->C;A->B,C,1,R STOP,R STOP,True,2,2,0.9999993247893315
22,R->STOP;C->R;B->C;A->B,B,2,C R STOP,C R STOP,True,3,3,0.9999992122543088
23,R->STOP;C->R;B->C;A->B,A,3,B C R STOP,B C R STOP,True,4,4,0.9999990997193113
