case_id,condition,start,context_order,target_trajectory,predicted_trajectory,correct,minimum_signed_target_margin
0,reversed,R,C;B;A;R,STOP,STOP,True,0.9999994373243796
0,fixed_shuffle,R,A;C;R;B,STOP,STOP,True,0.9999994373243796
1,reversed,A,C;B;A;R,R STOP,R STOP,True,0.9999993247893315
1,fixed_shuffle,A,A;C;R;B,R STOP,R STOP,True,0.9999993247893315
2,reversed,B,C;B;A;R,A R STOP,A R STOP,True,0.9999992122543088
2,fixed_shuffle,B,A;C;R;B,A R STOP,A R STOP,True,0.9999992122543088
3,reversed,C,C;B;A;R,B A R STOP,B A R STOP,True,0.9999990997193113
3,fixed_shuffle,C,A;C;R;B,B A R STOP,B A R STOP,True,0.9999990997193113
4,reversed,R,B;C;A;R,STOP,STOP,True,0.9999994373243796
4,fixed_shuffle,R,A;B;R;C,STOP,STOP,True,0.9999994373243796
5,reversed,A,B;C;A;R,R STOP,R STOP,True,0.9999993247893315
5,fixed_shuffle,A,A;B;R;C,R STOP,R STOP,True,0.9999993247893315
6,reversed,C,B;C;A;R,A R STOP,A R STOP,True,0.9999992122543088
6,fixed_shuffle,C,A;B;R;C,A R STOP,A R STOP,True,0.9999992122543088
7,reversed,B,B;C;A;R,C A R STOP,C A R STOP,True,0.9999990997193113
7,fixed_shuffle,B,A;B;R;C,C A R STOP,C A R STOP,True,0.9999990997193113
8,reversed,R,C;A;B;R,STOP,STOP,True,0.9999994373243796
8,fixed_shuffle,R,B;C;R;A,STOP,STOP,True,0.9999994373243796
9,reversed,B,C;A;B;R,R STOP,R STOP,True,0.9999993247893315
9,fixed_shuffle,B,B;C;R;A,R STOP,R STOP,True,0.9999993247893315
10,reversed,A,C;A;B;R,B R STOP,B R STOP,True,0.9999992122543088
10,fixed_shuffle,A,B;C;R;A,B R STOP,B R STOP,True,0.9999992122543088
11,reversed,C,C;A;B;R,A B R STOP,A B R STOP,True,0.9999990997193113
11,fixed_shuffle,C,B;C;R;A,A B R STOP,A B R STOP,True,0.9999990997193113
12,reversed,R,A;C;B;R,STOP,STOP,True,0.9999994373243796
12,fixed_shuffle,R,B;A;R;C,STOP,STOP,True,0.9999994373243796
13,reversed,B,A;C;B;R,R STOP,R STOP,True,0.9999993247893315
13,fixed_shuffle,B,B;A;R;C,R STOP,R STOP,True,0.9999993247893315
14,reversed,C,A;C;B;R,B R STOP,B R STOP,True,0.9999992122543088
14,fixed_shuffle,C,B;A;R;C,B R STOP,B R STOP,True,0.9999992122543088
15,reversed,A,A;C;B;R,C B R STOP,C B R STOP,True,0.9999990997193113
15,fixed_shuffle,A,B;A;R;C,C B R STOP,C B R STOP,True,0.9999990997193113
16,reversed,R,B;A;C;R,STOP,STOP,True,0.9999994373243796
16,fixed_shuffle,R,C;B;R;A,STOP,STOP,True,0.9999994373243796
17,reversed,C,B;A;C;R,R STOP,R STOP,True,0.9999993247893315
17,fixed_shuffle,C,C;B;R;A,R STOP,R STOP,True,0.9999993247893315
18,reversed,A,B;A;C;R,C R STOP,C R STOP,True,0.9999992122543088
18,fixed_shuffle,A,C;B;R;A,C R STOP,C R STOP,True,0.9999992122543088
19,reversed,B,B;A;C;R,A C R STOP,A C R STOP,True,0.9999990997193113
19,fixed_shuffle,B,C;B;R;A,A C R STOP,A C R STOP,True,0.9999990997193113
20,reversed,R,A;B;C;R,STOP,STOP,True,0.9999994373243796
20,fixed_shuffle,R,C;A;R;B,STOP,STOP,True,0.9999994373243796
21,reversed,C,A;B;C;R,R STOP,R STOP,True,0.9999993247893315
21,fixed_shuffle,C,C;A;R;B,R STOP,R STOP,True,0.9999993247893315
22,reversed,B,A;B;C;R,C R STOP,C R STOP,True,0.9999992122543088
22,fixed_shuffle,B,C;A;R;B,C R STOP,C R STOP,True,0.9999992122543088
23,reversed,A,A;B;C;R,B C R STOP,B C R STOP,True,0.9999990997193113
23,fixed_shuffle,A,C;A;R;B,B C R STOP,B C R STOP,True,0.9999990997193113
