step,current,target,prediction,correct,winner_runner_up_margin,signed_target_margin,logit_margin,attention_probability,attention_probability_margin,sequence,case_id
1,A,B,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_A,0
1,B,C,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_B,1
1,C,D,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_C,2
1,D,STOP,STOP,True,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_C MAP_C_D MAP_D_STOP STATE_D,3
1,A,B,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_D MAP_D_C MAP_C_STOP STATE_A,4
1,B,D,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_D MAP_D_C MAP_C_STOP STATE_B,5
1,D,C,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_D MAP_D_C MAP_C_STOP STATE_D,6
1,C,STOP,STOP,True,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_B MAP_B_D MAP_D_C MAP_C_STOP STATE_C,7
1,A,C,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_C MAP_C_B MAP_B_D MAP_D_STOP STATE_A,8
1,C,B,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_C MAP_C_B MAP_B_D MAP_D_STOP STATE_C,9
1,B,D,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_C MAP_C_B MAP_B_D MAP_D_STOP STATE_B,10
1,D,STOP,STOP,True,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_C MAP_C_B MAP_B_D MAP_D_STOP STATE_D,11
1,A,C,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_C MAP_C_D MAP_D_B MAP_B_STOP STATE_A,12
1,C,D,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_C MAP_C_D MAP_D_B MAP_B_STOP STATE_C,13
1,D,B,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_C MAP_C_D MAP_D_B MAP_B_STOP STATE_D,14
1,B,STOP,STOP,True,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_C MAP_C_D MAP_D_B MAP_B_STOP STATE_B,15
1,A,D,STOP,False,0.0,0.0,0.0,0.9999995498595037,0.9999994373243796,MAP_A_D MAP_D_B MAP_B_C MAP_C_STOP STATE_A,16
