case_id,rules,fact,chain_steps,target_trajectory,predicted_trajectory,correct,steps_expected,steps_observed,minimum_logit_margin
0,A->B;B->C;C->D;D->STOP,A,4,B C D STOP,STOP,False,4,1,0.0
1,A->B;B->C;C->D;D->STOP,B,3,C D STOP,STOP,False,3,1,0.0
2,A->B;B->C;C->D;D->STOP,C,2,D STOP,STOP,False,2,1,0.0
3,A->B;B->C;C->D;D->STOP,D,1,STOP,STOP,True,1,1,0.0
4,A->B;B->D;D->C;C->STOP,A,4,B D C STOP,STOP,False,4,1,0.0
5,A->B;B->D;D->C;C->STOP,B,3,D C STOP,STOP,False,3,1,0.0
6,A->B;B->D;D->C;C->STOP,D,2,C STOP,STOP,False,2,1,0.0
7,A->B;B->D;D->C;C->STOP,C,1,STOP,STOP,True,1,1,0.0
8,A->C;C->B;B->D;D->STOP,A,4,C B D STOP,STOP,False,4,1,0.0
9,A->C;C->B;B->D;D->STOP,C,3,B D STOP,STOP,False,3,1,0.0
10,A->C;C->B;B->D;D->STOP,B,2,D STOP,STOP,False,2,1,0.0
11,A->C;C->B;B->D;D->STOP,D,1,STOP,STOP,True,1,1,0.0
12,A->C;C->D;D->B;B->STOP,A,4,C D B STOP,STOP,False,4,1,0.0
13,A->C;C->D;D->B;B->STOP,C,3,D B STOP,STOP,False,3,1,0.0
14,A->C;C->D;D->B;B->STOP,D,2,B STOP,STOP,False,2,1,0.0
15,A->C;C->D;D->B;B->STOP,B,1,STOP,STOP,True,1,1,0.0
16,A->D;D->B;B->C;C->STOP,A,4,D B C STOP,STOP,False,4,1,0.0
17,A->D;D->B;B->C;C->STOP,D,3,B C STOP,STOP,False,3,1,0.0
18,A->D;D->B;B->C;C->STOP,B,2,C STOP,STOP,False,2,1,0.0
19,A->D;D->B;B->C;C->STOP,C,1,STOP,STOP,True,1,1,0.0
20,A->D;D->C;C->B;B->STOP,A,4,D C B STOP,STOP,False,4,1,0.0
21,A->D;D->C;C->B;B->STOP,D,3,C B STOP,STOP,False,3,1,0.0
22,A->D;D->C;C->B;B->STOP,C,2,B STOP,STOP,False,2,1,0.0
23,A->D;D->C;C->B;B->STOP,B,1,STOP,STOP,True,1,1,0.0
24,B->A;A->C;C->D;D->STOP,B,4,A C D STOP,STOP,False,4,1,0.0
25,B->A;A->C;C->D;D->STOP,A,3,C D STOP,STOP,False,3,1,0.0
26,B->A;A->C;C->D;D->STOP,C,2,D STOP,STOP,False,2,1,0.0
