dependency_span,first_top1_layer,generator_family,model_seed,nuisance_count,nuisance_type,override_crossing_layer,pattern_length,predictive_family_id,settling_delay,stable_override_layer,stable_top1_layer,surface_identity_id,top1_reversal_count
2,1,balanced_pair,11,0,N0,,2,balanced_pair:0:0-0,0,,1,"test:balanced_pair:N0:aligned:(0, 0):0",1
2,1,balanced_pair,11,0,N0,,2,balanced_pair:0:0-0,0,,1,"test:balanced_pair:N0:aligned:(0, 0):1",1
2,1,balanced_pair,11,0,N0,,2,balanced_pair:0:0-0,0,,1,"test:balanced_pair:N0:aligned:(0, 0):2",1
2,1,balanced_pair,11,0,N0,,2,balanced_pair:0:0-0,0,,1,"test:balanced_pair:N0:aligned:(0, 0):3",1
2,1,balanced_pair,11,0,N0,,2,balanced_pair:0:0-0,,,,"test:balanced_pair:N0:randomized:(0, 0):0",2
2,1,balanced_pair,11,0,N0,,2,balanced_pair:0:0-0,,,,"test:balanced_pair:N0:randomized:(0, 0):1",2
2,2,balanced_pair,11,0,N0,,2,balanced_pair:0:0-0,,,,"test:balanced_pair:N0:randomized:(0, 0):2",2
2,2,balanced_pair,11,0,N0,,2,balanced_pair:0:0-0,,,,"test:balanced_pair:N0:randomized:(0, 0):3",2
2,3,balanced_pair,11,2,N2,,2,balanced_pair:0:0-0,6,,9,"test:balanced_pair:N2:aligned:(0, 0):0",5
2,2,balanced_pair,11,2,N2,,2,balanced_pair:0:0-0,0,,2,"test:balanced_pair:N2:aligned:(0, 0):1",1
2,4,balanced_pair,11,2,N2,,2,balanced_pair:0:0-0,6,,10,"test:balanced_pair:N2:aligned:(0, 0):2",3
2,2,balanced_pair,11,2,N2,,2,balanced_pair:0:0-0,8,,10,"test:balanced_pair:N2:aligned:(0, 0):3",7
2,6,balanced_pair,11,2,N2,,2,balanced_pair:0:0-0,,,,"test:balanced_pair:N2:randomized:(0, 0):0",4
2,6,balanced_pair,11,2,N2,,2,balanced_pair:0:0-0,,,,"test:balanced_pair:N2:randomized:(0, 0):1",2
2,5,balanced_pair,11,2,N2,,2,balanced_pair:0:0-0,12,,17,"test:balanced_pair:N2:randomized:(0, 0):2",9
2,6,balanced_pair,11,2,N2,,2,balanced_pair:0:0-0,,,,"test:balanced_pair:N2:randomized:(0, 0):3",2
2,4,balanced_pair,11,2,N3,,2,balanced_pair:0:0-0,6,,10,"test:balanced_pair:N3:aligned:(0, 0):0",5
2,4,balanced_pair,11,2,N3,,2,balanced_pair:0:0-0,6,,10,"test:balanced_pair:N3:aligned:(0, 0):1",3
2,4,balanced_pair,11,2,N3,,2,balanced_pair:0:0-0,0,,4,"test:balanced_pair:N3:aligned:(0, 0):2",1
2,4,balanced_pair,11,2,N3,,2,balanced_pair:0:0-0,6,,10,"test:balanced_pair:N3:aligned:(0, 0):3",5
2,2,balanced_pair,11,2,N3,,2,balanced_pair:0:0-0,,,,"test:balanced_pair:N3:randomized:(0, 0):0",4
2,2,balanced_pair,11,2,N3,,2,balanced_pair:0:0-0,,,,"test:balanced_pair:N3:randomized:(0, 0):1",6
2,4,balanced_pair,11,2,N3,,2,balanced_pair:0:0-0,,,,"test:balanced_pair:N3:randomized:(0, 0):2",10
