delta_variance_ff,delta_variance_norm,delta_variance_sa,depth,layer,model_seed,nuisance_distance,nuisance_type,post_ff_signal,post_ff_variance,post_norm_variance,post_sa_signal,post_sa_variance,pre_sa_signal,pre_sa_variance,predictive_span,regime,trained_window,window
-1.7825037564087154,-0.4566575145800016,39.894377678861176,2,0,11,16,N1,-5.089924816042185,50.655216235631215,12.086684798598753,-9.16337238252163,52.43771999203993,-24.77093267440796,12.543342313178755,2,full_attention,full,full
-29.280646972911136,-2.358651284936471,-20.04483612699959,2,1,11,16,N1,12.662724182009697,1.3297331357204898,48.296564950694744,4.462141640484333,30.610380108631624,-5.089924816042185,50.655216235631215,2,full_attention,full,full
0.7786811580772479,-0.4566575145800016,36.714778076313465,2,0,11,16,N2,-4.777045764029026,50.03680154756947,12.086684798598753,-7.65357007086277,49.25812038949222,-24.77093267440796,12.543342313178755,2,full_attention,full,full
-25.079697104289796,-1.466446435048013,-23.56441184081371,2,1,11,16,N2,12.60835562646389,1.3926926024659596,48.570355112521455,5.001858189702034,26.472389706755756,-4.777045764029026,50.03680154756947,2,full_attention,full,full
-0.4255865563064418,-0.4566575145800016,38.68818330630182,2,0,11,16,N3,-5.040117423981428,50.80593906317414,12.086684798598753,-8.923808179795742,51.23152561948058,-24.77093267440796,12.543342313178755,2,full_attention,full,full
-29.065765468902462,-2.568057117514229,-20.633924460933606,2,1,11,16,N3,12.5970029681921,1.1062491333380673,48.23788194565991,4.478061944246292,30.17201460224053,-5.040117423981428,50.80593906317414,2,full_attention,full,full
4.470772121521335,-0.4566575145800016,23.537375350663112,2,0,11,16,N1,-5.76548445224762,40.5514897853632,12.086684798598753,-12.145750850439072,36.08071766384187,-24.77093267440796,12.543342313178755,2,signal_only_reachable,full,1
51.37700074972386,0.651572435924912,64.2973316210585,2,1,11,16,N1,-7.922199249267578,156.22582215614557,41.203062221288114,-7.96353879570961,104.8488214064217,-5.76548445224762,40.5514897853632,2,signal_only_reachable,full,1
4.470772121521335,-0.4566575145800016,23.537375350663112,2,0,11,16,N2,-5.76548445224762,40.5514897853632,12.086684798598753,-12.145750850439072,36.08071766384187,-24.77093267440796,12.543342313178755,2,signal_only_reachable,full,1
51.37700074972386,0.651572435924912,64.2973316210585,2,1,11,16,N2,-7.922199249267578,156.22582215614557,41.203062221288114,-7.96353879570961,104.8488214064217,-5.76548445224762,40.5514897853632,2,signal_only_reachable,full,1
4.470772121521335,-0.4566575145800016,23.537375350663112,2,0,11,16,N3,-5.76548445224762,40.5514897853632,12.086684798598753,-12.145750850439072,36.08071766384187,-24.77093267440796,12.543342313178755,2,signal_only_reachable,full,1
51.37700074972386,0.651572435924912,64.2973316210585,2,1,11,16,N3,-7.922199249267578,156.22582215614557,41.203062221288114,-7.96353879570961,104.8488214064217,-5.76548445224762,40.5514897853632,2,signal_only_reachable,full,1
-7.105444329035201,-0.4566575145800016,43.92904852869715,2,0,11,16,N1,-5.926445923745632,49.366946512840705,12.086684798598753,-12.150334008038044,56.47239084187591,-24.77093267440796,12.543342313178755,2,signal_and_nuisance_reachable,full,16
51.67025702534907,-2.7840325057730126,59.68752918312665,2,1,11,16,N1,2.2765945568680763,160.72473272131643,46.58291400706769,-5.0305777713656425,109.05447569596735,-5.926445923745632,49.366946512840705,2,signal_and_nuisance_reachable,full,16
-4.338379046574822,-0.4566575145800016,40.424813186020806,2,0,11,16,N2,-5.045489188283682,48.62977645262474,12.086684798598753,-9.54624554514885,52.96815549919956,-24.77093267440796,12.543342313178755,2,signal_and_nuisance_reachable,full,16
36.474128419052704,-2.5965856266675473,62.224012841456116,2,1,11,16,N2,2.1170256584882736,147.32791771313356,46.03319082595719,-4.4798731952905655,110.85378929408085,-5.045489188283682,48.62977645262474,2,signal_and_nuisance_reachable,full,16
-5.011204431326121,-0.4566575145800016,41.06428698441786,2,0,11,16,N3,-5.8712673261761665,48.596424866270496,12.086684798598753,-12.178734600543976,53.60762929759662,-24.77093267440796,12.543342313178755,2,signal_and_nuisance_reachable,full,16
49.73062668876783,-2.730546121325659,61.72358207551339,2,1,11,16,N3,2.0244462937116623,160.05063363055172,45.86587874494484,-5.065026186406612,110.32000694178389,-5.8712673261761665,48.596424866270496,2,signal_and_nuisance_reachable,full,16
-1.3548818525128468,-0.4566575145800016,36.05698155845772,2,0,11,16,N1,-9.17552450299263,47.24544201912363,12.086684798598753,-16.33652773499489,48.600323871636476,-24.77093267440796,12.543342313178755,2,signal_only_reachable,full,2
86.14970943091348,0.7487650013300282,31.31397904155409,2,1,11,16,N1,-5.899786204099655,164.7091304915912,47.99420702045366,-12.10871970653534,78.55942106067772,-9.17552450299263,47.24544201912363,2,signal_only_reachable,full,2
-1.3548818525128468,-0.4566575145800016,36.05698155845772,2,0,11,16,N2,-9.17552450299263,47.24544201912363,12.086684798598753,-16.33652773499489,48.600323871636476,-24.77093267440796,12.543342313178755,2,signal_only_reachable,full,2
