accuracy,architecture_depth,mean_final_margin,model_seed,n,nuisance_count,pattern_length,position_mode,regime,span_mode
1.0,8,9.810416102409363,11,32,0,2,aligned,redundant,contiguous
1.0,8,8.935114711523056,11,32,0,2,randomized,redundant,contiguous
1.0,8,9.71465677022934,11,32,0,2,aligned,redundant,sparse
1.0,8,9.0380038022995,11,32,0,2,randomized,redundant,sparse
1.0,8,11.24660536646843,11,32,2,2,aligned,redundant,contiguous
1.0,8,11.033046901226044,11,32,2,2,randomized,redundant,contiguous
1.0,8,11.132845133543015,11,32,2,2,aligned,redundant,sparse
1.0,8,10.20720425248146,11,32,2,2,randomized,redundant,sparse
1.0,8,11.363617271184921,11,32,4,2,aligned,redundant,contiguous
1.0,8,10.447770178318024,11,32,4,2,randomized,redundant,contiguous
1.0,8,11.153972059488297,11,32,4,2,aligned,redundant,sparse
1.0,8,9.685566812753677,11,32,4,2,randomized,redundant,sparse
1.0,8,11.631790906190872,11,32,8,2,aligned,redundant,contiguous
1.0,8,10.611056447029114,11,32,8,2,randomized,redundant,contiguous
1.0,8,10.971565514802933,11,32,8,2,aligned,redundant,sparse
1.0,8,10.485772848129272,11,32,8,2,randomized,redundant,sparse
0.96875,8,10.223782181739807,11,32,0,3,aligned,redundant,contiguous
1.0,8,9.933110907673836,11,32,0,3,randomized,redundant,contiguous
0.96875,8,10.28864598274231,11,32,0,3,aligned,redundant,sparse
0.96875,8,9.807511776685715,11,32,0,3,randomized,redundant,sparse
1.0,8,10.698759883642197,11,32,2,3,aligned,redundant,contiguous
1.0,8,10.399902760982513,11,32,2,3,randomized,redundant,contiguous
1.0,8,10.862570106983185,11,32,2,3,aligned,redundant,sparse
1.0,8,10.451538383960724,11,32,2,3,randomized,redundant,sparse
0.96875,8,10.346562445163727,11,32,4,3,aligned,redundant,contiguous
0.96875,8,9.398583143949509,11,32,4,3,randomized,redundant,contiguous
0.96875,8,10.057429760694504,11,32,4,3,aligned,redundant,sparse
0.96875,8,9.571493297815323,11,32,4,3,randomized,redundant,sparse
0.96875,8,9.56812646985054,11,32,8,3,aligned,redundant,contiguous
1.0,8,9.957824468612671,11,32,8,3,randomized,redundant,contiguous
0.96875,8,9.353706061840057,11,32,8,3,aligned,redundant,sparse
1.0,8,9.714011043310165,11,32,8,3,randomized,redundant,sparse
0.96875,8,10.093430399894714,11,32,0,4,aligned,redundant,contiguous
0.96875,8,9.455351769924164,11,32,0,4,randomized,redundant,contiguous
0.96875,8,10.101088464260101,11,32,0,4,aligned,redundant,sparse
0.9375,8,8.585334330797195,11,32,0,4,randomized,redundant,sparse
0.90625,8,8.976258248090744,11,32,2,4,aligned,redundant,contiguous
0.875,8,8.319073423743248,11,32,2,4,randomized,redundant,contiguous
0.96875,8,9.264816373586655,11,32,2,4,aligned,redundant,sparse
0.875,8,8.227611750364304,11,32,2,4,randomized,redundant,sparse
0.9375,8,9.393413007259369,11,32,4,4,aligned,redundant,contiguous
1.0,8,9.571536898612976,11,32,4,4,randomized,redundant,contiguous
1.0,8,9.411897361278534,11,32,4,4,aligned,redundant,sparse
1.0,8,9.795664548873901,11,32,4,4,randomized,redundant,sparse
1.0,8,9.222402542829514,11,32,8,4,aligned,redundant,contiguous
1.0,8,9.060553535819054,11,32,8,4,randomized,redundant,contiguous
1.0,8,9.640317514538765,11,32,8,4,aligned,redundant,sparse
0.96875,8,9.305253326892853,11,32,8,4,randomized,redundant,sparse
0.875,8,8.577091574668884,11,32,0,6,aligned,redundant,contiguous
0.90625,8,8.939406618475914,11,32,0,6,randomized,redundant,contiguous
1.0,8,9.557714313268661,11,32,0,6,aligned,redundant,sparse
0.96875,8,8.801130399107933,11,32,0,6,randomized,redundant,sparse
0.96875,8,9.763637825846672,11,32,2,6,aligned,redundant,contiguous
1.0,8,9.515112906694412,11,32,2,6,randomized,redundant,contiguous
1.0,8,10.041481494903564,11,32,2,6,aligned,redundant,sparse
1.0,8,9.282489001750946,11,32,2,6,randomized,redundant,sparse
1.0,8,9.384568676352501,11,32,4,6,aligned,redundant,contiguous
1.0,8,10.25047880411148,11,32,4,6,randomized,redundant,contiguous
1.0,8,10.027383506298065,11,32,4,6,aligned,redundant,sparse
1.0,8,9.744310408830643,11,32,4,6,randomized,redundant,sparse
1.0,8,10.102706387639046,11,32,8,6,aligned,redundant,contiguous
1.0,8,10.052828252315521,11,32,8,6,randomized,redundant,contiguous
1.0,8,10.34570387005806,11,32,8,6,aligned,redundant,sparse
1.0,8,10.501295626163483,11,32,8,6,randomized,redundant,sparse
1.0,8,9.102283343672752,11,32,0,8,aligned,redundant,contiguous
0.96875,8,8.616152241826057,11,32,0,8,randomized,redundant,contiguous
1.0,8,10.342247396707535,11,32,0,8,aligned,redundant,sparse
0.96875,8,8.95404601097107,11,32,0,8,randomized,redundant,sparse
1.0,8,8.004445031285286,11,32,2,8,aligned,redundant,contiguous
1.0,8,8.27631177008152,11,32,2,8,randomized,redundant,contiguous
1.0,8,9.076567262411118,11,32,2,8,aligned,redundant,sparse
0.96875,8,8.04317307472229,11,32,2,8,randomized,redundant,sparse
1.0,8,8.216409251093864,11,32,4,8,aligned,redundant,contiguous
1.0,8,8.058751419186592,11,32,4,8,randomized,redundant,contiguous
1.0,8,8.888357400894165,11,32,4,8,aligned,redundant,sparse
1.0,8,8.579090550541878,11,32,4,8,randomized,redundant,sparse
0.96875,8,8.931152760982513,11,32,8,8,aligned,redundant,contiguous
0.9375,8,8.99011778831482,11,32,8,8,randomized,redundant,contiguous
1.0,8,9.761173367500305,11,32,8,8,aligned,redundant,sparse
1.0,8,9.526575773954391,11,32,8,8,randomized,redundant,sparse
1.0,8,10.773675173521042,11,32,0,2,aligned,supportive,contiguous
1.0,8,10.071460455656052,11,32,0,2,randomized,supportive,contiguous
1.0,8,11.067365378141403,11,32,0,2,aligned,supportive,sparse
1.0,8,10.087915480136871,11,32,0,2,randomized,supportive,sparse
1.0,8,10.78185087442398,11,32,2,2,aligned,supportive,contiguous
1.0,8,10.296216487884521,11,32,2,2,randomized,supportive,contiguous
1.0,8,10.712561696767807,11,32,2,2,aligned,supportive,sparse
1.0,8,9.89715513586998,11,32,2,2,randomized,supportive,sparse
1.0,8,11.864305347204208,11,32,4,2,aligned,supportive,contiguous
0.96875,8,10.124361753463745,11,32,4,2,randomized,supportive,contiguous
1.0,8,11.197976469993591,11,32,4,2,aligned,supportive,sparse
0.96875,8,10.167981088161469,11,32,4,2,randomized,supportive,sparse
1.0,8,10.462915897369385,11,32,8,2,aligned,supportive,contiguous
1.0,8,9.217061132192612,11,32,8,2,randomized,supportive,contiguous
1.0,8,10.50540691614151,11,32,8,2,aligned,supportive,sparse
1.0,8,9.22180849313736,11,32,8,2,randomized,supportive,sparse
1.0,8,12.700344234704971,11,32,0,3,aligned,supportive,contiguous
1.0,8,10.349244266748428,11,32,0,3,randomized,supportive,contiguous
1.0,8,12.4561527967453,11,32,0,3,aligned,supportive,sparse
0.96875,8,9.242331206798553,11,32,0,3,randomized,supportive,sparse
1.0,8,13.466351300477982,11,32,2,3,aligned,supportive,contiguous
1.0,8,11.228317201137543,11,32,2,3,randomized,supportive,contiguous
1.0,8,13.507340252399445,11,32,2,3,aligned,supportive,sparse
0.96875,8,10.945667624473572,11,32,2,3,randomized,supportive,sparse
1.0,8,11.261916548013687,11,32,4,3,aligned,supportive,contiguous
1.0,8,9.486597269773483,11,32,4,3,randomized,supportive,contiguous
1.0,8,10.821853756904602,11,32,4,3,aligned,supportive,sparse
1.0,8,9.51503849029541,11,32,4,3,randomized,supportive,sparse
1.0,8,13.198043525218964,11,32,8,3,aligned,supportive,contiguous
1.0,8,11.874670207500458,11,32,8,3,randomized,supportive,contiguous
1.0,8,13.202414900064468,11,32,8,3,aligned,supportive,sparse
1.0,8,11.894452035427094,11,32,8,3,randomized,supportive,sparse
1.0,8,11.593391716480255,11,32,0,4,aligned,supportive,contiguous
0.96875,8,10.5712970495224,11,32,0,4,randomized,supportive,contiguous
1.0,8,11.065631598234177,11,32,0,4,aligned,supportive,sparse
0.9375,8,10.267294049263,11,32,0,4,randomized,supportive,sparse
1.0,8,11.52917492389679,11,32,2,4,aligned,supportive,contiguous
1.0,8,10.94181889295578,11,32,2,4,randomized,supportive,contiguous
1.0,8,11.344792068004608,11,32,2,4,aligned,supportive,sparse
1.0,8,10.978331327438354,11,32,2,4,randomized,supportive,sparse
1.0,8,11.977467238903046,11,32,4,4,aligned,supportive,contiguous
1.0,8,11.653604298830032,11,32,4,4,randomized,supportive,contiguous
1.0,8,11.898874789476395,11,32,4,4,aligned,supportive,sparse
1.0,8,11.316209763288498,11,32,4,4,randomized,supportive,sparse
1.0,8,10.908714443445206,11,32,8,4,aligned,supportive,contiguous
1.0,8,10.618415534496307,11,32,8,4,randomized,supportive,contiguous
1.0,8,10.755359798669815,11,32,8,4,aligned,supportive,sparse
1.0,8,10.453589975833893,11,32,8,4,randomized,supportive,sparse
1.0,8,9.595571398735046,11,32,0,6,aligned,supportive,contiguous
1.0,8,9.8823761343956,11,32,0,6,randomized,supportive,contiguous
1.0,8,10.214571356773376,11,32,0,6,aligned,supportive,sparse
1.0,8,9.533606499433517,11,32,0,6,randomized,supportive,sparse
1.0,8,11.166598528623581,11,32,2,6,aligned,supportive,contiguous
1.0,8,10.805373936891556,11,32,2,6,randomized,supportive,contiguous
1.0,8,11.31507521867752,11,32,2,6,aligned,supportive,sparse
1.0,8,10.687455117702484,11,32,2,6,randomized,supportive,sparse
1.0,8,12.500084161758423,11,32,4,6,aligned,supportive,contiguous
1.0,8,11.850703567266464,11,32,4,6,randomized,supportive,contiguous
1.0,8,12.6575146317482,11,32,4,6,aligned,supportive,sparse
1.0,8,12.079144060611725,11,32,4,6,randomized,supportive,sparse
1.0,8,10.871814966201782,11,32,8,6,aligned,supportive,contiguous
