accuracy,competent,mean_final_margin,minimum_subcell_accuracy,pattern_length,regime
0.99609375,True,11.171638317406178,0.96875,2,necessary
0.8515625,True,2.4117005532607436,0.59375,3,necessary
0.5,False,-0.007304339669644813,0.40625,4,necessary
0.322265625,False,-0.3169969888404011,0.1875,6,necessary
0.240234375,False,-0.2991575747728348,0.125,8,necessary
1.0,True,10.466812817379832,1.0,2,redundant
0.982421875,True,10.039597417227924,0.96875,3,redundant
0.9609375,True,9.27650021854788,0.875,4,redundant
0.982421875,True,9.680458729155362,0.875,6,redundant
0.98828125,True,8.835428402759135,0.9375,8,redundant
0.99609375,True,10.403126111254096,0.96875,2,supportive
0.99609375,True,11.571920976042747,0.96875,3,supportive
0.994140625,True,11.11712296679616,0.9375,4,supportive
1.0,True,10.841158786788583,1.0,6,supportive
0.998046875,True,10.938418327830732,0.96875,8,supportive
