boundary_index,margin_gain,pattern_length,regime
1.0,12.614793360233307,2,necessary
1.0,12.36465223878622,3,necessary
1.0,12.312653589993715,4,necessary
1.0,12.362641820684075,6,necessary
1.0,12.434884676709771,8,necessary
1.0,12.77492973394692,2,redundant
1.0,12.137828895822167,3,redundant
1.0,12.48195037804544,4,redundant
1.0,12.474427217617631,6,redundant
1.0,12.52968256548047,8,redundant
1.0,12.597418256103992,2,supportive
1.0,13.165531760081649,3,supportive
1.0,13.21741702221334,4,supportive
1.0,13.57401406019926,6,supportive
1.0,13.899904910475016,8,supportive
