architecture_depth,block_update_cosine,ff_update_cosine,layer,long_length,model_seed,regime,sa_update_cosine,short_length
8,0.9997609853744507,0.9999487400054932,0,3,11,redundant,0.9986914396286011,2
8,0.9997206926345825,0.9999440908432007,0,3,11,redundant,0.9984737038612366,2
8,0.9997465014457703,0.9999388456344604,0,3,11,redundant,0.998665988445282,2
8,0.9997570514678955,0.9999406933784485,0,3,11,redundant,0.9987302422523499,2
8,0.9997228980064392,0.9999405741691589,0,3,11,redundant,0.9984995126724243,2
8,0.9998061656951904,0.9999643564224243,0,3,11,redundant,0.9988964796066284,2
8,0.9997701048851013,0.9999471306800842,0,3,11,redundant,0.998788058757782,2
8,0.9997983574867249,0.9999574422836304,0,3,11,redundant,0.9988723993301392,2
8,0.999769389629364,0.9999598860740662,0,3,11,redundant,0.9987043738365173,2
8,0.9997578263282776,0.9999555945396423,0,3,11,redundant,0.9986557960510254,2
8,0.9997320771217346,0.9999443888664246,0,3,11,redundant,0.9985281825065613,2
8,0.9997128248214722,0.9999397993087769,0,3,11,redundant,0.9984712600708008,2
8,0.9997460842132568,0.9999446868896484,0,3,11,redundant,0.9986181259155273,2
8,0.9997528195381165,0.9999470710754395,0,3,11,redundant,0.9986677765846252,2
8,0.9997989535331726,0.9999712705612183,0,3,11,redundant,0.9988026022911072,2
8,0.9997689723968506,0.9999396204948425,0,3,11,redundant,0.9987950325012207,2
8,0.9997493624687195,0.9999480843544006,0,3,11,redundant,0.9986435174942017,2
8,0.9997788071632385,0.9999604225158691,0,3,11,redundant,0.998741865158081,2
8,0.9997419714927673,0.99993896484375,0,3,11,redundant,0.9986929297447205,2
8,0.9997819662094116,0.9999539256095886,0,3,11,redundant,0.9988189339637756,2
8,0.9997299909591675,0.9999496340751648,0,3,11,redundant,0.9985052347183228,2
8,0.9997383952140808,0.999941349029541,0,3,11,redundant,0.9985979199409485,2
8,0.9997568130493164,0.9999547004699707,0,3,11,redundant,0.9986470937728882,2
8,0.9997697472572327,0.9999549984931946,0,3,11,redundant,0.9987238049507141,2
8,0.9997746348381042,0.9999528527259827,0,3,11,redundant,0.9987812638282776,2
8,0.9997580647468567,0.9999332427978516,0,3,11,redundant,0.9987602829933167,2
8,0.9997328519821167,0.9999403357505798,0,3,11,redundant,0.9985947608947754,2
8,0.999786376953125,0.9999539852142334,0,3,11,redundant,0.998831570148468,2
8,0.9997887015342712,0.9999651908874512,0,3,11,redundant,0.9987700581550598,2
8,0.9997620582580566,0.9999444484710693,0,3,11,redundant,0.9987140893936157,2
8,0.9997346997261047,0.9999538660049438,0,3,11,redundant,0.9984923005104065,2
8,0.9997724890708923,0.999956488609314,0,3,11,redundant,0.9987470507621765,2
8,0.9996451139450073,0.9999411106109619,0,3,11,supportive,0.9976236820220947,2
8,0.9997223019599915,0.9999703764915466,0,3,11,supportive,0.9983245730400085,2
8,0.9996805787086487,0.9999431371688843,0,3,11,supportive,0.9982412457466125,2
8,0.999609649181366,0.9999377727508545,0,3,11,supportive,0.9973047971725464,2
8,0.9963659048080444,0.999421238899231,0,3,11,supportive,0.9749826192855835,2
8,0.9995964169502258,0.9999297857284546,0,3,11,supportive,0.9972551465034485,2
8,0.9997082352638245,0.9999566078186035,0,3,11,supportive,0.9982836246490479,2
8,0.996445894241333,0.9994215965270996,0,3,11,supportive,0.9757305979728699,2
8,0.9996767640113831,0.9999672174453735,0,3,11,supportive,0.9979358911514282,2
8,0.9997037053108215,0.9999552965164185,0,3,11,supportive,0.9982407689094543,2
8,0.999614953994751,0.99993497133255,0,3,11,supportive,0.9974076747894287,2
8,0.9996982216835022,0.9999516010284424,0,3,11,supportive,0.9982903003692627,2
8,0.9996894001960754,0.9999608993530273,0,3,11,supportive,0.9981232285499573,2
8,0.9997009038925171,0.9999508857727051,0,3,11,supportive,0.9982980489730835,2
8,0.999710738658905,0.9999642372131348,0,3,11,supportive,0.998236358165741,2
8,0.9997389912605286,0.9999558925628662,0,3,11,supportive,0.9985083341598511,2
8,0.9997206330299377,0.9999383687973022,0,3,11,supportive,0.9985019564628601,2
8,0.9963775277137756,0.9993731379508972,0,3,11,supportive,0.975464940071106,2
8,0.9963700175285339,0.9994164705276489,0,3,11,supportive,0.9749786853790283,2
8,0.9996874928474426,0.9999603629112244,0,3,11,supportive,0.9980982542037964,2
8,0.9997327923774719,0.9999484419822693,0,3,11,supportive,0.9984986782073975,2
8,0.9997014999389648,0.9999542832374573,0,3,11,supportive,0.9982191324234009,2
8,0.9963613152503967,0.9993878602981567,0,3,11,supportive,0.9753443598747253,2
8,0.9964298605918884,0.9994046688079834,0,3,11,supportive,0.975710391998291,2
