base_length,behavioral_target_crossing_layer,divergence_minus_crossing,extension_length,family_id,model_seed,position_mode,relation_type,representational_divergence_layer
2,,,1,irrelevant_extension:n2:k1:f0,11,aligned,irrelevant_extension,1
2,,,1,irrelevant_extension:n2:k1:f1,11,aligned,irrelevant_extension,2
2,,,1,irrelevant_extension:n2:k1:f2,11,aligned,irrelevant_extension,4
2,,,1,irrelevant_extension:n2:k1:f3,11,aligned,irrelevant_extension,2
2,,,1,irrelevant_extension:n2:k1:f4,11,aligned,irrelevant_extension,4
2,,,1,irrelevant_extension:n2:k1:f5,11,aligned,irrelevant_extension,
2,,,1,irrelevant_extension:n2:k1:f6,11,aligned,irrelevant_extension,
2,,,1,irrelevant_extension:n2:k1:f7,11,aligned,irrelevant_extension,
2,,,1,irrelevant_extension:n2:k1:f8,11,aligned,irrelevant_extension,2
2,,,1,irrelevant_extension:n2:k1:f9,11,aligned,irrelevant_extension,1
2,,,1,irrelevant_extension:n2:k1:f10,11,aligned,irrelevant_extension,
2,,,1,irrelevant_extension:n2:k1:f11,11,aligned,irrelevant_extension,
2,,,1,irrelevant_extension:n2:k1:f12,11,aligned,irrelevant_extension,2
2,,,1,irrelevant_extension:n2:k1:f13,11,aligned,irrelevant_extension,
2,,,1,irrelevant_extension:n2:k1:f14,11,aligned,irrelevant_extension,
2,,,1,irrelevant_extension:n2:k1:f15,11,aligned,irrelevant_extension,
2,,,2,irrelevant_extension:n2:k2:f0,11,aligned,irrelevant_extension,
2,,,2,irrelevant_extension:n2:k2:f1,11,aligned,irrelevant_extension,2
2,,,2,irrelevant_extension:n2:k2:f2,11,aligned,irrelevant_extension,1
2,,,2,irrelevant_extension:n2:k2:f3,11,aligned,irrelevant_extension,
2,,,2,irrelevant_extension:n2:k2:f4,11,aligned,irrelevant_extension,1
2,,,2,irrelevant_extension:n2:k2:f5,11,aligned,irrelevant_extension,6
2,,,2,irrelevant_extension:n2:k2:f6,11,aligned,irrelevant_extension,1
2,,,2,irrelevant_extension:n2:k2:f7,11,aligned,irrelevant_extension,1
2,,,2,irrelevant_extension:n2:k2:f8,11,aligned,irrelevant_extension,
2,,,2,irrelevant_extension:n2:k2:f9,11,aligned,irrelevant_extension,4
2,,,2,irrelevant_extension:n2:k2:f10,11,aligned,irrelevant_extension,2
2,,,2,irrelevant_extension:n2:k2:f11,11,aligned,irrelevant_extension,2
