causal_role,head,layer,mean_long_utility,mean_short_utility,relation_type
distributed/no_stable_role,0,0,0.30581414331803064,0.7523935202472986,irrelevant_extension
core_pattern_head,1,0,0.5849891180140762,0.6693863649827997,irrelevant_extension
core_pattern_head,2,0,1.2340325500990579,1.8265680930511248,irrelevant_extension
distributed/no_stable_role,3,0,0.2172189584268294,0.7095374485949947,irrelevant_extension
core_pattern_head,0,1,0.5625151117225928,1.1057469160075515,irrelevant_extension
core_pattern_head,1,1,0.7050333881770298,1.0661185077365605,irrelevant_extension
distributed/no_stable_role,2,1,0.06956026198431131,0.17924020127519485,irrelevant_extension
core_pattern_head,3,1,0.9453800562888446,1.2529454714198063,irrelevant_extension
core_pattern_head,0,2,0.15304228699304404,0.15361439329075766,irrelevant_extension
core_pattern_head,1,2,0.06020582598577098,0.08032463993078555,irrelevant_extension
distributed/no_stable_role,2,2,0.05185910012051125,0.12164590121096218,irrelevant_extension
distributed/no_stable_role,3,2,0.027855904559683668,0.010886997959170632,irrelevant_extension
distributed/no_stable_role,0,3,0.0031055828675242932,-0.00360439572952227,irrelevant_extension
core_pattern_head,1,3,0.11440333225924795,0.16619198090802806,irrelevant_extension
distributed/no_stable_role,2,3,0.024378572534817407,0.00654923395252101,irrelevant_extension
distributed/no_stable_role,3,3,0.01354554472532932,0.006390634071549027,irrelevant_extension
distributed/no_stable_role,0,4,0.0007959442538841031,0.004616118677816764,irrelevant_extension
distributed/no_stable_role,1,4,0.014578200807360246,0.0014628039216705972,irrelevant_extension
distributed/no_stable_role,2,4,-0.0034476894867060664,0.004684226900570576,irrelevant_extension
distributed/no_stable_role,3,4,0.0011159626694645427,0.0029347439921840516,irrelevant_extension
distributed/no_stable_role,0,5,0.019418170467609713,-0.00100592995952577,irrelevant_extension
distributed/no_stable_role,1,5,-0.0038962282580804956,-4.402848477201121e-05,irrelevant_extension
core_pattern_head,2,5,0.0022879039820152365,0.0030440766285626136,irrelevant_extension
distributed/no_stable_role,3,5,-0.0028870305011728624,0.0006026672761580705,irrelevant_extension
distributed/no_stable_role,0,0,0.14635894212447223,0.9277565111992798,multi_level_hierarchy
distributed/no_stable_role,1,0,0.021516811042669427,0.7039236233524123,multi_level_hierarchy
distributed/no_stable_role,2,0,0.06627234056102477,1.6277662383744054,multi_level_hierarchy
distributed/no_stable_role,3,0,1.8013936355553057,0.7654006372407246,multi_level_hierarchy
distributed/no_stable_role,0,1,0.012295769127309474,0.845737311658089,multi_level_hierarchy
distributed/no_stable_role,1,1,0.3332544790680037,1.2663965197144398,multi_level_hierarchy
distributed/no_stable_role,2,1,0.009336207288840711,0.24565829875923753,multi_level_hierarchy
distributed/no_stable_role,3,1,0.15846022865951925,1.746268115058757,multi_level_hierarchy
distributed/no_stable_role,0,2,0.04014180120574801,0.1660051607609683,multi_level_hierarchy
distributed/no_stable_role,1,2,0.025668379658445366,0.06192188531798233,multi_level_hierarchy
distributed/no_stable_role,2,2,0.019489596077787778,0.09179316835566273,multi_level_hierarchy
distributed/no_stable_role,3,2,0.0030999608247333963,0.013381438423100122,multi_level_hierarchy
distributed/no_stable_role,0,3,0.002853005126814453,-0.003820610210247774,multi_level_hierarchy
distributed/no_stable_role,1,3,0.06581537440305746,0.17121633042657858,multi_level_hierarchy
distributed/no_stable_role,2,3,0.0012296266319632811,-0.003969017472133579,multi_level_hierarchy
distributed/no_stable_role,3,3,-0.0008844260037895519,-0.0005366206040490712,multi_level_hierarchy
core_pattern_head,0,4,0.00312444255915681,0.006240563132521768,multi_level_hierarchy
distributed/no_stable_role,1,4,0.007790791055446821,0.003488786072094672,multi_level_hierarchy
distributed/no_stable_role,2,4,0.001201608104498449,0.004522283145274216,multi_level_hierarchy
distributed/no_stable_role,3,4,0.0025387553431654862,0.005900781447290309,multi_level_hierarchy
distributed/no_stable_role,0,5,0.011916742284753392,0.0019675164838514002,multi_level_hierarchy
distributed/no_stable_role,1,5,-0.014717717952812058,0.001143553405173856,multi_level_hierarchy
distributed/no_stable_role,2,5,-0.0026422374586319236,-0.00021116978893365398,multi_level_hierarchy
distributed/no_stable_role,3,5,-0.0045125578120927485,0.0029981306335580744,multi_level_hierarchy
distributed/no_stable_role,0,0,0.18494406663295296,0.9339260623036557,override_extension
distributed/no_stable_role,1,0,0.01129319135927492,0.4744486020208535,override_extension
distributed/no_stable_role,2,0,0.040400138676718426,1.7888466422972142,override_extension
override_head,3,0,2.638383507107695,0.8227998847486329,override_extension
distributed/no_stable_role,0,1,0.01216504569337876,0.877908807211599,override_extension
distributed/no_stable_role,1,1,0.3456471236767592,1.0916078966739067,override_extension
distributed/no_stable_role,2,1,-0.0005784861708956731,0.2356782956040304,override_extension
distributed/no_stable_role,3,1,0.0578035443538317,1.0562333552778724,override_extension
distributed/no_stable_role,0,2,0.00018680487173022817,0.1812849881941673,override_extension
distributed/no_stable_role,1,2,0.009219183362330552,0.05633888897288354,override_extension
distributed/no_stable_role,2,2,0.025198961452891435,0.08613199954658958,override_extension
distributed/no_stable_role,3,2,0.00347141983608405,0.031418986758432174,override_extension
distributed/no_stable_role,0,3,-0.0019827637717955648,0.004637133369145275,override_extension
distributed/no_stable_role,1,3,0.021849981146968074,0.2594374601075182,override_extension
override_head,2,3,0.019932803732377505,0.005561444326913518,override_extension
override_head,3,3,0.012183017994242684,0.0011315519724501436,override_extension
override_head,0,4,0.010999699019723468,0.001044718569129974,override_extension
override_head,1,4,0.02309168600994679,-0.0001241790833325421,override_extension
distributed/no_stable_role,2,4,-0.006088329513591751,0.0013571778818639707,override_extension
override_head,3,4,0.012720266546778113,0.0006700522752515508,override_extension
override_head,0,5,0.010094247275480514,0.0022964555375666234,override_extension
distributed/no_stable_role,1,5,-0.019173344769687566,0.0012667412094682323,override_extension
distributed/no_stable_role,2,5,-0.005767869280168298,-0.00017779519034278547,override_extension
distributed/no_stable_role,3,5,-0.011685229337739715,0.0005234135087276539,override_extension
distributed/no_stable_role,0,0,0.15526445767560895,0.7262864449403681,refining_extension
distributed/no_stable_role,1,0,0.021753636600839885,0.440181035960991,refining_extension
distributed/no_stable_role,2,0,0.057286397686968686,1.5407820274898658,refining_extension
distributed/no_stable_role,3,0,1.8372865664758946,0.7279049431624577,refining_extension
distributed/no_stable_role,0,1,0.020421718100233528,1.112684035417624,refining_extension
distributed/no_stable_role,1,1,0.3667264197202813,0.9520073985047695,refining_extension
distributed/no_stable_role,2,1,-0.002145611005255856,0.16291272405872684,refining_extension
distributed/no_stable_role,3,1,0.14913706500818888,1.4481436958851939,refining_extension
distributed/no_stable_role,0,2,0.030259322664110022,0.2142296529841735,refining_extension
core_pattern_head,1,2,0.033812092940664756,0.05891004986246948,refining_extension
distributed/no_stable_role,2,2,0.01759463270351531,0.11663635764845327,refining_extension
distributed/no_stable_role,3,2,0.005763391152464063,0.026150439680639598,refining_extension
distributed/no_stable_role,0,3,0.0006205774423977802,-0.0005423810464684369,refining_extension
distributed/no_stable_role,1,3,0.03581427171425107,0.3449771242506145,refining_extension
distributed/no_stable_role,2,3,0.017019687791313718,0.0012986535489709237,refining_extension
distributed/no_stable_role,3,3,0.021954830247051613,0.0011859000765400017,refining_extension
core_pattern_head,0,4,0.008166899139420515,0.0069616402902565174,refining_extension
distributed/no_stable_role,1,4,0.011989072259927555,0.0010614312594421063,refining_extension
