extension_length,layer,metric_type,model_seed,n,short_level,similarity
1,0,residual,11,64,2,1.0000000596046448
1,1,residual,11,64,2,0.7282700361683965
1,2,residual,11,64,2,0.7765900231897831
1,3,residual,11,64,2,0.8269948004744947
1,4,residual,11,64,2,0.8137080031447113
1,5,residual,11,64,2,0.8461926560848951
1,6,residual,11,64,2,0.8646398112177849
2,0,residual,11,64,2,1.0000000596046448
2,1,residual,11,64,2,0.7225343622267246
2,2,residual,11,64,2,0.767863096203655
2,3,residual,11,64,2,0.8243111595511436
2,4,residual,11,64,2,0.8208301379345357
2,5,residual,11,64,2,0.8532122494652867
2,6,residual,11,64,2,0.872649822384119
4,0,residual,11,64,2,1.0000000596046448
4,1,residual,11,64,2,0.717742603039369
4,2,residual,11,64,2,0.7497350398916751
4,3,residual,11,64,2,0.8133940692059696
4,4,residual,11,64,2,0.8078013234771788
4,5,residual,11,64,2,0.8358895238488913
4,6,residual,11,64,2,0.8513379925861955
1,0,residual,11,64,3,1.0000000596046448
1,1,residual,11,64,3,0.7284466475248337
1,2,residual,11,64,3,0.772890591993928
1,3,residual,11,64,3,0.8388414978981018
1,4,residual,11,64,3,0.8441663915291429
1,5,residual,11,64,3,0.8725196784362197
1,6,residual,11,64,3,0.8860580725595355
2,0,residual,11,64,3,1.0000000596046448
2,1,residual,11,64,3,0.753689277684316
2,2,residual,11,64,3,0.7933535422198474
2,3,residual,11,64,3,0.8376797595992684
2,4,residual,11,64,3,0.8417797898873687
2,5,residual,11,64,3,0.8757217302918434
2,6,residual,11,64,3,0.8923412952572107
4,0,residual,11,64,3,1.0000000596046448
4,1,residual,11,64,3,0.7593140625394881
4,2,residual,11,64,3,0.7886671316809952
4,3,residual,11,64,3,0.830618429929018
4,4,residual,11,64,3,0.8199424464255571
4,5,residual,11,64,3,0.8576185926795006
4,6,residual,11,64,3,0.8755750712007284
1,0,residual,11,64,4,1.0000000596046448
1,1,residual,11,64,4,0.827565947547555
1,2,residual,11,64,4,0.8479425585828722
1,3,residual,11,64,4,0.8788798414170742
1,4,residual,11,64,4,0.8717450345866382
1,5,residual,11,64,4,0.8926474153995514
1,6,residual,11,64,4,0.9018274010159075
2,0,residual,11,64,4,1.0000000596046448
2,1,residual,11,64,4,0.8324256017804146
2,2,residual,11,64,4,0.8635349525138736
2,3,residual,11,64,4,0.8972992952913046
2,4,residual,11,64,4,0.8945148149505258
2,5,residual,11,64,4,0.9099578373134136
2,6,residual,11,64,4,0.9187281569465995
4,0,residual,11,64,4,1.0000000596046448
4,1,residual,11,64,4,0.7920658066868782
4,2,residual,11,64,4,0.8129548346623778
4,3,residual,11,64,4,0.8499107649549842
4,4,residual,11,64,4,0.8682029712945223
4,5,residual,11,64,4,0.8879031594842672
4,6,residual,11,64,4,0.9030222138389945
1,0,residual,23,64,2,1.0000000298023224
1,1,residual,23,64,2,0.9995449632406235
1,2,residual,23,64,2,0.8971744021400809
1,3,residual,23,64,2,0.9097986780107021
1,4,residual,23,64,2,0.909359896555543
1,5,residual,23,64,2,0.9337889514863491
1,6,residual,23,64,2,0.93700738158077
2,0,residual,23,64,2,1.0000000298023224
2,1,residual,23,64,2,0.9995271638035774
2,2,residual,23,64,2,0.8431135509163141
2,3,residual,23,64,2,0.8598123923875391
2,4,residual,23,64,2,0.8689668755978346
2,5,residual,23,64,2,0.9060808504000306
2,6,residual,23,64,2,0.9114985708147287
4,0,residual,23,64,2,1.0000000298023224
4,1,residual,23,64,2,0.99920588824898
4,2,residual,23,64,2,0.8181359893642366
4,3,residual,23,64,2,0.8472463847137988
4,4,residual,23,64,2,0.8510829913429916
4,5,residual,23,64,2,0.8818973992019892
4,6,residual,23,64,2,0.889159768819809
1,0,residual,23,64,3,1.0000000298023224
1,1,residual,23,64,3,0.9994264459237456
1,2,residual,23,64,3,0.8652949905954301
1,3,residual,23,64,3,0.8652074155397713
1,4,residual,23,64,3,0.8543016850017011
1,5,residual,23,64,3,0.8902644105255604
1,6,residual,23,64,3,0.8970223795622587
2,0,residual,23,64,3,1.0000000298023224
2,1,residual,23,64,3,0.999352777376771
2,2,residual,23,64,3,0.8534643701277673
2,3,residual,23,64,3,0.8616743916645646
2,4,residual,23,64,3,0.8805966535583138
2,5,residual,23,64,3,0.8970537278801203
2,6,residual,23,64,3,0.9059410663321614
4,0,residual,23,64,3,1.0000000298023224
4,1,residual,23,64,3,0.9989200746640563
4,2,residual,23,64,3,0.870736513286829
4,3,residual,23,64,3,0.8934164922684431
4,4,residual,23,64,3,0.8834534315392375
4,5,residual,23,64,3,0.8799812225624919
4,6,residual,23,64,3,0.8887784965336323
1,0,residual,23,64,4,1.0000000298023224
1,1,residual,23,64,4,0.9996005054563284
1,2,residual,23,64,4,0.9492339873686433
1,3,residual,23,64,4,0.9497611792758107
1,4,residual,23,64,4,0.9406225839629769
1,5,residual,23,64,4,0.9412059634923935
1,6,residual,23,64,4,0.9366592159494758
2,0,residual,23,64,4,1.0000000298023224
2,1,residual,23,64,4,0.9994947165250778
2,2,residual,23,64,4,0.9060429986566305
2,3,residual,23,64,4,0.9254255527630448
2,4,residual,23,64,4,0.9295385610312223
2,5,residual,23,64,4,0.9328085146844387
2,6,residual,23,64,4,0.9226591633632779
4,0,residual,23,64,4,1.0000000298023224
4,1,residual,23,64,4,0.9991964120417833
4,2,residual,23,64,4,0.883625406306237
4,3,residual,23,64,4,0.912170147523284
4,4,residual,23,64,4,0.9135301662608981
4,5,residual,23,64,4,0.9292285954579711
4,6,residual,23,64,4,0.9225099748000503
1,0,residual,37,64,2,1.0
1,1,residual,37,64,2,0.9717122092843056
1,2,residual,37,64,2,0.8171043312177062
1,3,residual,37,64,2,0.8401188994757831
1,4,residual,37,64,2,0.8021558304317296
1,5,residual,37,64,2,0.8126620673574507
1,6,residual,37,64,2,0.8272522301413119
2,0,residual,37,64,2,1.0
2,1,residual,37,64,2,0.9719849098473787
2,2,residual,37,64,2,0.841461110394448
2,3,residual,37,64,2,0.8584035350941122
2,4,residual,37,64,2,0.8257089084945619
2,5,residual,37,64,2,0.8226196193136275
2,6,residual,37,64,2,0.8395326631143689
4,0,residual,37,64,2,1.0
4,1,residual,37,64,2,0.9656567703932524
4,2,residual,37,64,2,0.8118461389094591
4,3,residual,37,64,2,0.8037898722104728
4,4,residual,37,64,2,0.7521192810963839
4,5,residual,37,64,2,0.7540467749349773
4,6,residual,37,64,2,0.7763323462568223
1,0,residual,37,64,3,1.0
1,1,residual,37,64,3,0.9748206734657288
1,2,residual,37,64,3,0.868947138544172
1,3,residual,37,64,3,0.84625334572047
1,4,residual,37,64,3,0.7910500452853739
1,5,residual,37,64,3,0.7765800014603883
1,6,residual,37,64,3,0.8021836178377271
2,0,residual,37,64,3,1.0
2,1,residual,37,64,3,0.9785479865968227
2,2,residual,37,64,3,0.8276108591817319
2,3,residual,37,64,3,0.8176934104412794
2,4,residual,37,64,3,0.7774492083117366
2,5,residual,37,64,3,0.7924864063970745
2,6,residual,37,64,3,0.8087477353401482
4,0,residual,37,64,3,1.0
4,1,residual,37,64,3,0.9691942483186722
4,2,residual,37,64,3,0.8220960311591625
4,3,residual,37,64,3,0.8103033914230764
4,4,residual,37,64,3,0.7519254344515502
4,5,residual,37,64,3,0.7561945412307978
4,6,residual,37,64,3,0.7698965575546026
1,0,residual,37,64,4,1.0
1,1,residual,37,64,4,0.983620198443532
1,2,residual,37,64,4,0.8710629818961024
1,3,residual,37,64,4,0.8596807238645852
1,4,residual,37,64,4,0.8380838828161359
1,5,residual,37,64,4,0.8393962578848004
1,6,residual,37,64,4,0.8546830541454256
2,0,residual,37,64,4,1.0
2,1,residual,37,64,4,0.9795197350904346
2,2,residual,37,64,4,0.8271406488493085
2,3,residual,37,64,4,0.8507051998749375
2,4,residual,37,64,4,0.8218182139098644
2,5,residual,37,64,4,0.8175115394406021
2,6,residual,37,64,4,0.8328003752976656
4,0,residual,37,64,4,1.0
4,1,residual,37,64,4,0.9765326473861933
4,2,residual,37,64,4,0.8875137502327561
4,3,residual,37,64,4,0.8562308847904205
4,4,residual,37,64,4,0.8071571453474462
4,5,residual,37,64,4,0.7747645396739244
4,6,residual,37,64,4,0.8021629233844578
1,0,update,11,64,2,0.6619339345488697
1,1,update,11,64,2,0.7838408052921295
1,2,update,11,64,2,0.8210067506879568
1,3,update,11,64,2,0.5476846010024019
1,4,update,11,64,2,0.8184365635970607
1,5,update,11,64,2,0.8342911266954616
2,0,update,11,64,2,0.6499844503123313
2,1,update,11,64,2,0.7846099957823753
2,2,update,11,64,2,0.8224285044707358
2,3,update,11,64,2,0.5677715068450198
2,4,update,11,64,2,0.8452009563334286
2,5,update,11,64,2,0.8554770800401457
4,0,update,11,64,2,0.6432485696277581
4,1,update,11,64,2,0.7579140737652779
4,2,update,11,64,2,0.8040819596499205
4,3,update,11,64,2,0.5413821805850603
4,4,update,11,64,2,0.7992330135311931
4,5,update,11,64,2,0.6913586217269767
1,0,update,11,64,3,0.6554465845692903
1,1,update,11,64,3,0.7868964893277735
1,2,update,11,64,3,0.8489942438900471
1,3,update,11,64,3,0.6106836487306282
1,4,update,11,64,3,0.8180485499324277
1,5,update,11,64,3,0.7290322723565623
2,0,update,11,64,3,0.6855642861337401
2,1,update,11,64,3,0.778123565716669
2,2,update,11,64,3,0.778836126672104
2,3,update,11,64,3,0.625651187285257
2,4,update,11,64,3,0.8390948297455907
2,5,update,11,64,3,0.8097078151768073
4,0,update,11,64,3,0.6859031833009794
4,1,update,11,64,3,0.7542172758840024
4,2,update,11,64,3,0.7670090848114341
4,3,update,11,64,3,0.5962531147524714
4,4,update,11,64,3,0.8463345183990896
4,5,update,11,64,3,0.7370551073690876
1,0,update,11,64,4,0.7778144783806056
1,1,update,11,64,4,0.7544742601457983
1,2,update,11,64,4,0.8297932581044734
1,3,update,11,64,4,0.6330188531137537
1,4,update,11,64,4,0.8217745688743889
1,5,update,11,64,4,0.7346563959144987
2,0,update,11,64,4,0.7844627648591995
2,1,update,11,64,4,0.7765894659096375
2,2,update,11,64,4,0.8515770956873894
2,3,update,11,64,4,0.6632343504606979
2,4,update,11,64,4,0.7929295693757012
2,5,update,11,64,4,0.7978923059999943
4,0,update,11,64,4,0.7298330056946725
4,1,update,11,64,4,0.7751985438517295
4,2,update,11,64,4,0.8078593749087304
4,3,update,11,64,4,0.701023863919545
4,4,update,11,64,4,0.7856393803958781
4,5,update,11,64,4,0.8318637933116406
1,0,update,23,64,2,0.9977955278009176
1,1,update,23,64,2,0.8521042737411335
1,2,update,23,64,2,0.9325577854178846
1,3,update,23,64,2,0.8631718542892486
1,4,update,23,64,2,0.9264289462007582
1,5,update,23,64,2,0.7782301850384101
2,0,update,23,64,2,0.996706641279161
2,1,update,23,64,2,0.7329222555854358
