family,layer,mean_entropy_bits,mean_target_logprob,mean_target_margin,mean_target_probability,model_id,n_identities,revision,semantic,split,syntax,top1_accuracy
alternation:animal,0,1.2631471753120422,-37.55057907104492,-37.261322021484375,1.4923475541080818e-16,EleutherAI/pythia-70m-deduped,2,step143000,animal,evaluation,alternation,0.0
alternation:animal,3,6.667425632476807,-16.45115089416504,-14.145538330078125,7.793560286017964e-08,EleutherAI/pythia-70m-deduped,2,step143000,animal,evaluation,alternation,0.0
alternation:animal,5,13.404999256134033,-8.549705028533936,-4.1143798828125,0.00028415233100531623,EleutherAI/pythia-70m-deduped,2,step143000,animal,evaluation,alternation,0.0
alternation:animal,0,2.342489004135132,-33.99830150604248,-33.090972900390625,4.481725499375244e-13,EleutherAI/pythia-70m-deduped,2,step143000,animal,fit,alternation,0.0
alternation:animal,3,6.618716716766357,-19.675636291503906,-17.22894287109375,4.5103268897506155e-09,EleutherAI/pythia-70m-deduped,2,step143000,animal,fit,alternation,0.0
alternation:animal,5,13.451701164245605,-10.077245235443115,-5.518798828125,4.22217544837622e-05,EleutherAI/pythia-70m-deduped,2,step143000,animal,fit,alternation,0.0
alternation:color,0,0.10482434835284948,-37.8603572845459,-37.848846435546875,7.154507891151782e-16,EleutherAI/pythia-70m-deduped,2,step143000,color,evaluation,alternation,0.0
alternation:color,3,6.933032035827637,-16.29322338104248,-14.01800537109375,3.8259567647358494e-07,EleutherAI/pythia-70m-deduped,2,step143000,color,evaluation,alternation,0.0
alternation:color,5,13.14350938796997,-8.624322414398193,-4.42376708984375,0.00018725789414020255,EleutherAI/pythia-70m-deduped,2,step143000,color,evaluation,alternation,0.0
alternation:color,0,0.9221957703121006,-33.555012702941895,-33.272674560546875,2.4549096269166048e-14,EleutherAI/pythia-70m-deduped,2,step143000,color,fit,alternation,0.0
alternation:color,3,4.254183292388916,-11.112767696380615,-9.71575927734375,1.736289505060995e-05,EleutherAI/pythia-70m-deduped,2,step143000,color,fit,alternation,0.0
alternation:color,5,12.765437602996826,-7.686553001403809,-4.19427490234375,0.0004591394099406898,EleutherAI/pythia-70m-deduped,2,step143000,color,fit,alternation,0.0
alternation:direction,0,1.1535416394472122,-30.350341796875,-30.030975341796875,6.88600499727408e-14,EleutherAI/pythia-70m-deduped,2,step143000,direction,evaluation,alternation,0.0
alternation:direction,3,4.235614776611328,-9.2370285987854,-7.885498046875,0.0005629951292576152,EleutherAI/pythia-70m-deduped,2,step143000,direction,evaluation,alternation,0.0
alternation:direction,5,12.769666194915771,-7.8401312828063965,-4.2193603515625,0.00040013510442804545,EleutherAI/pythia-70m-deduped,2,step143000,direction,evaluation,alternation,0.0
