baseline_target_logprob,component,family,identity,layer,mode,model_id,revision,semantic,syntax,target_logprob_change
-6.048379421234131,sa,alternation:number,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,number,alternation,-1.3814735412597656
-5.4743547439575195,sa,alternation:number,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,number,alternation,-1.0997734069824219
-1.6215968132019043,sa,mapping:number,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,number,mapping,-0.7047572135925293
-0.7610409259796143,sa,mapping:number,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,number,mapping,0.20913487672805786
-1.5185401439666748,sa,arrow:number,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,number,arrow,-0.11166894435882568
-1.2091789245605469,sa,arrow:number,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,number,arrow,0.2011728286743164
-1.1180896759033203,sa,question:number,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,number,question,0.11725997924804688
-1.7947602272033691,sa,question:number,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,number,question,1.0854570269584656
-5.795536518096924,sa,alternation:color,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,color,alternation,-1.3935399055480957
-6.354679107666016,sa,alternation:color,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,color,alternation,0.5834369659423828
-0.9904645085334778,sa,mapping:color,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,color,mapping,-0.17211037874221802
-1.6210979223251343,sa,mapping:color,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,color,mapping,-0.6284753084182739
-0.9352619051933289,sa,arrow:color,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,color,arrow,-0.5171605944633484
-0.8412887454032898,sa,arrow:color,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,color,arrow,-0.5329403281211853
-1.0608067512512207,sa,question:color,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,color,question,-0.0720367431640625
-1.0664517879486084,sa,question:color,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,color,question,-0.9307451248168945
-7.6103715896606445,sa,alternation:animal,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,animal,alternation,-0.8742504119873047
-5.978808403015137,sa,alternation:animal,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,animal,alternation,-2.112290382385254
-0.9913763403892517,sa,mapping:animal,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,animal,mapping,0.02953791618347168
-0.47812411189079285,sa,mapping:animal,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,animal,mapping,0.009596556425094604
-1.9513297080993652,sa,arrow:animal,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,animal,arrow,-0.23559045791625977
-0.45036622881889343,sa,arrow:animal,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,animal,arrow,-1.933095008134842
-0.9468570947647095,sa,question:animal,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,animal,question,-1.1660279035568237
-0.6683844327926636,sa,question:animal,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,animal,question,-0.8007645606994629
-5.789730548858643,sa,alternation:temperature,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,temperature,alternation,-1.4740643501281738
-4.5420966148376465,sa,alternation:temperature,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,temperature,alternation,-0.552734375
-1.7778632640838623,sa,mapping:temperature,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,temperature,mapping,-0.8312814235687256
-0.9940654635429382,sa,mapping:temperature,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,temperature,mapping,0.12882792949676514
-0.5044987201690674,sa,arrow:temperature,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,temperature,arrow,-0.33625882863998413
-0.45342889428138733,sa,arrow:temperature,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,temperature,arrow,-0.4204062521457672
-1.3655496835708618,sa,question:temperature,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,temperature,question,-0.506535530090332
-0.8047061562538147,sa,question:temperature,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,temperature,question,-0.5094100832939148
-6.383781909942627,sa,alternation:magnitude,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,magnitude,alternation,0.5655102729797363
-5.4743547439575195,sa,alternation:magnitude,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,magnitude,alternation,1.3143672943115234
-1.6120433807373047,sa,mapping:magnitude,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,magnitude,mapping,-1.1276938915252686
-0.7610409259796143,sa,mapping:magnitude,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,magnitude,mapping,0.07408171892166138
-1.6570022106170654,sa,arrow:magnitude,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,magnitude,arrow,-0.37749242782592773
-1.2091789245605469,sa,arrow:magnitude,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,magnitude,arrow,-0.26974618434906006
-0.9842269420623779,sa,question:magnitude,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,magnitude,question,-0.0853116512298584
-1.7947602272033691,sa,question:magnitude,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,magnitude,question,1.1131246089935303
-6.389556407928467,sa,alternation:geography,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,geography,alternation,-0.3599724769592285
-8.947948455810547,sa,alternation:geography,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,geography,alternation,0.4472322463989258
-0.20060747861862183,sa,mapping:geography,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,geography,mapping,-0.07463237643241882
-0.25353580713272095,sa,mapping:geography,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,geography,mapping,-0.17032486200332642
-0.8250687718391418,sa,arrow:geography,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,geography,arrow,-1.7929009795188904
-0.24842847883701324,sa,arrow:geography,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,geography,arrow,-0.3258678764104843
-0.9547438621520996,sa,question:geography,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,geography,question,-2.4912664890289307
-0.9890044927597046,sa,question:geography,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,geography,question,-0.5625635385513306
-5.704273223876953,sa,alternation:tense,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,tense,alternation,0.6131062507629395
-7.157110691070557,sa,alternation:tense,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,tense,alternation,-2.1657586097717285
-0.5175015926361084,sa,mapping:tense,2,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,tense,mapping,-0.24724745750427246
-0.08342907577753067,sa,mapping:tense,3,0,remove_rank1,EleutherAI/pythia-70m-deduped,step143000,tense,mapping,-0.008271895349025726
