ci_high,ci_low,estimate,mode,model_id,n_families,negative_family_fraction,revision
-0.40568663736909616,-0.5591156499887195,-0.4826522083458258,add_rank1,EleutherAI/pythia-70m-deduped,32,0.96875,step143000
-0.38971528567126373,-0.5380617552094918,-0.4630158451521614,add_rank2,EleutherAI/pythia-70m-deduped,32,0.96875,step143000
-0.01975311855543017,-0.04186367506335955,-0.03032941765074308,equivalent_interp_025,EleutherAI/pythia-70m-deduped,32,0.84375,step143000
-0.058265809922401525,-0.11181534379817701,-0.08369725639931858,equivalent_interp_050,EleutherAI/pythia-70m-deduped,32,0.84375,step143000
-0.12461521033352867,-0.21729206237020357,-0.1683167529796871,equivalent_interp_075,EleutherAI/pythia-70m-deduped,32,0.9375,step143000
-0.13255941080618264,-0.329857375146336,-0.2301208118442446,nearest_nonequivalent,EleutherAI/pythia-70m-deduped,32,0.875,step143000
-0.4551713024028384,-0.7134096696031823,-0.5843589613020109,norm_matched_nonequivalent,EleutherAI/pythia-70m-deduped,32,0.9375,step143000
-0.7927775682590825,-1.2500118750370812,-1.0185206284692185,remove_rank1,EleutherAI/pythia-70m-deduped,32,0.96875,step143000
-0.8895319387519522,-1.456786185490527,-1.1539441057232884,remove_rank2,EleutherAI/pythia-70m-deduped,32,1.0,step143000
-0.15738949834145993,-0.22778147575445473,-0.19267174766476575,add_rank1,Qwen/Qwen3-0.6B,32,0.96875,c1899de289a04d12100db370d81485cdf75e47ca
-0.18045852317445682,-0.2660214322825292,-0.22278032305378775,add_rank2,Qwen/Qwen3-0.6B,32,0.96875,c1899de289a04d12100db370d81485cdf75e47ca
0.013046129830278608,-0.0020560100461201112,0.006063972231155883,equivalent_interp_025,Qwen/Qwen3-0.6B,32,0.1875,c1899de289a04d12100db370d81485cdf75e47ca
0.023121504926530177,-0.021184977748392456,0.0016032089673293144,equivalent_interp_050,Qwen/Qwen3-0.6B,32,0.28125,c1899de289a04d12100db370d81485cdf75e47ca
0.014775110572130224,-0.047892185008095105,-0.013674150803126395,equivalent_interp_075,Qwen/Qwen3-0.6B,32,0.3125,c1899de289a04d12100db370d81485cdf75e47ca
0.023057203901286502,-0.08192523120375578,-0.021817074725428633,nearest_nonequivalent,Qwen/Qwen3-0.6B,32,0.375,c1899de289a04d12100db370d81485cdf75e47ca
-0.01753363820672198,-0.16149114013508095,-0.08414977179897201,norm_matched_nonequivalent,Qwen/Qwen3-0.6B,32,0.53125,c1899de289a04d12100db370d81485cdf75e47ca
-0.622571853855364,-1.0690971664853046,-0.8374345167430876,remove_rank1,Qwen/Qwen3-0.6B,32,1.0,c1899de289a04d12100db370d81485cdf75e47ca
-0.7118220134813954,-1.1556274627126337,-0.9338416413272626,remove_rank2,Qwen/Qwen3-0.6B,32,1.0,c1899de289a04d12100db370d81485cdf75e47ca
