accuracy,accuracy_ci_high,accuracy_ci_low,dependency_span,mean_margin,model_depth,model_seed,model_width,n_families,nuisance_count,parameter_count,predictive_order,raw_length,span_mode,training_budget,training_steps
1.0,1.0,1.0,1,6.995572805404663,2,11,32,16,0,22784,1,1,contiguous,1,400
1.0,1.0,1.0,1,6.827554643154144,2,11,32,16,2,22784,1,1,contiguous,1,400
1.0,1.0,1.0,1,6.945263028144836,2,11,32,16,4,22784,1,1,contiguous,1,400
1.0,1.0,1.0,1,6.838268876075745,2,11,32,16,8,22784,1,1,contiguous,1,400
1.0,1.0,1.0,1,6.995572805404663,2,11,32,16,0,22784,1,1,large,1,400
1.0,1.0,1.0,1,6.827554643154144,2,11,32,16,2,22784,1,1,large,1,400
1.0,1.0,1.0,1,6.945263028144836,2,11,32,16,4,22784,1,1,large,1,400
1.0,1.0,1.0,1,6.838268876075745,2,11,32,16,8,22784,1,1,large,1,400
1.0,1.0,1.0,1,6.995572805404663,2,11,32,16,0,22784,1,1,moderate,1,400
1.0,1.0,1.0,1,6.827554643154144,2,11,32,16,2,22784,1,1,moderate,1,400
1.0,1.0,1.0,1,6.945263028144836,2,11,32,16,4,22784,1,1,moderate,1,400
1.0,1.0,1.0,1,6.838268876075745,2,11,32,16,8,22784,1,1,moderate,1,400
1.0,1.0,1.0,1,6.688560962677002,2,11,32,16,0,22784,1,4,contiguous,1,400
1.0,1.0,1.0,1,6.477570831775665,2,11,32,16,2,22784,1,4,contiguous,1,400
1.0,1.0,1.0,1,6.453095316886902,2,11,32,16,4,22784,1,4,contiguous,1,400
1.0,1.0,1.0,1,6.408037185668945,2,11,32,16,8,22784,1,4,contiguous,1,400
1.0,1.0,1.0,1,6.688560962677002,2,11,32,16,0,22784,1,4,large,1,400
1.0,1.0,1.0,1,6.477570831775665,2,11,32,16,2,22784,1,4,large,1,400
1.0,1.0,1.0,1,6.453095316886902,2,11,32,16,4,22784,1,4,large,1,400
1.0,1.0,1.0,1,6.408037185668945,2,11,32,16,8,22784,1,4,large,1,400
1.0,1.0,1.0,1,6.688560962677002,2,11,32,16,0,22784,1,4,moderate,1,400
1.0,1.0,1.0,1,6.477570831775665,2,11,32,16,2,22784,1,4,moderate,1,400
1.0,1.0,1.0,1,6.453095316886902,2,11,32,16,4,22784,1,4,moderate,1,400
1.0,1.0,1.0,1,6.408037185668945,2,11,32,16,8,22784,1,4,moderate,1,400
1.0,1.0,1.0,1,6.434679865837097,2,11,32,16,0,22784,1,8,contiguous,1,400
1.0,1.0,1.0,1,6.549182832241058,2,11,32,16,2,22784,1,8,contiguous,1,400
1.0,1.0,1.0,1,6.6275575160980225,2,11,32,16,4,22784,1,8,contiguous,1,400
1.0,1.0,1.0,1,6.454526424407959,2,11,32,16,8,22784,1,8,contiguous,1,400
1.0,1.0,1.0,1,6.434679865837097,2,11,32,16,0,22784,1,8,large,1,400
1.0,1.0,1.0,1,6.549182832241058,2,11,32,16,2,22784,1,8,large,1,400
1.0,1.0,1.0,1,6.6275575160980225,2,11,32,16,4,22784,1,8,large,1,400
1.0,1.0,1.0,1,6.454526424407959,2,11,32,16,8,22784,1,8,large,1,400
1.0,1.0,1.0,1,6.434679865837097,2,11,32,16,0,22784,1,8,moderate,1,400
1.0,1.0,1.0,1,6.549182832241058,2,11,32,16,2,22784,1,8,moderate,1,400
1.0,1.0,1.0,1,6.6275575160980225,2,11,32,16,4,22784,1,8,moderate,1,400
1.0,1.0,1.0,1,6.454526424407959,2,11,32,16,8,22784,1,8,moderate,1,400
0.25,0.4375,0.0625,2,-0.40483367443084717,2,11,32,16,0,22784,2,2,contiguous,1,400
0.25,0.4390624999999986,0.0625,2,-0.41334909200668335,2,11,32,16,2,22784,2,2,contiguous,1,400
0.25,0.4375,0.0625,2,-0.407511830329895,2,11,32,16,4,22784,2,2,contiguous,1,400
0.25,0.5,0.0625,2,-0.4052641987800598,2,11,32,16,8,22784,2,2,contiguous,1,400
0.4375,0.6875,0.1875,3,-0.03333091735839844,2,11,32,16,0,22784,2,2,moderate,1,400
