dependency_span,first_top1_layer,model_depth,model_seed,model_width,nuisance_count,predictive_order,raw_length,reversals,settling_delay,span_mode,stable_top1_layer,training_budget
1,1.125,2,11,32,0,1,1,1.0,0.0,contiguous,1.125,1
1,1.875,2,11,64,0,1,1,1.0,0.0,contiguous,1.875,1
1,1.375,4,11,32,0,1,1,1.0,0.0,contiguous,1.375,1
1,1.0,4,11,64,0,1,1,1.0,0.0,contiguous,1.0,1
1,2.875,8,11,32,0,1,1,1.25,0.25,contiguous,3.125,1
1,2.0,8,11,64,0,1,1,1.0,0.0,contiguous,2.0,1
2,2.1875,8,11,64,0,2,2,1.0,0.0,contiguous,2.1875,1
1,2.0,8,11,64,0,1,1,1.0,0.0,contiguous,2.0,2
2,1.9375,8,11,64,0,2,2,1.0,0.0,contiguous,1.9375,2
3,2.625,8,11,64,0,3,3,1.125,0.0,contiguous,2.642857142857143,2
1,1.0,8,11,64,0,1,1,1.0,0.0,contiguous,1.0,4
2,1.75,8,11,64,0,2,2,1.0,0.0,contiguous,1.75,4
3,2.25,8,11,64,0,3,3,1.125,0.0,contiguous,2.0714285714285716,4
1,2.5,12,11,32,0,1,1,1.0,0.0,contiguous,2.5,1
1,1.0,12,11,64,0,1,1,1.0,0.0,contiguous,1.0,1
1,2.625,16,11,32,0,1,1,1.0,0.0,contiguous,2.625,1
1,1.0,16,11,64,0,1,1,1.0,0.0,contiguous,1.0,1
1,3.875,24,11,32,0,1,1,1.0,0.0,contiguous,3.875,1
2,4.1875,24,11,32,0,2,2,1.125,0.5,contiguous,4.6875,1
1,1.875,24,11,64,0,1,1,1.0,0.0,contiguous,1.875,1
2,2.125,24,11,64,0,2,2,1.0,0.0,contiguous,2.125,1
