dependency_span,family_id,first_top1_layer,margin_trajectory,model_depth,model_seed,model_type,model_width,nuisance_count,parameter_count,predictive_order,raw_length,settling_delay,span_mode,stable_top1_layer,top1_reversals,training_budget,training_steps
1,"p1:(2,):0",1,-19.5958;1.8176;6.40493,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(3,):1",1,-17.2894;4.80215;6.38992,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(2,):2",1,-19.5958;1.8176;6.40493,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(0,):3",2,-30.8781;-3.68907;9.86094,2,11,transformer,32,0,22784,1,1,0,contiguous,2,1,1,400
1,"p1:(2,):4",1,-19.5958;1.8176;6.40493,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(0,):5",2,-30.8781;-3.68907;9.86094,2,11,transformer,32,0,22784,1,1,0,contiguous,2,1,1,400
1,"p1:(2,):6",1,-19.5958;1.8176;6.40493,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(2,):7",1,-19.5958;1.8176;6.40493,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(3,):8",1,-17.2894;4.80215;6.38992,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(3,):9",1,-17.2894;4.80215;6.38992,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(1,):10",1,-23.4829;3.01373;7.71907,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(1,):11",1,-23.4829;3.01373;7.71907,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(3,):12",1,-17.2894;4.80215;6.38992,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(3,):13",1,-17.2894;4.80215;6.38992,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(3,):14",1,-17.2894;4.80215;6.38992,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
1,"p1:(2,):15",1,-19.5958;1.8176;6.40493,2,11,transformer,32,0,22784,1,1,0,contiguous,1,1,1,400
2,"p2:(1, 1):0",,-19.5958;-0.695482;-0.863583,2,11,transformer,32,0,22784,2,2,,contiguous,,0,1,400
2,"p2:(2, 3):1",2,-23.4829;-0.515866;0.764147,2,11,transformer,32,0,22784,2,2,0,contiguous,2,1,1,400
2,"p2:(2, 2):2",,-30.8781;-3.87821;-0.553401,2,11,transformer,32,0,22784,2,2,,contiguous,,0,1,400
2,"p2:(1, 2):3",1,-17.2894;1.11544;-0.70815,2,11,transformer,32,0,22784,2,2,,contiguous,,2,1,400
2,"p2:(2, 0):4",,-19.5958;-0.343652;-1.16971,2,11,transformer,32,0,22784,2,2,,contiguous,,0,1,400
2,"p2:(0, 0):5",,-30.8781;-3.50818;-0.763,2,11,transformer,32,0,22784,2,2,,contiguous,,0,1,400
2,"p2:(2, 3):6",2,-23.4829;-0.515866;0.764147,2,11,transformer,32,0,22784,2,2,0,contiguous,2,1,1,400
2,"p2:(3, 1):7",,-30.8781;-3.991;-0.455428,2,11,transformer,32,0,22784,2,2,,contiguous,,0,1,400
2,"p2:(3, 2):8",2,-23.4829;-1.1926;0.553214,2,11,transformer,32,0,22784,2,2,0,contiguous,2,1,1,400
2,"p2:(0, 0):9",,-30.8781;-3.50818;-0.763,2,11,transformer,32,0,22784,2,2,,contiguous,,0,1,400
2,"p2:(1, 2):10",1,-17.2894;1.11544;-0.70815,2,11,transformer,32,0,22784,2,2,,contiguous,,2,1,400
2,"p2:(1, 3):11",,-30.8781;-3.4996;-0.763629,2,11,transformer,32,0,22784,2,2,,contiguous,,0,1,400
