identified,minimum_depth,model_width,predictive_order,threshold,training_budget
True,2,32,1,0.8,1
True,24,32,2,0.8,1
False,,32,3,0.8,1
False,,32,4,0.8,1
False,,32,6,0.8,1
False,,32,8,0.8,1
True,2,64,1,0.8,1
True,8,64,2,0.8,1
False,,64,3,0.8,1
False,,64,4,0.8,1
False,,64,6,0.8,1
False,,64,8,0.8,1
True,8,64,1,0.8,2
True,8,64,2,0.8,2
True,8,64,3,0.8,2
False,,64,4,0.8,2
False,,64,6,0.8,2
False,,64,8,0.8,2
True,8,64,1,0.8,4
True,8,64,2,0.8,4
True,8,64,3,0.8,4
False,,64,4,0.8,4
False,,64,6,0.8,4
False,,64,8,0.8,4
True,2,32,1,0.9,1
True,24,32,2,0.9,1
False,,32,3,0.9,1
False,,32,4,0.9,1
False,,32,6,0.9,1
False,,32,8,0.9,1
True,2,64,1,0.9,1
True,8,64,2,0.9,1
False,,64,3,0.9,1
False,,64,4,0.9,1
False,,64,6,0.9,1
False,,64,8,0.9,1
True,8,64,1,0.9,2
True,8,64,2,0.9,2
True,8,64,3,0.9,2
False,,64,4,0.9,2
False,,64,6,0.9,2
False,,64,8,0.9,2
True,8,64,1,0.9,4
True,8,64,2,0.9,4
True,8,64,3,0.9,4
False,,64,4,0.9,4
False,,64,6,0.9,4
False,,64,8,0.9,4
