identified,minimum_width,model_depth,predictive_order,threshold,training_budget
True,32,2,1,0.8,1
False,,2,2,0.8,1
False,,2,3,0.8,1
False,,2,4,0.8,1
False,,2,6,0.8,1
False,,2,8,0.8,1
True,32,4,1,0.8,1
False,,4,2,0.8,1
False,,4,3,0.8,1
False,,4,4,0.8,1
False,,4,6,0.8,1
False,,4,8,0.8,1
True,32,8,1,0.8,1
True,64,8,2,0.8,1
False,,8,3,0.8,1
False,,8,4,0.8,1
False,,8,6,0.8,1
False,,8,8,0.8,1
True,64,8,1,0.8,2
True,64,8,2,0.8,2
True,64,8,3,0.8,2
False,,8,4,0.8,2
False,,8,6,0.8,2
False,,8,8,0.8,2
True,64,8,1,0.8,4
True,64,8,2,0.8,4
True,64,8,3,0.8,4
False,,8,4,0.8,4
False,,8,6,0.8,4
False,,8,8,0.8,4
True,32,12,1,0.8,1
False,,12,2,0.8,1
False,,12,3,0.8,1
False,,12,4,0.8,1
False,,12,6,0.8,1
False,,12,8,0.8,1
True,32,16,1,0.8,1
False,,16,2,0.8,1
False,,16,3,0.8,1
False,,16,4,0.8,1
False,,16,6,0.8,1
False,,16,8,0.8,1
True,32,24,1,0.8,1
True,32,24,2,0.8,1
False,,24,3,0.8,1
False,,24,4,0.8,1
False,,24,6,0.8,1
False,,24,8,0.8,1
True,32,2,1,0.9,1
False,,2,2,0.9,1
False,,2,3,0.9,1
False,,2,4,0.9,1
False,,2,6,0.9,1
False,,2,8,0.9,1
True,32,4,1,0.9,1
False,,4,2,0.9,1
False,,4,3,0.9,1
False,,4,4,0.9,1
False,,4,6,0.9,1
False,,4,8,0.9,1
True,32,8,1,0.9,1
True,64,8,2,0.9,1
False,,8,3,0.9,1
False,,8,4,0.9,1
False,,8,6,0.9,1
False,,8,8,0.9,1
True,64,8,1,0.9,2
True,64,8,2,0.9,2
True,64,8,3,0.9,2
False,,8,4,0.9,2
False,,8,6,0.9,2
False,,8,8,0.9,2
True,64,8,1,0.9,4
True,64,8,2,0.9,4
True,64,8,3,0.9,4
False,,8,4,0.9,4
False,,8,6,0.9,4
False,,8,8,0.9,4
True,32,12,1,0.9,1
False,,12,2,0.9,1
False,,12,3,0.9,1
False,,12,4,0.9,1
False,,12,6,0.9,1
False,,12,8,0.9,1
True,32,16,1,0.9,1
False,,16,2,0.9,1
False,,16,3,0.9,1
False,,16,4,0.9,1
False,,16,6,0.9,1
False,,16,8,0.9,1
True,32,24,1,0.9,1
True,32,24,2,0.9,1
False,,24,3,0.9,1
False,,24,4,0.9,1
False,,24,6,0.9,1
False,,24,8,0.9,1
