loss,model_depth,model_seed,model_type,model_width,parameter_count,step,training_budget,training_steps
23.447059631347656,12,11,transformer,32,108224,1,1,400
1.4064018726348877,12,11,transformer,32,108224,100,1,400
1.2877717018127441,12,11,transformer,32,108224,200,1,400
1.1694157123565674,12,11,transformer,32,108224,300,1,400
1.1420307159423828,12,11,transformer,32,108224,400,1,400
31.795978546142578,12,11,transformer,64,413056,1,1,400
1.203669548034668,12,11,transformer,64,413056,100,1,400
1.1285755634307861,12,11,transformer,64,413056,200,1,400
1.1745779514312744,12,11,transformer,64,413056,300,1,400
1.1950236558914185,12,11,transformer,64,413056,400,1,400
23.21146011352539,16,11,transformer,32,142400,1,1,400
1.3383488655090332,16,11,transformer,32,142400,100,1,400
1.152590274810791,16,11,transformer,32,142400,200,1,400
1.153029203414917,16,11,transformer,32,142400,300,1,400
1.1352922916412354,16,11,transformer,32,142400,400,1,400
34.969032287597656,16,11,transformer,64,546944,1,1,400
1.4543991088867188,16,11,transformer,64,546944,100,1,400
1.1979347467422485,16,11,transformer,64,546944,200,1,400
1.2189033031463623,16,11,transformer,64,546944,300,1,400
1.1199519634246826,16,11,transformer,64,546944,400,1,400
17.166841506958008,24,11,transformer,32,210752,1,1,400
1.2827324867248535,24,11,transformer,32,210752,100,1,400
1.2228143215179443,24,11,transformer,32,210752,200,1,400
1.0217043161392212,24,11,transformer,32,210752,300,1,400
1.0061004161834717,24,11,transformer,32,210752,400,1,400
32.99725341796875,24,11,transformer,64,814720,1,1,400
1.494470238685608,24,11,transformer,64,814720,100,1,400
1.135596752166748,24,11,transformer,64,814720,200,1,400
1.2105588912963867,24,11,transformer,64,814720,300,1,400
0.972069501876831,24,11,transformer,64,814720,400,1,400
