component,family,layer,mode,model_id,realization,revision,semantic,syntax,target_logprob_change
sa,alternation:number,0,zero,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.09090232849121094
sa,alternation:number,0,replace_equivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.05828285217285156
sa,alternation:number,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.3177204132080078
sa,alternation:number,0,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.16457176208496094
sa,alternation:number,0,replace_nonequivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.40828990936279297
sa,alternation:number,0,project_remove,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.028917312622070312
sa,alternation:number,0,add,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.013950347900390625
ff,alternation:number,0,zero,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,1.1036338806152344
ff,alternation:number,0,replace_equivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,1.9073486328125e-06
ff,alternation:number,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.002468109130859375
ff,alternation:number,0,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.09912776947021484
ff,alternation:number,0,replace_nonequivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.002468109130859375
ff,alternation:number,0,project_remove,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,1.1036300659179688
ff,alternation:number,0,add,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.20763587951660156
sa,alternation:number,3,zero,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.036459922790527344
sa,alternation:number,3,replace_equivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.20511817932128906
sa,alternation:number,3,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.12228107452392578
sa,alternation:number,3,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.031523704528808594
sa,alternation:number,3,replace_nonequivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.07292842864990234
sa,alternation:number,3,project_remove,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.075042724609375
sa,alternation:number,3,add,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.07345771789550781
ff,alternation:number,3,zero,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.2774171829223633
ff,alternation:number,3,replace_equivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.10430717468261719
ff,alternation:number,3,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.10816478729248047
ff,alternation:number,3,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.3215656280517578
ff,alternation:number,3,replace_nonequivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.2708148956298828
ff,alternation:number,3,project_remove,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.3160591125488281
ff,alternation:number,3,add,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.16252517700195312
sa,alternation:number,5,zero,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.08207321166992188
sa,alternation:number,5,replace_equivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.17736339569091797
sa,alternation:number,5,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.17881393432617188
sa,alternation:number,5,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.05515289306640625
sa,alternation:number,5,replace_nonequivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.07215118408203125
sa,alternation:number,5,project_remove,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.10615158081054688
sa,alternation:number,5,add,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.11132144927978516
ff,alternation:number,5,zero,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.15704917907714844
ff,alternation:number,5,replace_equivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.06379222869873047
ff,alternation:number,5,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.1775646209716797
ff,alternation:number,5,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.2812814712524414
ff,alternation:number,5,replace_nonequivalent,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.19269752502441406
ff,alternation:number,5,project_remove,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,-0.18161869049072266
ff,alternation:number,5,add,EleutherAI/pythia-70m-deduped,2,step0,number,alternation,0.09156322479248047
sa,alternation:number,0,zero,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.10791397094726562
sa,alternation:number,0,replace_equivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.06476211547851562
sa,alternation:number,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.32433509826660156
sa,alternation:number,0,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.16917991638183594
sa,alternation:number,0,replace_nonequivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.41131019592285156
sa,alternation:number,0,project_remove,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.027795791625976562
sa,alternation:number,0,add,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.013376235961914062
ff,alternation:number,0,zero,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,1.1723041534423828
ff,alternation:number,0,replace_equivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,9.5367431640625e-07
ff,alternation:number,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.014643669128417969
ff,alternation:number,0,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.12541484832763672
ff,alternation:number,0,replace_nonequivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.014643669128417969
ff,alternation:number,0,project_remove,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,1.1723003387451172
ff,alternation:number,0,add,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.21627044677734375
sa,alternation:number,3,zero,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.0003299713134765625
sa,alternation:number,3,replace_equivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.16544246673583984
sa,alternation:number,3,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.08379364013671875
sa,alternation:number,3,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.007687568664550781
sa,alternation:number,3,replace_nonequivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.03322792053222656
sa,alternation:number,3,project_remove,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.07760143280029297
sa,alternation:number,3,add,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.07119369506835938
ff,alternation:number,3,zero,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.24954986572265625
ff,alternation:number,3,replace_equivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.1095438003540039
ff,alternation:number,3,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.10016918182373047
ff,alternation:number,3,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.28756141662597656
ff,alternation:number,3,replace_nonequivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.25578880310058594
ff,alternation:number,3,project_remove,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.3015871047973633
ff,alternation:number,3,add,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.1549701690673828
sa,alternation:number,5,zero,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.06734085083007812
sa,alternation:number,5,replace_equivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.18971538543701172
sa,alternation:number,5,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.19146347045898438
sa,alternation:number,5,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.0681447982788086
sa,alternation:number,5,replace_nonequivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.08538246154785156
sa,alternation:number,5,project_remove,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.11115837097167969
sa,alternation:number,5,add,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.11089897155761719
ff,alternation:number,5,zero,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.1781148910522461
ff,alternation:number,5,replace_equivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.04256153106689453
ff,alternation:number,5,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.19824981689453125
ff,alternation:number,5,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.25848865509033203
ff,alternation:number,5,replace_nonequivalent,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.2133636474609375
ff,alternation:number,5,project_remove,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,-0.1797637939453125
ff,alternation:number,5,add,EleutherAI/pythia-70m-deduped,3,step0,number,alternation,0.09016609191894531
sa,mapping:number,0,zero,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,0.2351388931274414
sa,mapping:number,0,replace_equivalent,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,-0.19687938690185547
sa,mapping:number,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,0.2944021224975586
sa,mapping:number,0,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,-0.42679786682128906
sa,mapping:number,0,replace_nonequivalent,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,-0.2604255676269531
sa,mapping:number,0,project_remove,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,0.22814369201660156
sa,mapping:number,0,add,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,-0.13033199310302734
ff,mapping:number,0,zero,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,1.5137462615966797
ff,mapping:number,0,replace_equivalent,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,9.5367431640625e-07
ff,mapping:number,0,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,0.04583549499511719
ff,mapping:number,0,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,9.5367431640625e-07
ff,mapping:number,0,replace_nonequivalent,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,0.0029802322387695312
ff,mapping:number,0,project_remove,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,1.5137453079223633
ff,mapping:number,0,add,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,-0.2004079818725586
sa,mapping:number,3,zero,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,-0.05955314636230469
sa,mapping:number,3,replace_equivalent,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,0.034580230712890625
sa,mapping:number,3,replace_syntax_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,0.11715221405029297
sa,mapping:number,3,replace_semantic_mismatch,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,0.026266098022460938
sa,mapping:number,3,replace_nonequivalent,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,0.020890235900878906
sa,mapping:number,3,project_remove,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,-0.04512977600097656
sa,mapping:number,3,add,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,0.05376243591308594
ff,mapping:number,3,zero,EleutherAI/pythia-70m-deduped,2,step0,number,mapping,-0.4038524627685547
