direction,end_layer,error_growth_per_layer,frozen_path_error,horizon,jvp_cosine,model_id,observed_delta_norm,observed_margin_delta,pair_id,pair_type,piecewise_error,predicted_delta_norm,predicted_margin_delta,remaining_to_final,revision,start_layer
nuisance,1,0.9078947901725769,0.9078947901725769,1,0.5373257398605347,EleutherAI/pythia-70m-deduped,14.216337203979492,1.030029296875,pythia-70m-deduped_0,P1,0.9078947901725769,12.417525291442871,0.7368742227554321,0,step143000,0
nuisance,3,0.6799812912940979,0.6799812912940979,1,0.9404736757278442,EleutherAI/pythia-70m-deduped,32.0408821105957,0.23187255859375,pythia-70m-deduped_0,P1,0.6799812912940979,49.00412368774414,-0.5097876787185669,0,step143000,2
nuisance,1,0.6251445412635803,0.6251445412635803,1,0.7907150983810425,EleutherAI/pythia-70m-deduped,9.045042991638184,-1.38677978515625,pythia-70m-deduped_1,P1,0.6251445412635803,8.297451972961426,-0.4158865213394165,0,step143000,0
nuisance,3,1.0577099323272705,1.0577099323272705,1,0.35285985469818115,EleutherAI/pythia-70m-deduped,19.095539093017578,-0.17266845703125,pythia-70m-deduped_1,P1,1.0577099323272705,16.156232833862305,-0.4387723505496979,0,step143000,2
nuisance,1,1.2615469694137573,1.2615469694137573,1,0.3613390326499939,EleutherAI/pythia-70m-deduped,7.197741508483887,1.61016845703125,pythia-70m-deduped_2,P3,1.2615469694137573,8.717069625854492,2.023866891860962,0,step143000,0
nuisance,3,0.4073118269443512,0.4073118269443512,1,0.9184006452560425,EleutherAI/pythia-70m-deduped,8.597211837768555,2.13665771484375,pythia-70m-deduped_2,P3,0.4073118269443512,8.727553367614746,2.5092480182647705,0,step143000,2
signal,1,0.679585337638855,0.679585337638855,1,0.7929506301879883,EleutherAI/pythia-70m-deduped,3.875910520553589,0.0950927734375,pythia-70m-deduped_4,P4,0.679585337638855,4.240093231201172,1.5426772832870483,0,step143000,0
signal,3,0.2878594696521759,0.2878594696521759,1,0.9580228924751282,EleutherAI/pythia-70m-deduped,4.711834907531738,2.542724609375,pythia-70m-deduped_4,P4,0.2878594696521759,4.636096477508545,2.5427913665771484,0,step143000,2
nuisance,1,0.9886903166770935,0.9886903166770935,1,0.46338456869125366,Qwen/Qwen3-0.6B,18.520214080810547,0.01766204833984375,Qwen3-0.6B_0,P1,0.9886903166770935,16.70207405090332,-0.5820044279098511,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,25,0.32267123460769653,0.32267123460769653,1,0.9512902498245239,Qwen/Qwen3-0.6B,395.2749328613281,2.3993701934814453,Qwen3-0.6B_0,P1,0.32267123460769653,413.66455078125,3.573713541030884,0,c1899de289a04d12100db370d81485cdf75e47ca,24
nuisance,1,0.9102573990821838,0.9102573990821838,1,0.6202906966209412,Qwen/Qwen3-0.6B,8.963644027709961,-0.010894775390625,Qwen3-0.6B_1,P1,0.9102573990821838,9.700140953063965,0.08610516041517258,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,25,0.27079176902770996,0.27079176902770996,1,0.9632985591888428,Qwen/Qwen3-0.6B,215.89979553222656,-0.6651401519775391,Qwen3-0.6B_1,P1,0.27079176902770996,215.67648315429688,-0.7073574066162109,0,c1899de289a04d12100db370d81485cdf75e47ca,24
nuisance,1,0.8250415325164795,0.8250415325164795,1,0.6183555722236633,Qwen/Qwen3-0.6B,10.192755699157715,0.42078685760498047,Qwen3-0.6B_2,P3,0.8250415325164795,8.862268447875977,0.5800182819366455,0,c1899de289a04d12100db370d81485cdf75e47ca,0
nuisance,25,0.22530703246593475,0.22530703246593475,1,0.9750686883926392,Qwen/Qwen3-0.6B,326.2701110839844,-2.0133352279663086,Qwen3-0.6B_2,P3,0.22530703246593475,330.863525390625,-0.02574847638607025,0,c1899de289a04d12100db370d81485cdf75e47ca,24
signal,1,0.768949031829834,0.768949031829834,1,0.7419824600219727,Qwen/Qwen3-0.6B,8.408761024475098,0.24890708923339844,Qwen3-0.6B_3,P4,0.768949031829834,9.405814170837402,-0.7551647424697876,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,25,0.23306705057621002,0.23306705057621002,1,0.9734064936637878,Qwen/Qwen3-0.6B,234.454345703125,-8.503910064697266,Qwen3-0.6B_3,P4,0.23306705057621002,238.2779998779297,-1.9926916360855103,0,c1899de289a04d12100db370d81485cdf75e47ca,24
signal,1,0.7099868655204773,0.7099868655204773,1,0.7332237958908081,Qwen/Qwen3-0.6B,5.103959083557129,-1.4363555908203125,Qwen3-0.6B_4,P4,0.7099868655204773,4.784580230712891,0.4701714515686035,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,25,0.17464949190616608,0.17464949190616608,1,0.9846959114074707,Qwen/Qwen3-0.6B,162.73048400878906,-3.4331750869750977,Qwen3-0.6B_4,P4,0.17464949190616608,162.0831756591797,-3.396418809890747,0,c1899de289a04d12100db370d81485cdf75e47ca,24
signal,1,0.7128297686576843,0.7128297686576843,1,0.7210165858268738,Qwen/Qwen3-0.6B,8.211066246032715,-0.3260478973388672,Qwen3-0.6B_5,P4,0.7128297686576843,7.294070243835449,0.5039466023445129,0,c1899de289a04d12100db370d81485cdf75e47ca,0
signal,25,0.25936219096183777,0.25936219096183777,1,0.967136561870575,Qwen/Qwen3-0.6B,223.65875244140625,-7.686304092407227,Qwen3-0.6B_5,P4,0.25936219096183777,227.7604217529297,-0.8920271396636963,0,c1899de289a04d12100db370d81485cdf75e47ca,24
