axis,axis_value,computation_index,family_id,hidden_norm,hidden_pair_distance,model_type,target_margin,top1_correct
length,2,0,"length:(2, 2):0",,,transformer,-25.306743621826172,0
length,2,1,"length:(2, 2):0",,,transformer,0.006022453308105469,1
length,2,2,"length:(2, 2):0",,,transformer,8.690751075744629,1
length,2,3,"length:(2, 2):0",,,transformer,11.830123901367188,1
length,2,4,"length:(2, 2):0",,,transformer,12.679741859436035,1
length,2,0,"length:(2, 0):1",,,transformer,-22.153284072875977,0
length,2,1,"length:(2, 0):1",,,transformer,-8.823698043823242,0
length,2,2,"length:(2, 0):1",,,transformer,-7.742456436157227,0
length,2,3,"length:(2, 0):1",,,transformer,10.636773109436035,1
length,2,4,"length:(2, 0):1",,,transformer,8.995811462402344,1
length,2,0,"length:(0, 2):2",,,transformer,-22.153284072875977,0
length,2,1,"length:(0, 2):2",,,transformer,-9.344476699829102,0
length,2,2,"length:(0, 2):2",,,transformer,2.8005170822143555,1
length,2,3,"length:(0, 2):2",,,transformer,14.380250930786133,1
length,2,4,"length:(0, 2):2",,,transformer,8.558893203735352,1
length,2,0,"length:(1, 3):3",,,transformer,-25.306743621826172,0
length,2,1,"length:(1, 3):3",,,transformer,-1.9256229400634766,0
length,2,2,"length:(1, 3):3",,,transformer,4.612940788269043,1
length,2,3,"length:(1, 3):3",,,transformer,10.78711223602295,1
length,2,4,"length:(1, 3):3",,,transformer,14.34363079071045,1
length,2,0,"length:(3, 0):4",,,transformer,-23.88418960571289,0
length,2,1,"length:(3, 0):4",,,transformer,-15.33138656616211,0
length,2,2,"length:(3, 0):4",,,transformer,-1.785562515258789,0
length,2,3,"length:(3, 0):4",,,transformer,6.216045379638672,1
length,2,4,"length:(3, 0):4",,,transformer,14.573493957519531,1
length,2,0,"length:(0, 2):5",,,transformer,-22.153284072875977,0
length,2,1,"length:(0, 2):5",,,transformer,-9.344476699829102,0
length,2,2,"length:(0, 2):5",,,transformer,2.8005170822143555,1
length,2,3,"length:(0, 2):5",,,transformer,14.380250930786133,1
length,2,4,"length:(0, 2):5",,,transformer,8.558893203735352,1
length,2,0,"length:(1, 3):6",,,transformer,-25.306743621826172,0
length,2,1,"length:(1, 3):6",,,transformer,-1.9256229400634766,0
length,2,2,"length:(1, 3):6",,,transformer,4.612940788269043,1
length,2,3,"length:(1, 3):6",,,transformer,10.78711223602295,1
length,2,4,"length:(1, 3):6",,,transformer,14.34363079071045,1
length,2,0,"length:(0, 3):7",,,transformer,-23.88418960571289,0
length,2,1,"length:(0, 3):7",,,transformer,-1.749856948852539,0
length,2,2,"length:(0, 3):7",,,transformer,8.969061851501465,1
length,2,3,"length:(0, 3):7",,,transformer,14.533973693847656,1
length,2,4,"length:(0, 3):7",,,transformer,12.008338928222656,1
length,2,0,"length:(1, 3):8",,,transformer,-25.306743621826172,0
