axis,intercept,model_type,r2,range_max,range_min,slope
length,0.9999999999999999,gru,1.0,32.0,2.0,3.020165839882455e-18
nuisance,1.0000000000000002,gru,1.0,16.0,0.0,-3.832823584814715e-18
predictive_order,1.0000000000000009,gru,1.0,8.0,1.0,-3.160326121851502e-17
span,1.0,gru,1.0,64.0,1.0,-7.92241687940044e-18
length,1.0211588541666665,lstm,0.8067876344086025,32.0,2.0,-0.003344464045698918
nuisance,1.0000000000000002,lstm,1.0,16.0,0.0,-3.832823584814715e-18
predictive_order,1.0765165441176479,lstm,0.5892813556958054,8.0,1.0,-0.02987132352941184
span,1.0,lstm,1.0,64.0,1.0,-7.92241687940044e-18
length,0.913411458333333,rnn,0.5230843938813186,32.0,2.0,-0.011162214381720423
nuisance,1.0000000000000002,rnn,1.0,16.0,0.0,-3.832823584814715e-18
predictive_order,1.2515318627450989,rnn,0.8966569540653224,8.0,1.0,-0.13189338235294124
span,0.9506106321839083,rnn,0.8041483038877415,64.0,1.0,-0.007120271065254779
length,0.9999999999999999,transformer,1.0,32.0,2.0,3.020165839882455e-18
nuisance,1.0013671875,transformer,0.7812499999999947,16.0,0.0,-0.0004882812500000093
predictive_order,1.0436580882352946,transformer,0.7251101779250462,8.0,1.0,-0.11833639705882357
span,1.0,transformer,1.0,64.0,1.0,-7.92241687940044e-18
