accuracy,axis,axis_value,dependency_span,mean_margin,model_type,nuisance_count,predictive_order,raw_length
1.0,length,2,1,14.796464182436466,gru,0,2,2
1.0,length,4,1,14.295704498887062,gru,0,2,4
1.0,length,8,1,13.727402903139591,gru,0,2,8
1.0,length,16,1,13.496678858995438,gru,0,2,16
1.0,length,32,1,12.769746392965317,gru,0,2,32
1.0,nuisance,0,1,15.154146656394005,gru,0,2,2
1.0,nuisance,2,1,14.860265009105206,gru,2,2,2
1.0,nuisance,4,1,14.69434006512165,gru,4,2,2
1.0,nuisance,8,1,14.547217957675457,gru,8,2,2
1.0,nuisance,16,1,14.591362252831459,gru,16,2,2
1.0,predictive_order,1,0,13.241137117147446,gru,0,1,1
1.0,predictive_order,2,1,15.108931869268417,gru,0,2,2
1.0,predictive_order,3,2,13.336294129490852,gru,0,3,3
1.0,predictive_order,4,3,12.325259387493134,gru,0,4,4
1.0,predictive_order,6,5,10.663644850254059,gru,0,6,6
1.0,predictive_order,8,7,7.163267865777016,gru,0,8,8
1.0,span,1,1,15.358449712395668,gru,0,2,2
1.0,span,2,2,14.94229170680046,gru,0,2,2
1.0,span,4,4,14.395698808133602,gru,0,2,2
1.0,span,8,8,14.161704264581203,gru,0,2,2
1.0,span,16,16,13.581828206777573,gru,0,2,2
1.0,span,32,32,12.670097552239895,gru,0,2,2
1.0,span,64,64,11.840288892388344,gru,0,2,2
1.0,length,2,1,12.92212101817131,lstm,0,2,2
1.0,length,4,1,12.098775178194046,lstm,0,2,4
1.0,length,8,1,12.5820944160223,lstm,0,2,8
1.0,length,16,1,12.358182236552238,lstm,0,2,16
0.8984375,length,32,1,10.14074444025755,lstm,0,2,32
1.0,nuisance,0,1,12.94067957997322,lstm,0,2,2
1.0,nuisance,2,1,13.702439591288567,lstm,2,2,2
1.0,nuisance,4,1,13.70634038746357,lstm,4,2,2
1.0,nuisance,8,1,13.418504565954208,lstm,8,2,2
1.0,nuisance,16,1,13.20717067271471,lstm,16,2,2
1.0,predictive_order,1,0,9.715431347489357,lstm,0,1,1
1.0,predictive_order,2,1,11.875065855681896,lstm,0,2,2
1.0,predictive_order,3,2,12.577445268630981,lstm,0,3,3
1.0,predictive_order,4,3,12.15335413068533,lstm,0,4,4
0.9921875,predictive_order,6,5,6.289501577615738,lstm,0,6,6
0.75,predictive_order,8,7,1.1352429613471031,lstm,0,8,8
1.0,span,1,1,12.533058628439903,lstm,0,2,2
1.0,span,2,2,12.6436677724123,lstm,0,2,2
1.0,span,4,4,13.072425439953804,lstm,0,2,2
1.0,span,8,8,13.066538132727146,lstm,0,2,2
1.0,span,16,16,13.034172303974628,lstm,0,2,2
1.0,span,32,32,12.936295926570892,lstm,0,2,2
1.0,span,64,64,12.244181595742702,lstm,0,2,2
1.0,length,2,1,9.229049496352673,rnn,0,2,2
0.9296875,length,4,1,4.275932610034943,rnn,0,2,4
0.7421875,length,8,1,3.4593473076820374,rnn,0,2,8
0.546875,length,16,1,1.2949577793478966,rnn,0,2,16
0.65625,length,32,1,2.1307993158698078,rnn,0,2,32
1.0,nuisance,0,1,9.051334969699383,rnn,0,2,2
1.0,nuisance,2,1,9.156097836792469,rnn,2,2,2
1.0,nuisance,4,1,9.198912896215916,rnn,4,2,2
1.0,nuisance,8,1,9.32838375121355,rnn,8,2,2
1.0,nuisance,16,1,9.438240349292755,rnn,16,2,2
1.0,predictive_order,1,0,7.6954924911260605,rnn,0,1,1
1.0,predictive_order,2,1,8.915900602936745,rnn,0,2,2
1.0,predictive_order,3,2,5.561070941388607,rnn,0,3,3
0.8125,predictive_order,4,3,1.9567661434412003,rnn,0,4,4
0.3046875,predictive_order,6,5,-0.15212731808423996,rnn,0,6,6
0.2265625,predictive_order,8,7,-0.10045710206031797,rnn,0,8,8
1.0,span,1,1,8.468418329954147,rnn,0,2,2
1.0,span,2,2,6.874296985566616,rnn,0,2,2
0.9453125,span,4,4,6.148332059383392,rnn,0,2,2
0.8515625,span,8,8,4.970270067453384,rnn,0,2,2
0.796875,span,16,16,3.7951174080371857,rnn,0,2,2
0.578125,span,32,32,0.286896489560604,rnn,0,2,2
0.578125,span,64,64,0.2905934751033783,rnn,0,2,2
1.0,length,2,1,11.49925196915865,transformer,0,2,2
1.0,length,4,1,9.702383480966091,transformer,0,2,4
1.0,length,8,1,9.566834457218647,transformer,0,2,8
1.0,length,16,1,11.4251369535923,transformer,0,2,16
1.0,length,32,1,11.398625507950783,transformer,0,2,32
1.0,nuisance,0,1,11.082807250320911,transformer,0,2,2
1.0,nuisance,2,1,10.872985109686852,transformer,2,2,2
1.0,nuisance,4,1,10.961327768862247,transformer,4,2,2
1.0,nuisance,8,1,10.69369263201952,transformer,8,2,2
0.9921875,nuisance,16,1,10.256366461515427,transformer,16,2,2
1.0,predictive_order,1,0,10.740840345621109,transformer,0,1,1
1.0,predictive_order,2,1,10.598362632095814,transformer,0,2,2
0.6328125,predictive_order,3,2,2.329750619828701,transformer,0,3,3
0.2578125,predictive_order,4,3,-0.16186492890119553,transformer,0,4,4
0.2578125,predictive_order,6,5,-0.2392965704202652,transformer,0,6,6
0.2734375,predictive_order,8,7,-0.19966412335634232,transformer,0,8,8
1.0,span,1,1,11.47653242200613,transformer,0,2,2
1.0,span,2,2,11.899866178631783,transformer,0,2,2
1.0,span,4,4,10.706836573779583,transformer,0,2,2
1.0,span,8,8,11.14176046103239,transformer,0,2,2
1.0,span,16,16,10.83364538103342,transformer,0,2,2
1.0,span,32,32,11.820089526474476,transformer,0,2,2
1.0,span,64,64,12.36936366558075,transformer,0,2,2
