loss,model_type,step
29.43722152709961,transformer,1
1.4307008981704712,transformer,100
1.0095208883285522,transformer,200
0.3968280851840973,transformer,300
0.284391850233078,transformer,400
0.3099144995212555,transformer,500
0.20924943685531616,transformer,600
0.22154150903224945,transformer,700
0.2132253646850586,transformer,800
0.14454272389411926,transformer,900
0.17072181403636932,transformer,1000
0.19289398193359375,transformer,1100
0.17617599666118622,transformer,1200
27.997726440429688,rnn,1
0.7521669864654541,rnn,100
0.8919124007225037,rnn,200
0.3128032684326172,rnn,300
0.3936599791049957,rnn,400
0.2369920313358307,rnn,500
0.2890982925891876,rnn,600
0.19501593708992004,rnn,700
0.16228219866752625,rnn,800
0.17727336287498474,rnn,900
0.07373334467411041,rnn,1000
0.1340368688106537,rnn,1100
0.5916441679000854,rnn,1200
16.250181198120117,gru,1
0.2835155129432678,gru,100
0.18615896999835968,gru,200
0.12491026520729065,gru,300
0.058710113167762756,gru,400
0.04255600646138191,gru,500
0.08742170035839081,gru,600
0.0501009039580822,gru,700
0.05606701597571373,gru,800
0.030792968347668648,gru,900
0.0025571989826858044,gru,1000
0.0008820363436825573,gru,1100
0.0003016440605279058,gru,1200
13.887983322143555,lstm,1
0.5132673978805542,lstm,100
0.2503478527069092,lstm,200
0.12222804129123688,lstm,300
0.06708312779664993,lstm,400
0.11394959688186646,lstm,500
0.06129913404583931,lstm,600
0.09052399545907974,lstm,700
0.04658346623182297,lstm,800
0.05883105471730232,lstm,900
0.06583533436059952,lstm,1000
0.0404050350189209,lstm,1100
0.03472552075982094,lstm,1200
