head_count,loss,model_depth,model_seed,model_width,parameter_count,step,training_budget,training_steps
4,43.23920822143555,2,11,64,85504,1,1,400
4,2.0372912883758545,2,11,64,85504,50,1,400
4,1.434946060180664,2,11,64,85504,100,1,400
4,1.4250872135162354,2,11,64,85504,150,1,400
4,1.4749116897583008,2,11,64,85504,200,1,400
4,1.408347249031067,2,11,64,85504,250,1,400
4,1.475541591644287,2,11,64,85504,300,1,400
4,1.4816677570343018,2,11,64,85504,350,1,400
4,1.3990073204040527,2,11,64,85504,400,1,400
4,38.83634948730469,2,23,64,85504,1,1,400
4,1.4738706350326538,2,23,64,85504,50,1,400
4,1.4606075286865234,2,23,64,85504,100,1,400
4,1.666414737701416,2,23,64,85504,150,1,400
4,1.429137945175171,2,23,64,85504,200,1,400
4,1.4543085098266602,2,23,64,85504,250,1,400
4,1.5615158081054688,2,23,64,85504,300,1,400
4,1.5537075996398926,2,23,64,85504,350,1,400
4,1.4715588092803955,2,23,64,85504,400,1,400
4,36.34589385986328,2,37,64,85504,1,1,400
4,1.4997708797454834,2,37,64,85504,50,1,400
4,1.6080739498138428,2,37,64,85504,100,1,400
4,1.3686907291412354,2,37,64,85504,150,1,400
4,1.3673683404922485,2,37,64,85504,200,1,400
4,1.0867815017700195,2,37,64,85504,250,1,400
4,0.5750975012779236,2,37,64,85504,300,1,400
4,0.6183100938796997,2,37,64,85504,350,1,400
4,0.3574468195438385,2,37,64,85504,400,1,400
4,14.312173843383789,8,11,32,77632,1,1,400
4,1.5665593147277832,8,11,32,77632,50,1,400
4,1.4599378108978271,8,11,32,77632,100,1,400
4,1.4599131345748901,8,11,32,77632,150,1,400
4,1.4246742725372314,8,11,32,77632,200,1,400
4,1.1816681623458862,8,11,32,77632,250,1,400
4,1.0284874439239502,8,11,32,77632,300,1,400
4,0.7555702328681946,8,11,32,77632,350,1,400
4,0.43014758825302124,8,11,32,77632,400,1,400
4,20.633350372314453,8,23,32,77632,1,1,400
4,1.484941005706787,8,23,32,77632,50,1,400
4,1.4131709337234497,8,23,32,77632,100,1,400
4,1.3991116285324097,8,23,32,77632,150,1,400
4,1.4754230976104736,8,23,32,77632,200,1,400
4,1.4223929643630981,8,23,32,77632,250,1,400
4,1.4206792116165161,8,23,32,77632,300,1,400
4,1.4794561862945557,8,23,32,77632,350,1,400
4,1.3805382251739502,8,23,32,77632,400,1,400
4,21.29434585571289,8,37,32,77632,1,1,400
4,1.4300366640090942,8,37,32,77632,50,1,400
4,1.4164645671844482,8,37,32,77632,100,1,400
4,1.4219114780426025,8,37,32,77632,150,1,400
4,1.3648927211761475,8,37,32,77632,200,1,400
4,1.4791373014450073,8,37,32,77632,250,1,400
4,1.5208375453948975,8,37,32,77632,300,1,400
4,1.4046801328659058,8,37,32,77632,350,1,400
4,1.3446781635284424,8,37,32,77632,400,1,400
