axis,cell_id,dependency_span,example_index,family_id,final_margin,final_rank,first_top1_layer,first_top1_location,first_top1_stage,generator_family,head_count,model_depth,model_seed,model_width,nuisance_count,parameter_count,predictive_order,raw_length,requested_dependency_span,stable_top1_layer,stable_top1_location,stable_top1_stage,top1_correct,training_budget,training_steps
predictive_order,3c1c7bde239d,1,0,"p1:(2,):0",0.8332614898681641,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,1,"p1:(3,):1",0.35022544860839844,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,2,"p1:(3,):2",0.35022544860839844,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,3,"p1:(1,):3",-0.09757232666015625,2,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,,,,0,2,800
predictive_order,3c1c7bde239d,1,4,"p1:(2,):4",0.8332614898681641,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,5,"p1:(0,):5",7.893871307373047,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,1,post_ff,2,1,2,800
predictive_order,3c1c7bde239d,1,6,"p1:(3,):6",0.35022544860839844,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,7,"p1:(2,):7",0.8332614898681641,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,8,"p1:(2,):8",0.8332614898681641,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,9,"p1:(2,):9",0.8332614898681641,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,10,"p1:(1,):10",-0.09757232666015625,2,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,,,,0,2,800
predictive_order,3c1c7bde239d,1,11,"p1:(0,):11",7.893871307373047,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,1,post_ff,2,1,2,800
predictive_order,3c1c7bde239d,1,12,"p1:(0,):12",7.893871307373047,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,1,post_ff,2,1,2,800
predictive_order,3c1c7bde239d,1,13,"p1:(0,):13",7.893871307373047,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,1,post_ff,2,1,2,800
predictive_order,3c1c7bde239d,1,14,"p1:(0,):14",7.893871307373047,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,1,post_ff,2,1,2,800
predictive_order,3c1c7bde239d,1,15,"p1:(1,):15",-0.09757232666015625,2,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,,,,0,2,800
predictive_order,3c1c7bde239d,1,16,"p1:(3,):0",0.35022544860839844,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,17,"p1:(2,):1",0.8332614898681641,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,18,"p1:(1,):2",-0.09757232666015625,2,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,,,,0,2,800
predictive_order,3c1c7bde239d,1,19,"p1:(0,):3",7.893871307373047,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,1,post_ff,2,1,2,800
predictive_order,3c1c7bde239d,1,20,"p1:(0,):4",7.893871307373047,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,1,post_ff,2,1,2,800
predictive_order,3c1c7bde239d,1,21,"p1:(2,):5",0.8332614898681641,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,22,"p1:(3,):6",0.35022544860839844,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,23,"p1:(1,):7",-0.09757232666015625,2,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,,,,0,2,800
predictive_order,3c1c7bde239d,1,24,"p1:(1,):8",-0.09757232666015625,2,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,,,,0,2,800
predictive_order,3c1c7bde239d,1,25,"p1:(2,):9",0.8332614898681641,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,26,"p1:(0,):10",7.893871307373047,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,1,12,4,1,post_ff,2,1,2,800
predictive_order,3c1c7bde239d,1,27,"p1:(3,):11",0.35022544860839844,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,28,"p1:(3,):12",0.35022544860839844,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,29,"p1:(2,):13",0.8332614898681641,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,30,"p1:(2,):14",0.8332614898681641,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,3c1c7bde239d,1,31,"p1:(3,):15",0.35022544860839844,1,2,post_sa,3,necessary_pattern,4,2,23,64,0,85504,1,12,4,2,post_sa,3,1,2,800
predictive_order,f306bd7c1d91,4,32,"p2:(1, 1):0",3.5924510955810547,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,2,12,4,1,post_ff,2,1,2,800
predictive_order,f306bd7c1d91,4,33,"p2:(2, 0):1",2.783712387084961,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,2,12,4,1,post_ff,2,1,2,800
predictive_order,f306bd7c1d91,4,34,"p2:(0, 0):2",19.42795181274414,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,2,12,4,1,post_ff,2,1,2,800
predictive_order,f306bd7c1d91,4,35,"p2:(1, 0):3",3.519695281982422,1,1,post_ff,2,necessary_pattern,4,2,23,64,0,85504,2,12,4,1,post_ff,2,1,2,800
