accuracy,axis,cell_id,competent,examples,generator_family,head_count,mean_margin,mean_rank,mean_stable_layer_when_correct,model_depth,model_seed,model_width,nuisance_count,predictive_order,raw_length,requested_dependency_span,training_budget
0.75,dependency_span,0c9a5ad51bfa,0,32,skip_gram,4,3.138220876455307,1.25,1.4166666666666667,2,11,64,0,2,12,8,2
1,dependency_span,239494a22bda,1,32,skip_gram,4,4.444970071315765,1,1.53125,2,11,64,0,2,12,4,2
0.75,dependency_span,516d5f3a8cea,0,32,skip_gram,4,1.5147896111011505,1.25,1.5833333333333333,2,11,64,0,2,12,2,2
0.9375,dependency_span,7a494b2e93f4,1,32,skip_gram,4,6.7942933440208435,1.0625,1.5333333333333334,2,11,64,0,2,12,16,2
0.90625,dependency_span,cdd05bfab044,1,32,skip_gram,4,5.626282274723053,1.09375,1.5517241379310345,2,11,64,0,2,12,32,2
0.40625,generator_family,64e7c9b15cd9,0,32,contiguous,4,-0.4170569181442261,1.9375,1.4615384615384615,2,11,64,0,2,12,2,2
0.90625,generator_family,cd72217c00e4,1,32,necessary_pattern,4,4.138892203569412,1.09375,1.7586206896551724,2,11,64,0,2,12,4,2
1,generator_family,dad81f86a87c,1,32,skip_gram,4,4.444970071315765,1,1.53125,2,11,64,0,2,12,4,2
0.9375,nuisance,0ebbf95b3e38,1,32,necessary_pattern,4,4.970420390367508,1.0625,1.7,2,11,64,4,2,12,4,2
0.96875,nuisance,7a6b0b00032a,1,32,necessary_pattern,4,4.505743652582169,1.03125,1.7419354838709677,2,11,64,8,2,12,4,2
0.90625,nuisance,888714c4e48e,1,32,necessary_pattern,4,4.138892203569412,1.09375,1.7586206896551724,2,11,64,0,2,12,4,2
0.90625,nuisance,9fe6cfcfa630,1,32,necessary_pattern,4,4.404629439115524,1.09375,1.7241379310344827,2,11,64,16,2,12,4,2
0.84375,nuisance,b7046cfe3bf0,1,32,necessary_pattern,4,2.245010256767273,1.6875,1.6666666666666667,2,11,64,32,2,12,4,2
0.90625,nuisance,ca9c5624dbda,1,32,necessary_pattern,4,4.751603007316589,1.09375,1.7586206896551724,2,11,64,2,2,12,4,2
0.25,predictive_order,2368e64e6ae0,0,32,necessary_pattern,4,-1.053491696715355,2.40625,2.0,2,11,64,0,3,12,4,2
0.25,predictive_order,30712ebe71a9,0,32,necessary_pattern,4,-1.2036226689815521,2.3125,1.625,2,11,64,0,8,12,8,2
0.8125,predictive_order,3c1c7bde239d,1,32,necessary_pattern,4,2.8447794318199158,1.375,2.0,2,11,64,0,1,12,4,2
0.375,predictive_order,96300ccbcaee,0,32,necessary_pattern,4,-0.6246073096990585,2.09375,1.9166666666666667,2,11,64,0,6,12,6,2
0.28125,predictive_order,a5891a5b16d7,0,32,necessary_pattern,4,-1.2509400993585587,2.53125,1.7777777777777777,2,11,64,0,12,12,12,2
0.375,predictive_order,ecae3be4326f,0,32,necessary_pattern,4,-0.9365195333957672,2.3125,1.5833333333333333,2,11,64,0,4,12,4,2
0.90625,predictive_order,f306bd7c1d91,1,32,necessary_pattern,4,4.138892203569412,1.09375,1.7586206896551724,2,11,64,0,2,12,4,2
1,raw_length,07cdc0054772,1,32,necessary_pattern,4,6.200704365968704,1,1.71875,2,11,64,0,2,2,4,2
1,raw_length,5b3975d8947d,1,32,necessary_pattern,4,6.200704365968704,1,1.71875,2,11,64,0,2,3,4,2
1,raw_length,5bed8b907b14,1,32,necessary_pattern,4,6.840519577264786,1,1.71875,2,11,64,0,2,16,4,2
0.9375,raw_length,6ee96a3ceda6,1,32,necessary_pattern,4,3.9347506761550903,1.0625,1.7333333333333334,2,11,64,0,2,8,4,2
0.90625,raw_length,9cb22f271bee,1,32,necessary_pattern,4,4.386865884065628,1.09375,1.6896551724137931,2,11,64,0,2,24,4,2
0.90625,raw_length,dcb8f7366193,1,32,necessary_pattern,4,4.138892203569412,1.09375,1.7586206896551724,2,11,64,0,2,12,4,2
1,raw_length,def8612efd03,1,32,necessary_pattern,4,4.609160155057907,1,1.71875,2,11,64,0,2,6,4,2
1,raw_length,e9e9842f144b,1,32,necessary_pattern,4,6.200704365968704,1,1.71875,2,11,64,0,2,4,4,2
0.8125,dependency_span,0c9a5ad51bfa,1,32,skip_gram,4,3.9543181657791138,1.1875,1.2307692307692308,2,23,64,0,2,12,8,2
0.71875,dependency_span,239494a22bda,0,32,skip_gram,4,3.5423895716667175,1.28125,1.0869565217391304,2,23,64,0,2,12,4,2
0.65625,dependency_span,516d5f3a8cea,0,32,skip_gram,4,1.9855244755744934,1.34375,1.1904761904761905,2,23,64,0,2,12,2,2
0.90625,dependency_span,7a494b2e93f4,1,32,skip_gram,4,6.0883704125881195,1.09375,1.0,2,23,64,0,2,12,16,2
0.90625,dependency_span,cdd05bfab044,1,32,skip_gram,4,6.920727640390396,1.09375,1.0,2,23,64,0,2,12,32,2
0.8125,generator_family,64e7c9b15cd9,1,32,contiguous,4,2.362525761127472,1.1875,1.1538461538461537,2,23,64,0,2,12,2,2
1,generator_family,cd72217c00e4,1,32,necessary_pattern,4,5.819707870483398,1,1.09375,2,23,64,0,2,12,4,2
0.71875,generator_family,dad81f86a87c,0,32,skip_gram,4,3.5423895716667175,1.28125,1.0869565217391304,2,23,64,0,2,12,4,2
1,nuisance,0ebbf95b3e38,1,32,necessary_pattern,4,7.329463601112366,1,1.03125,2,23,64,4,2,12,4,2
1,nuisance,7a6b0b00032a,1,32,necessary_pattern,4,7.667954355478287,1,1.09375,2,23,64,8,2,12,4,2
1,nuisance,888714c4e48e,1,32,necessary_pattern,4,5.819707870483398,1,1.09375,2,23,64,0,2,12,4,2
1,nuisance,9fe6cfcfa630,1,32,necessary_pattern,4,7.2478457391262054,1,1.03125,2,23,64,16,2,12,4,2
0.96875,nuisance,b7046cfe3bf0,1,32,necessary_pattern,4,6.963864028453827,1.03125,1.064516129032258,2,23,64,32,2,12,4,2
1,nuisance,ca9c5624dbda,1,32,necessary_pattern,4,6.734240829944611,1,1.09375,2,23,64,2,2,12,4,2
0.5625,predictive_order,2368e64e6ae0,0,32,necessary_pattern,4,0.6717334985733032,1.6875,1.5,2,23,64,0,3,12,4,2
0.3125,predictive_order,30712ebe71a9,0,32,necessary_pattern,4,-0.37782710790634155,2.25,1.9,2,23,64,0,8,12,8,2
0.8125,predictive_order,3c1c7bde239d,1,32,necessary_pattern,4,2.3031235933303833,1.1875,1.6923076923076923,2,23,64,0,1,12,4,2
0.09375,predictive_order,96300ccbcaee,0,32,necessary_pattern,4,-0.7690124809741974,2.875,2.0,2,23,64,0,6,12,6,2
0.25,predictive_order,a5891a5b16d7,0,32,necessary_pattern,4,-0.6519557237625122,2.6875,2.0,2,23,64,0,12,12,12,2
0.3125,predictive_order,ecae3be4326f,0,32,necessary_pattern,4,-0.38854503631591797,2.34375,1.5,2,23,64,0,4,12,4,2
1,predictive_order,f306bd7c1d91,1,32,necessary_pattern,4,5.819707870483398,1,1.09375,2,23,64,0,2,12,4,2
1,raw_length,07cdc0054772,1,32,necessary_pattern,4,7.549660414457321,1,1.09375,2,23,64,0,2,2,4,2
1,raw_length,5b3975d8947d,1,32,necessary_pattern,4,7.549660414457321,1,1.09375,2,23,64,0,2,3,4,2
1,raw_length,5bed8b907b14,1,32,necessary_pattern,4,9.023999482393265,1,1.09375,2,23,64,0,2,16,4,2
1,raw_length,6ee96a3ceda6,1,32,necessary_pattern,4,6.782156527042389,1,1.15625,2,23,64,0,2,8,4,2
1,raw_length,9cb22f271bee,1,32,necessary_pattern,4,8.100671857595444,1,1.03125,2,23,64,0,2,24,4,2
1,raw_length,dcb8f7366193,1,32,necessary_pattern,4,5.819707870483398,1,1.09375,2,23,64,0,2,12,4,2
1,raw_length,def8612efd03,1,32,necessary_pattern,4,6.704403817653656,1,1.09375,2,23,64,0,2,6,4,2
1,raw_length,e9e9842f144b,1,32,necessary_pattern,4,7.549660414457321,1,1.09375,2,23,64,0,2,4,4,2
1,dependency_span,0c9a5ad51bfa,1,32,skip_gram,4,10.13269293308258,1,1.5,2,37,64,0,2,12,8,2
1,dependency_span,239494a22bda,1,32,skip_gram,4,9.05077862739563,1,1.5,2,37,64,0,2,12,4,2
1,dependency_span,516d5f3a8cea,1,32,skip_gram,4,6.973354995250702,1,1.59375,2,37,64,0,2,12,2,2
1,dependency_span,7a494b2e93f4,1,32,skip_gram,4,10.655431926250458,1,1.4375,2,37,64,0,2,12,16,2
1,dependency_span,cdd05bfab044,1,32,skip_gram,4,9.965302586555481,1,1.4375,2,37,64,0,2,12,32,2
1,generator_family,64e7c9b15cd9,1,32,contiguous,4,3.320339560508728,1,1.375,2,37,64,0,2,12,2,2
1,generator_family,cd72217c00e4,1,32,necessary_pattern,4,10.714982986450195,1,1.46875,2,37,64,0,2,12,4,2
1,generator_family,dad81f86a87c,1,32,skip_gram,4,9.05077862739563,1,1.5,2,37,64,0,2,12,4,2
1,nuisance,0ebbf95b3e38,1,32,necessary_pattern,4,10.852144181728363,1,1.46875,2,37,64,4,2,12,4,2
1,nuisance,7a6b0b00032a,1,32,necessary_pattern,4,11.033664047718048,1,1.46875,2,37,64,8,2,12,4,2
1,nuisance,888714c4e48e,1,32,necessary_pattern,4,10.714982986450195,1,1.46875,2,37,64,0,2,12,4,2
1,nuisance,9fe6cfcfa630,1,32,necessary_pattern,4,10.466223537921906,1,1.46875,2,37,64,16,2,12,4,2
1,nuisance,b7046cfe3bf0,1,32,necessary_pattern,4,10.797280848026276,1,1.46875,2,37,64,32,2,12,4,2
1,nuisance,ca9c5624dbda,1,32,necessary_pattern,4,10.820262879133224,1,1.46875,2,37,64,2,2,12,4,2
0.4375,predictive_order,2368e64e6ae0,0,32,necessary_pattern,4,-0.047401368618011475,2.125,1.4285714285714286,2,37,64,0,3,12,4,2
0.28125,predictive_order,30712ebe71a9,0,32,necessary_pattern,4,-0.8083242177963257,2.375,1.6666666666666667,2,37,64,0,8,12,8,2
1,predictive_order,3c1c7bde239d,1,32,necessary_pattern,4,7.413758635520935,1,1.5,2,37,64,0,1,12,4,2
0.28125,predictive_order,96300ccbcaee,0,32,necessary_pattern,4,-1.0578110814094543,2.8125,1.5555555555555556,2,37,64,0,6,12,6,2
0.21875,predictive_order,a5891a5b16d7,0,32,necessary_pattern,4,-0.9543094635009766,2.625,1.4285714285714286,2,37,64,0,12,12,12,2
0.34375,predictive_order,ecae3be4326f,0,32,necessary_pattern,4,-0.6802219152450562,2.375,1.4545454545454546,2,37,64,0,4,12,4,2
1,predictive_order,f306bd7c1d91,1,32,necessary_pattern,4,10.714982986450195,1,1.46875,2,37,64,0,2,12,4,2
