head_count,loss,model_depth,model_seed,model_width,parameter_count,step,training_budget,training_steps
4,43.23920822143555,2,11,64,85504,1,2,800
4,2.0376267433166504,2,11,64,85504,50,2,800
4,1.464876413345337,2,11,64,85504,100,2,800
4,1.5604100227355957,2,11,64,85504,150,2,800
4,1.4789835214614868,2,11,64,85504,200,2,800
4,1.4256834983825684,2,11,64,85504,250,2,800
4,1.482835054397583,2,11,64,85504,300,2,800
4,1.531789779663086,2,11,64,85504,350,2,800
4,1.5024988651275635,2,11,64,85504,400,2,800
4,1.4696996212005615,2,11,64,85504,450,2,800
4,1.384402871131897,2,11,64,85504,500,2,800
4,1.3865678310394287,2,11,64,85504,550,2,800
4,1.4394497871398926,2,11,64,85504,600,2,800
4,1.2970967292785645,2,11,64,85504,650,2,800
4,1.2716399431228638,2,11,64,85504,700,2,800
4,0.8652181029319763,2,11,64,85504,750,2,800
4,0.5254095792770386,2,11,64,85504,800,2,800
4,38.83634948730469,2,23,64,85504,1,2,800
4,1.473885416984558,2,23,64,85504,50,2,800
4,1.4606143236160278,2,23,64,85504,100,2,800
4,1.6664105653762817,2,23,64,85504,150,2,800
4,1.4286303520202637,2,23,64,85504,200,2,800
4,1.5034358501434326,2,23,64,85504,250,2,800
4,1.3700790405273438,2,23,64,85504,300,2,800
4,1.39280104637146,2,23,64,85504,350,2,800
4,1.4682508707046509,2,23,64,85504,400,2,800
4,1.4636404514312744,2,23,64,85504,450,2,800
4,1.4185972213745117,2,23,64,85504,500,2,800
4,1.1800832748413086,2,23,64,85504,550,2,800
4,0.8935295343399048,2,23,64,85504,600,2,800
4,0.6604188084602356,2,23,64,85504,650,2,800
4,0.6436465978622437,2,23,64,85504,700,2,800
4,0.43219462037086487,2,23,64,85504,750,2,800
4,0.48943817615509033,2,23,64,85504,800,2,800
4,36.34589385986328,2,37,64,85504,1,2,800
4,1.481471300125122,2,37,64,85504,50,2,800
4,1.55324387550354,2,37,64,85504,100,2,800
4,1.3833577632904053,2,37,64,85504,150,2,800
4,1.435200810432434,2,37,64,85504,200,2,800
4,1.460214376449585,2,37,64,85504,250,2,800
4,0.8539126515388489,2,37,64,85504,300,2,800
4,0.7650299072265625,2,37,64,85504,350,2,800
4,0.7076798677444458,2,37,64,85504,400,2,800
4,0.7391706109046936,2,37,64,85504,450,2,800
4,0.5694870948791504,2,37,64,85504,500,2,800
4,0.6169525980949402,2,37,64,85504,550,2,800
4,0.4773227274417877,2,37,64,85504,600,2,800
4,0.37019312381744385,2,37,64,85504,650,2,800
4,0.3491746187210083,2,37,64,85504,700,2,800
4,0.27987098693847656,2,37,64,85504,750,2,800
4,0.4666491746902466,2,37,64,85504,800,2,800
4,14.312173843383789,8,11,32,77632,1,2,800
4,1.566559076309204,8,11,32,77632,50,2,800
4,1.4599391222000122,8,11,32,77632,100,2,800
4,1.4599121809005737,8,11,32,77632,150,2,800
4,1.424674391746521,8,11,32,77632,200,2,800
4,1.1816692352294922,8,11,32,77632,250,2,800
4,1.0284948348999023,8,11,32,77632,300,2,800
4,0.7533321380615234,8,11,32,77632,350,2,800
4,0.3696647584438324,8,11,32,77632,400,2,800
4,0.16947202384471893,8,11,32,77632,450,2,800
4,0.2196969985961914,8,11,32,77632,500,2,800
4,0.2708425521850586,8,11,32,77632,550,2,800
4,0.3731399476528168,8,11,32,77632,600,2,800
4,0.45232903957366943,8,11,32,77632,650,2,800
4,0.2291744202375412,8,11,32,77632,700,2,800
4,0.4003828167915344,8,11,32,77632,750,2,800
4,0.38608187437057495,8,11,32,77632,800,2,800
4,20.633350372314453,8,23,32,77632,1,2,800
4,1.4849357604980469,8,23,32,77632,50,2,800
4,1.413193702697754,8,23,32,77632,100,2,800
4,1.399153709411621,8,23,32,77632,150,2,800
4,1.4754436016082764,8,23,32,77632,200,2,800
4,1.422568678855896,8,23,32,77632,250,2,800
4,1.4205117225646973,8,23,32,77632,300,2,800
4,1.4794527292251587,8,23,32,77632,350,2,800
4,1.380540370941162,8,23,32,77632,400,2,800
4,1.4766876697540283,8,23,32,77632,450,2,800
4,1.6165283918380737,8,23,32,77632,500,2,800
4,1.40598464012146,8,23,32,77632,550,2,800
4,1.438511848449707,8,23,32,77632,600,2,800
4,1.4167917966842651,8,23,32,77632,650,2,800
4,1.2225022315979004,8,23,32,77632,700,2,800
4,0.9412964582443237,8,23,32,77632,750,2,800
4,0.870169997215271,8,23,32,77632,800,2,800
4,21.29434585571289,8,37,32,77632,1,2,800
4,1.4300346374511719,8,37,32,77632,50,2,800
4,1.4164615869522095,8,37,32,77632,100,2,800
4,1.4219090938568115,8,37,32,77632,150,2,800
4,1.36489737033844,8,37,32,77632,200,2,800
4,1.4791185855865479,8,37,32,77632,250,2,800
4,1.5208666324615479,8,37,32,77632,300,2,800
4,1.4046807289123535,8,37,32,77632,350,2,800
4,1.3446825742721558,8,37,32,77632,400,2,800
4,1.2772468328475952,8,37,32,77632,450,2,800
4,1.086350679397583,8,37,32,77632,500,2,800
4,0.9587258100509644,8,37,32,77632,550,2,800
4,0.8666101098060608,8,37,32,77632,600,2,800
4,0.8879102468490601,8,37,32,77632,650,2,800
4,0.8603863716125488,8,37,32,77632,700,2,800
4,1.0378291606903076,8,37,32,77632,750,2,800
4,0.7316974401473999,8,37,32,77632,800,2,800
