architecture_id,head_count,model_depth,model_seed,model_width,parameter_count,training_budget,training_steps
L2-W32-H1-T1,1,2,11,32,26368,1,400
L2-W32-H1-T2,1,2,11,32,26368,2,800
L2-W32-H1-T4,1,2,11,32,26368,4,1600
L2-W32-H2-T1,2,2,11,32,26368,1,400
L2-W32-H2-T2,2,2,11,32,26368,2,800
L2-W32-H2-T4,2,2,11,32,26368,4,1600
L2-W32-H4-T1,4,2,11,32,26368,1,400
L2-W32-H4-T2,4,2,11,32,26368,2,800
L2-W32-H4-T4,4,2,11,32,26368,4,1600
L2-W32-H8-T1,8,2,11,32,26368,1,400
L2-W32-H8-T2,8,2,11,32,26368,2,800
L2-W32-H8-T4,8,2,11,32,26368,4,1600
L2-W64-H1-T1,1,2,11,64,85504,1,400
L2-W64-H1-T2,1,2,11,64,85504,2,800
L2-W64-H1-T4,1,2,11,64,85504,4,1600
L2-W64-H2-T1,2,2,11,64,85504,1,400
L2-W64-H2-T2,2,2,11,64,85504,2,800
L2-W64-H2-T4,2,2,11,64,85504,4,1600
L2-W64-H4-T1,4,2,11,64,85504,1,400
L2-W64-H4-T2,4,2,11,64,85504,2,800
L2-W64-H4-T4,4,2,11,64,85504,4,1600
L2-W64-H8-T1,8,2,11,64,85504,1,400
L2-W64-H8-T2,8,2,11,64,85504,2,800
L2-W64-H8-T4,8,2,11,64,85504,4,1600
L2-W128-H1-T1,1,2,11,128,302080,1,400
L2-W128-H1-T2,1,2,11,128,302080,2,800
L2-W128-H1-T4,1,2,11,128,302080,4,1600
L2-W128-H2-T1,2,2,11,128,302080,1,400
L2-W128-H2-T2,2,2,11,128,302080,2,800
L2-W128-H2-T4,2,2,11,128,302080,4,1600
L2-W128-H4-T1,4,2,11,128,302080,1,400
L2-W128-H4-T2,4,2,11,128,302080,2,800
L2-W128-H4-T4,4,2,11,128,302080,4,1600
L2-W128-H8-T1,8,2,11,128,302080,1,400
L2-W128-H8-T2,8,2,11,128,302080,2,800
L2-W128-H8-T4,8,2,11,128,302080,4,1600
