axis,cell_id,generator_family,nuisance_count,predictive_order,raw_length,requested_dependency_span,status
predictive_order,3c1c7bde239d,necessary_pattern,0,1,12,4,eligible
predictive_order,f306bd7c1d91,necessary_pattern,0,2,12,4,eligible
predictive_order,2368e64e6ae0,necessary_pattern,0,3,12,4,eligible
predictive_order,ecae3be4326f,necessary_pattern,0,4,12,4,eligible
predictive_order,96300ccbcaee,necessary_pattern,0,6,12,6,eligible
predictive_order,30712ebe71a9,necessary_pattern,0,8,12,8,eligible
predictive_order,a5891a5b16d7,necessary_pattern,0,12,12,12,eligible
raw_length,07cdc0054772,necessary_pattern,0,2,2,4,eligible
raw_length,5b3975d8947d,necessary_pattern,0,2,3,4,eligible
raw_length,e9e9842f144b,necessary_pattern,0,2,4,4,eligible
raw_length,def8612efd03,necessary_pattern,0,2,6,4,eligible
raw_length,6ee96a3ceda6,necessary_pattern,0,2,8,4,eligible
raw_length,dcb8f7366193,necessary_pattern,0,2,12,4,eligible
raw_length,5bed8b907b14,necessary_pattern,0,2,16,4,eligible
raw_length,9cb22f271bee,necessary_pattern,0,2,24,4,eligible
nuisance,888714c4e48e,necessary_pattern,0,2,12,4,eligible
nuisance,ca9c5624dbda,necessary_pattern,2,2,12,4,eligible
nuisance,0ebbf95b3e38,necessary_pattern,4,2,12,4,eligible
nuisance,7a6b0b00032a,necessary_pattern,8,2,12,4,eligible
nuisance,9fe6cfcfa630,necessary_pattern,16,2,12,4,eligible
nuisance,b7046cfe3bf0,necessary_pattern,32,2,12,4,eligible
dependency_span,516d5f3a8cea,skip_gram,0,2,12,2,eligible
dependency_span,239494a22bda,skip_gram,0,2,12,4,eligible
dependency_span,0c9a5ad51bfa,skip_gram,0,2,12,8,eligible
dependency_span,7a494b2e93f4,skip_gram,0,2,12,16,eligible
dependency_span,cdd05bfab044,skip_gram,0,2,12,32,eligible
generator_family,64e7c9b15cd9,contiguous,0,2,12,2,eligible
generator_family,dad81f86a87c,skip_gram,0,2,12,4,eligible
generator_family,cd72217c00e4,necessary_pattern,0,2,12,4,eligible
