angular_concentration,between_cosine_distance,common_energy_fraction,component,effective_rank,layer,model_setting,n,relation_id,seed,within_cosine_distance
0.994351994623428,0.9593897417290708,0.987702064186821,ff,3.2272076881829577,0,tiny-w32-l2-h2,24,1-2-to-3,11,0.011751857601450009
0.9888446622872378,0.961463405995146,0.9755154458023078,ff,1.3038766667415302,0,tiny-w32-l2-h2,24,4-5-to-many,11,0.02311809955648228
0.9874921362540351,0.9500206561877755,0.9487810951425139,ff,1.2659247028348084,0,tiny-w32-l2-h2,8,map-15-16,11,0.027820586225605792
0.8936062256022298,0.916378765325248,0.7658780636582929,ff,1.1344011985154536,0,tiny-w32-l2-h2,8,map-17-18,11,0.22689325936433682
0.9972864255102232,0.9663604520194736,0.9873633384666745,ff,1.5487003556835286,0,tiny-w32-l2-h2,8,map-19-20,11,0.006173435862030888
0.9886335092610511,0.9368501781767062,0.9736277673406271,ff,1.3621689109723738,0,tiny-w32-l2-h2,24,override-1-2,11,0.023519682781466326
0.9335341847690272,1.063152540165375,0.8537965770540087,sa,3.7487906916299507,0,tiny-w32-l2-h2,24,1-2-to-3,11,0.1335972380795048
0.978642648233838,1.0159339590787821,0.946323773755282,sa,2.9340582488910516,0,tiny-w32-l2-h2,24,4-5-to-many,11,0.04393771423966163
0.8465446568341899,0.9714774509029374,0.692366044755655,sa,1.721952328357138,0,tiny-w32-l2-h2,8,map-15-16,11,0.3181751556278304
0.8704442186856672,0.9678393755192963,0.7330214585373098,sa,2.195864251705213,0,tiny-w32-l2-h2,8,map-17-18,11,0.27261844348681313
0.894601210749828,0.9403670545070536,0.7687334711473719,sa,2.052831804853708,0,tiny-w32-l2-h2,8,map-19-20,11,0.2275043565069752
0.9791645090492423,0.9042404139146942,0.9512509972993975,sa,2.554989624732761,0,tiny-w32-l2-h2,24,override-1-2,11,0.04289783706635352
0.976108521096504,0.9536021705911261,0.9356765208835749,ff,1.1512847586459782,1,tiny-w32-l2-h2,24,1-2-to-3,11,0.048774851512226464
