component,donor_type,layer,mean_output_js_bits,mean_target_probability_change,n
ff,equivalent,0,0.017415545121288543,-0.0031688526302741534,384
ff,equivalent,1,0.006339148730164255,-0.0004254481238888721,384
ff,equivalent,2,0.0019448446575528109,0.00034422025957504186,192
sa,equivalent,0,0.027680713740702006,0.0030691132637293687,384
sa,equivalent,1,0.004842135963837066,-0.001773592566281703,384
sa,equivalent,2,0.005548520713376565,-0.0008128782031630531,192
ff,nonequivalent,0,0.15634456553538115,-0.07912611505593425,384
ff,nonequivalent,1,0.02970081510507284,-0.002639123007181067,384
ff,nonequivalent,2,0.010141347806779487,0.0010533841689003276,192
sa,nonequivalent,0,0.43577733246681366,-0.35196516968342056,384
sa,nonequivalent,1,0.029466417135795963,-0.009848502272613583,384
sa,nonequivalent,2,0.021636997297288196,0.0017784415035200594,192
