layer,matched_control_cosine,motif_specificity,n_runs,relation_id,within_motif_cosine
0,0.7867710174452147,0.15394392282520292,4,1-2-to-3,0.9407149402704176
1,0.8124880490292972,0.17380916901378526,4,1-2-to-3,0.9862972180430825
2,0.857220645839984,0.050463589555430066,2,1-2-to-3,0.907684235395414
0,0.8198774548040639,0.10274890990028868,4,4-5-to-many,0.9226263647043526
1,0.8179623838556589,0.16964860357476994,4,4-5-to-many,0.9876109874304287
2,0.6911835396514341,0.21091979759054735,2,4-5-to-many,0.9021033372419813
0,0.5690623594214133,0.339148488082114,4,map-15-16,0.9082108475035272
1,0.6105996881746996,0.3238739458774451,4,map-15-16,0.9344736340521447
2,0.6450994625979695,0.35103823529684947,2,map-15-16,0.9961376978948189
0,0.5033803871663582,0.4030054256407013,4,map-17-18,0.9063858128070595
1,0.7062614645211188,0.23994646793964874,4,map-17-18,0.9462079324607676
2,0.7776732500676188,0.10500901832086168,2,map-17-18,0.8826822683884805
0,0.6077728815175499,0.35650713125765787,4,map-19-20,0.9642800127752078
1,0.7082595301464811,0.2500628890865504,4,map-19-20,0.9583224192330314
2,0.8051036675321819,0.1428943354533752,2,map-19-20,0.9479980029855571
0,0.5742899488629186,0.41255619911034314,4,override-1-2,0.9868461479732618
1,0.9452719293543511,0.04936190109742644,4,override-1-2,0.9946338304517776
2,0.7146829108195497,0.2718568442232605,2,override-1-2,0.9865397550428102
