component,correct_signed_progress,correct_target,example_id,habitual_signed_progress,habitual_target,layer,model_setting,repair_geometry_candidate,run_id,seed,update_cosine_previous
sa,8.463127136230469,13,override-0,-10.554075241088867,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,7.036500930786133,13,override-0,12.652393341064453,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.10751349541541694
sa,0.29192495346069336,13,override-0,-2.845991611480713,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.07986884908424699
ff,0.013806932605803013,13,override-0,-2.101787567138672,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.6418433355262542
sa,6.669393539428711,13,override-1,-10.217382431030273,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,7.829325199127197,13,override-1,13.322468757629395,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.18898165455469387
sa,1.2235195636749268,13,override-1,-2.5265567302703857,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.006726931475897682
ff,0.0858132541179657,13,override-1,-2.451601266860962,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.47803851401299285
sa,6.113839149475098,13,override-2,-11.398876190185547,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,7.776888847351074,13,override-2,13.711080551147461,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.13024275469833452
sa,1.6073848009109497,13,override-2,-2.2239997386932373,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.03706769510705282
ff,0.308465838432312,13,override-2,-1.9912683963775635,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.3035016966655704
sa,6.47042179107666,13,override-3,-11.170408248901367,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,7.02269172668457,13,override-3,13.436640739440918,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.2224107319267628
sa,1.7976970672607422,13,override-3,-1.8424806594848633,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.03908843820353345
ff,0.5090845227241516,13,override-3,-1.5975868701934814,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.2808876855408457
sa,8.63624095916748,13,override-4,-7.735085964202881,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,6.061027526855469,13,override-4,10.891079902648926,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.2052678779880788
sa,1.0545374155044556,13,override-4,-2.469890832901001,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.051610831475880053
ff,0.05320333316922188,13,override-4,-2.661754846572876,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.652649372689222
sa,8.451359748840332,13,override-5,-7.299914836883545,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,5.732802867889404,13,override-5,10.637838363647461,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.22376740442605758
sa,1.5349745750427246,13,override-5,-2.222939968109131,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.07186593290738558
ff,0.08312549442052841,13,override-5,-2.7324681282043457,3,1,tiny-w32-l2-h2,aligned_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.654523207628939
sa,7.582125663757324,13,override-6,-10.734245300292969,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,6.619168281555176,13,override-6,13.279362678527832,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.24589695186414487
sa,1.320088505744934,13,override-6,-2.227780342102051,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,-0.023471586723570702
ff,0.2820846438407898,13,override-6,-1.691871166229248,3,1,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.20413495117779556
sa,7.055145263671875,13,override-7,-8.214523315429688,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.0
ff,6.40369176864624,13,override-7,11.644131660461426,3,0,tiny-w32-l2-h2,orthogonal_candidate,paper05-tiny-w32-l2-h2-seed11,11,0.2498870845724639
