component,max_contribution_layer,mean_causal_logprob_drop,mean_diagnostic_progress,model_setting,run_id,seed,step,stratum
ff,0,1.56175696849823,1.6809742450714111,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,0,context_introduced
sa,0,-0.3259655237197876,-0.4363100528717041,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,0,context_introduced
ff,1,0.3045470714569092,0.5312564373016357,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,0,familiar_high_entropy
sa,1,0.42093563079833984,0.6234912872314453,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,0,familiar_high_entropy
ff,0,0.2705765962600708,0.19635009765625,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,0,familiar_low_entropy
sa,1,0.40849900245666504,0.423855185508728,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,0,familiar_low_entropy
ff,1,-1.3834025859832764,-1.2223939895629883,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,0,override_repair
sa,0,-0.0736079216003418,0.027753353118896484,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,0,override_repair
ff,1,0.4853001534938812,2.0063498318195343,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,40,context_introduced
sa,0,-0.1711234450340271,3.6904810965061188,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,40,context_introduced
ff,1,0.010667532682418823,1.792142391204834,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,40,familiar_high_entropy
sa,1,0.373590350151062,6.884453177452087,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,40,familiar_high_entropy
ff,1,-0.06424111127853394,3.0826647728681564,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,40,familiar_low_entropy
sa,0,0.3549848198890686,3.088419135659933,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,40,familiar_low_entropy
ff,1,-0.033250391483306885,1.4586867094039917,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,40,override_repair
sa,1,0.3619762063026428,4.043689131736755,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,40,override_repair
ff,0,0.37281133234500885,2.787681967020035,tiny-w32-l2-h2,paper05-tiny-w32-l2-h2-seed11,11,100,context_introduced
