R,between_family_JS,boundary,chi_representation,class_centroid_separation,correct_target_signal,depth_index,fluctuation_variance,fraction_stably_top1,fraction_top1,generator_family,margin_snr,mean_output_entropy,mean_target_logprob,mean_target_margin,mean_target_probability,mean_target_rank,model_seed,n_realizations,nuisance_count,predictive_family_id,q_representation,representation_covariance_trace,robust_margin_snr,var_target_margin,var_target_probability,within_family_JS
74999996.42316692,0.7499999642316691,pre_sa,0.0,55.03524797047682,-32.31705093383789,0,0.0,0.0,0.0,binary_functor,-323170.5093383789,2.1125440525793238e-06,-32.31705093383789,-32.31705093383789,9.223230801335986e-15,59.0,11,12,0,binary_functor:r0,0.0,0.0,-3231705093.383789,0.0,0.0,0.0
75000239.51316026,0.7500023951316026,layer0_post_sa,0.0,71.84293877184456,-23.488157272338867,1,0.0,0.0,0.0,binary_functor,-234881.57272338867,0.0009319241507910192,-23.488216400146484,-23.488157272338867,6.297919130648921e-11,26.0,11,12,0,binary_functor:r0,0.0,0.0,-2348815727.2338867,0.0,0.0,0.0
75407587.05550891,0.7540758705550891,layer0_post_block,0.0,74.03362215980935,-3.1791954040527344,2,0.0,0.0,0.0,binary_functor,-31791.954040527344,0.3726368844509125,-3.2379398345947266,-3.1791954040527344,0.03924466669559479,2.0,11,12,0,binary_functor:r0,0.0,0.0,-317919540.40527344,0.0,0.0,0.0
79169092.2903396,0.791690922903396,layer1_post_sa,0.0,96.07149584648445,-3.5953636169433594,3,0.0,0.0,0.0,binary_functor,-35953.636169433594,0.36964744329452515,-3.6496694087982178,-3.5953636169433594,0.02599972113966942,2.0,11,12,0,binary_functor:r0,0.0,0.0,-359536361.69433594,0.0,0.0,0.0
77425377.36499998,0.7742537736499998,layer1_post_block,0.0,118.77287365456644,-3.6000022888183594,4,0.0,0.0,0.0,binary_functor,-36000.022888183594,0.29097744822502136,-3.640826463699341,-3.6000022888183594,0.02623065374791622,2.0,11,12,0,binary_functor:r0,0.0,0.0,-360000228.88183594,0.0,0.0,0.0
77447804.53975101,0.7744780453975101,layer2_post_sa,0.0,143.7087460138189,-3.189706802368164,5,0.0,0.0,0.0,binary_functor,-31897.06802368164,0.3084339499473572,-3.2370753288269043,-3.189706802368164,0.039278607815504074,2.0,11,12,0,binary_functor:r0,0.0,0.0,-318970680.2368164,0.0,0.0,0.0
75730834.05091996,0.7573083405091996,layer2_post_block,0.0,187.47695533864376,-1.340087890625,6,0.0,0.0,0.0,binary_functor,-13400.87890625,0.7600662708282471,-1.5745346546173096,-1.340087890625,0.2071039080619812,2.0,11,12,0,binary_functor:r0,0.0,0.0,-134008789.0625,0.0,0.0,0.0
74911042.74653015,0.7491104274653015,layer3_post_sa,0.0,192.2917962102406,11.694413185119629,7,0.0,1.0,1.0,binary_functor,116944.13185119629,0.00019938261539209634,-1.0371261851105373e-05,11.694413185119629,0.9999896287918091,1.0,11,12,0,binary_functor:r0,0.0,0.0,1169441318.511963,0.0,0.0,0.0
74772704.65287238,0.7477270465287238,layer3_post_block,0.0,322.55687266821667,9.372659683227539,8,0.0,1.0,1.0,binary_functor,93726.59683227539,0.0013444487703964114,-8.821876690490171e-05,9.372659683227539,0.9999117851257324,1.0,11,12,0,binary_functor:r0,0.0,0.0,937265968.3227539,0.0,0.0,0.0
74999996.42316692,0.7499999642316691,pre_sa,0.0,55.03524797047682,-32.31705093383789,0,0.0,0.0,0.0,binary_functor,-323170.5093383789,2.1125440525793238e-06,-32.31705093383789,-32.31705093383789,9.223230801335986e-15,59.0,11,12,4,binary_functor:r0,0.0,0.0,-3231705093.383789,0.0,0.0,0.0
