direction,generator_family,input_delta_norm,jvp_cosine,layer,model_seed,observed_delta_norm,prediction_space_relative_error,predictive_family_id,relative_norm_error
nuisance,binary_functor,0.0,0.14533747732639313,0,11,2.9825124740600586,1.1215251684188843,binary_functor:r0,1.1604828834533691
nuisance,binary_functor,2.9825124740600586,0.9926192760467529,1,11,2.933828115463257,0.11998959630727768,binary_functor:r0,0.12172465771436691
nuisance,binary_functor,2.933828115463257,0.998882532119751,2,11,3.1702871322631836,0.0522146075963974,binary_functor:r0,0.04852069914340973
nuisance,binary_functor,3.1702871322631836,0.9984245300292969,3,11,4.131297588348389,0.08384822309017181,binary_functor:r0,0.07307735085487366
signal,binary_functor,7.934864521026611,0.7861769199371338,0,11,10.422439575195312,0.5478817820549011,binary_functor:r0,0.6197364926338196
signal,binary_functor,10.422439575195312,0.9867591261863708,1,11,11.158689498901367,0.15055452287197113,binary_functor:r0,0.16554978489875793
signal,binary_functor,11.158689498901367,0.9468889832496643,2,11,13.426952362060547,0.230727419257164,binary_functor:r0,0.36866194009780884
signal,binary_functor,13.426952362060547,0.9901064038276672,3,11,15.830119132995605,0.1758922040462494,binary_functor:r0,0.17124386131763458
nuisance,binary_functor,0.0,0.6128149032592773,0,11,1.862266182899475,1.1654082536697388,binary_functor:r1,1.1632963418960571
nuisance,binary_functor,1.862266182899475,0.9914519786834717,1,11,2.0576136112213135,0.12268728762865067,binary_functor:r1,0.13052184879779816
nuisance,binary_functor,2.0576136112213135,0.9914970993995667,2,11,2.1903295516967773,0.11680595576763153,binary_functor:r1,0.1301390826702118
nuisance,binary_functor,2.1903295516967773,0.9970890879631042,3,11,2.3669772148132324,0.092182457447052,binary_functor:r1,0.08047191798686981
signal,binary_functor,7.934864521026611,0.7381266355514526,0,11,10.422439575195312,0.5844566226005554,binary_functor:r1,0.7991718053817749
signal,binary_functor,10.422439575195312,0.9815830588340759,1,11,11.158689498901367,0.1385962814092636,binary_functor:r1,0.20047619938850403
signal,binary_functor,11.158689498901367,0.8321509957313538,2,11,13.426952362060547,0.4156072735786438,binary_functor:r1,0.5668795108795166
signal,binary_functor,13.426952362060547,0.9680227637290955,3,11,15.830119132995605,0.22035664319992065,binary_functor:r1,0.2622799575328827
nuisance,binary_functor,0.0,0.8047419786453247,0,11,2.8349156379699707,0.841739296913147,binary_functor:r2,0.8301368951797485
nuisance,binary_functor,2.8349156379699707,0.9946815371513367,1,11,2.892064332962036,0.10095766931772232,binary_functor:r2,0.10510144382715225
nuisance,binary_functor,2.892064332962036,0.9909509420394897,2,11,3.13594126701355,0.13869845867156982,binary_functor:r2,0.1343335658311844
nuisance,binary_functor,3.13594126701355,0.9897049069404602,3,11,3.3659722805023193,0.16773200035095215,binary_functor:r2,0.15574492514133453
signal,binary_functor,9.038371086120605,0.8912076354026794,0,11,10.308638572692871,0.37502405047416687,binary_functor:r2,0.453664630651474
signal,binary_functor,10.308638572692871,0.9763031005859375,1,11,12.085747718811035,0.16810937225818634,binary_functor:r2,0.2462376356124878
signal,binary_functor,12.085747718811035,0.8349652886390686,2,11,13.509196281433105,0.47276508808135986,binary_functor:r2,0.601943850517273
signal,binary_functor,13.509196281433105,0.984931230545044,3,11,16.397563934326172,0.19885076582431793,binary_functor:r2,0.1939939260482788
nuisance,contiguous_ngram,0.0,0.5133679509162903,0,11,3.5718517303466797,1.0485649108886719,contiguous_ngram:r0,1.1944464445114136
nuisance,contiguous_ngram,3.5718517303466797,0.9584554433822632,1,11,4.894175052642822,0.2588210999965668,contiguous_ngram:r0,0.40539437532424927
nuisance,contiguous_ngram,4.894175052642822,0.9293467402458191,2,11,5.670018196105957,0.3675459027290344,contiguous_ngram:r0,0.3709243834018707
nuisance,contiguous_ngram,5.670018196105957,0.9825413227081299,3,11,6.402988433837891,0.17393523454666138,contiguous_ngram:r0,0.19643011689186096
signal,contiguous_ngram,7.934864521026611,0.9106987118721008,0,11,10.763392448425293,0.41548773646354675,contiguous_ngram:r0,0.41515815258026123
signal,contiguous_ngram,10.763392448425293,0.9780400991439819,1,11,11.834418296813965,0.15993595123291016,contiguous_ngram:r0,0.21041208505630493
signal,contiguous_ngram,11.834418296813965,0.8857331275939941,2,11,13.879007339477539,0.33775806427001953,contiguous_ngram:r0,0.6572560667991638
signal,contiguous_ngram,13.879007339477539,0.9975523948669434,3,11,17.28788948059082,0.06826870888471603,contiguous_ngram:r0,0.07247655093669891
nuisance,contiguous_ngram,0.0,0.16198387742042542,0,11,1.4817336797714233,1.644046425819397,contiguous_ngram:r1,1.563063383102417
nuisance,contiguous_ngram,1.4817336797714233,0.9007201790809631,1,11,2.495940923690796,0.43696048855781555,contiguous_ngram:r1,0.44755157828330994
nuisance,contiguous_ngram,2.495940923690796,0.9920293092727661,2,11,2.8484742641448975,0.16546133160591125,contiguous_ngram:r1,0.15966662764549255
nuisance,contiguous_ngram,2.8484742641448975,0.9996249079704285,3,11,3.866863965988159,0.023323336616158485,contiguous_ngram:r1,0.027389002963900566
signal,contiguous_ngram,7.934864521026611,0.8388972282409668,0,11,10.763392448425293,0.49062567949295044,contiguous_ngram:r1,0.5582931041717529
signal,contiguous_ngram,10.763392448425293,0.9729514122009277,1,11,11.834418296813965,0.183608278632164,contiguous_ngram:r1,0.23315103352069855
signal,contiguous_ngram,11.834418296813965,0.8098196983337402,2,11,13.879007339477539,0.4446950852870941,contiguous_ngram:r1,0.604012131690979
signal,contiguous_ngram,13.879007339477539,0.9800336360931396,3,11,17.28788948059082,0.16528567671775818,contiguous_ngram:r1,0.2182561457157135
nuisance,contiguous_ngram,0.0,0.4631040096282959,0,11,3.238037586212158,1.584086298942566,contiguous_ngram:r2,1.5028369426727295
nuisance,contiguous_ngram,3.238037586212158,0.688327431678772,1,11,4.132379531860352,0.9801744222640991,contiguous_ngram:r2,1.0978213548660278
nuisance,contiguous_ngram,4.132379531860352,0.9681351184844971,2,11,4.360942840576172,0.25314855575561523,contiguous_ngram:r2,0.26364728808403015
nuisance,contiguous_ngram,4.360942840576172,0.9982964396476746,3,11,5.907192707061768,0.06831108778715134,contiguous_ngram:r2,0.06568664312362671
signal,contiguous_ngram,9.038371086120605,0.8489952683448792,0,11,9.903556823730469,0.44929033517837524,contiguous_ngram:r2,0.5661658048629761
signal,contiguous_ngram,9.903556823730469,0.7953673005104065,1,11,11.053349494934082,0.5843380689620972,contiguous_ngram:r2,0.8676446080207825
signal,contiguous_ngram,11.053349494934082,0.8647944331169128,2,11,11.964483261108398,0.48488834500312805,contiguous_ngram:r2,0.5924453139305115
signal,contiguous_ngram,11.964483261108398,0.9877455234527588,3,11,14.910440444946289,0.1746133267879486,contiguous_ngram:r2,0.1715630143880844
nuisance,skip_gram,0.0,0.1832665205001831,0,11,4.067147731781006,1.072877287864685,skip_gram:r0,1.0895682573318481
nuisance,skip_gram,4.067147731781006,0.9963974356651306,1,11,4.955749988555908,0.08222822099924088,skip_gram:r0,0.08483491092920303
nuisance,skip_gram,4.955749988555908,0.9870620369911194,2,11,8.095625877380371,0.17686989903450012,skip_gram:r0,0.17775975167751312
nuisance,skip_gram,8.095625877380371,0.9951916933059692,3,11,10.135128021240234,0.10219085961580276,skip_gram:r0,0.09878502786159515
signal,skip_gram,7.934864521026611,0.7082780599594116,0,11,11.63865852355957,0.6576857566833496,skip_gram:r0,0.719658374786377
signal,skip_gram,11.63865852355957,0.9677442312240601,1,11,13.426259994506836,0.21616600453853607,skip_gram:r0,0.2519543468952179
signal,skip_gram,13.426259994506836,0.9793505668640137,2,11,16.209379196166992,0.16855375468730927,skip_gram:r0,0.2024480700492859
signal,skip_gram,16.209379196166992,0.9870057106018066,3,11,17.614967346191406,0.19096890091896057,skip_gram:r0,0.17212006449699402
nuisance,skip_gram,0.0,0.8840252161026001,0,11,2.177753210067749,0.5263102054595947,skip_gram:r1,0.4999622702598572
nuisance,skip_gram,2.177753210067749,0.9910838007926941,1,11,2.559790849685669,0.1564958095550537,skip_gram:r1,0.1648271530866623
nuisance,skip_gram,2.559790849685669,0.9805715680122375,2,11,2.916057586669922,0.19516710937023163,skip_gram:r1,0.2222609966993332
nuisance,skip_gram,2.916057586669922,0.9980782866477966,3,11,3.9287827014923096,0.0681523010134697,skip_gram:r1,0.06994626671075821
signal,skip_gram,7.934864521026611,0.8842840194702148,0,11,11.63865852355957,0.4436489939689636,skip_gram:r1,0.5629061460494995
signal,skip_gram,11.63865852355957,0.9343023896217346,1,11,13.426259994506836,0.2582562565803528,skip_gram:r1,0.38819581270217896
signal,skip_gram,13.426259994506836,0.7318435311317444,2,11,16.209379196166992,0.5318409204483032,skip_gram:r1,0.7271669507026672
signal,skip_gram,16.209379196166992,0.9799216985702515,3,11,17.614967346191406,0.17933115363121033,skip_gram:r1,0.20512644946575165
