cumulative_fluctuation_variance,cumulative_signal,layer_i,layer_j,model_seed,nuisance_count,predictive_family_id,update_covariance
0.0,42.798095703125,0,0,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,0,1,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,0,2,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,0,3,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,0,4,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,0,5,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,0,6,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,0,7,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,1,0,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,1,1,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,1,2,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,1,3,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,1,4,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,1,5,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,1,6,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,1,7,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,2,0,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,2,1,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,2,2,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,2,3,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,2,4,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,2,5,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,2,6,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,2,7,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,3,0,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,3,1,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,3,2,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,3,3,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,3,4,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,3,5,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,3,6,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,3,7,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,4,0,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,4,1,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,4,2,11,0,contiguous_ngram:r0,0.0
0.0,42.798095703125,4,3,11,0,contiguous_ngram:r0,0.0
