BIC,R2,fit_parameters,fit_range,form,heldout_MAE,n_independent_cells,outcome,parameter_CI
9793.611355181969,0.004469292090179211,"[16776.892305776062, 1649.8200500840242]",2.0..8.0,linear,35707.946048296886,455,margin_snr_vs_depth,"[[6188.607788841539, 27260.997682370293], [-286.603989574122, 3538.7052991028095]]"
9792.81696577685,0.0062058834774847416,"[5641.494480375525, 11097.713330559473]",2.0..8.0,logarithmic,35695.134082979355,455,margin_snr_vs_depth,"[[-12941.002362253028, 23296.91413751675], [1282.6318034614706, 21426.85762650434]]"
9921.518039056602,-0.30106489426343286,"[49.11510983736476, 0.5145166963959465, 0.0]",2.0..8.0,power_law,25769.39588480632,455,margin_snr_vs_depth,"[[5.820146578138636, 485.07264056554976], [-0.7469034885045466, 1.7013395953286676], [0.0, 0.0]]"
9797.079079693876,0.010256182753570653,"[-167134.8961290068, 195133.11632196026, 0.8154407395185161]",2.0..8.0,exponential_saturation,35686.23147213221,455,margin_snr_vs_depth,"[[-10072047087830.705, 5994.362391285863], [28617.02906603925, 10072047114943.31], [0.1, 8.111191511973217]]"
9797.854528094827,0.008567941772496424,"[-394407.0624377628, 429264.1368340997, 0.1]",2.0..8.0,rational_saturation,35673.6244992404,455,margin_snr_vs_depth,"[[-637016.0306207892, 8898.803239964705], [38580.00692710799, 680709.785224722], [0.1, 100.0]]"
1051.7556473153659,0.012867624056906557,"[3.3442982456140173, 0.06085526315789523]",0.0..8.0,linear,1.646813769264546,948,stable_depth_vs_nuisance,"[[3.174697704817753, 3.499833594292365], [0.027012132490602418, 0.09448042959962333]]"
1054.8581880210595,0.009631721736695797,"[3.351839679228942, 0.18604157412571545]",0.0..8.0,logarithmic,1.6471963357800232,948,stable_depth_vs_nuisance,"[[3.1644525115415245, 3.5275518825702337], [0.06636231111259969, 0.3049471227035931]]"
1104.5038384534296,-0.03609629777169254,"[3.0033655303793196, 0.052985848839227176, 0.0]",0.0..8.0,power_law,1.6264980825848665,948,stable_depth_vs_nuisance,"[[2.8579588699781504, 3.142873313093134], [0.02225683375222532, 0.08522787619025696], [0.0, 0.0]]"
1058.720311102058,0.012752754646048414,"[3.3437098159772325, 6.3050933487321315, 100.0]",0.0..8.0,exponential_saturation,1.6471118649610357,948,stable_depth_vs_nuisance,"[[3.1677156461290585, 3.5027548218304765], [0.5443161119358887, 9.64166308977093], [4.684315791278612, 100.0]]"
1058.8247015988234,0.012644036391992741,"[3.3432408308990427, 6.5166666666667, 100.0]",0.0..8.0,rational_saturation,1.6471876574963342,948,stable_depth_vs_nuisance,"[[3.1664626441299033, 3.5025688219593736], [0.7818733010739679, 9.989250505513649], [5.619106799380848, 100.0]]"
