classification,first_within_js,generator_family,last_within_js,model_seed,predictive_family_id
expansion_then_contraction,0.021416633484168515,binary_functor,1.8128967377218014e-05,11,binary_functor:r0
expansion_then_contraction,0.0008033725210144972,binary_functor,8.829578914393879e-05,11,binary_functor:r1
monotone_contraction,0.023472271959217597,binary_functor,9.423848259731258e-06,11,binary_functor:r2
expansion_then_contraction,0.03477975048133277,binary_functor,8.02161960493407e-06,23,binary_functor:r0
oscillatory,0.15337222785675256,binary_functor,8.638565634089226e-05,23,binary_functor:r1
monotone_contraction,0.07449230964097414,binary_functor,4.649825322247957e-06,23,binary_functor:r2
monotone_contraction,0.05137771976870157,binary_functor,0.00017989771579431178,37,binary_functor:r0
oscillatory,0.0017685561944068672,binary_functor,1.652883087228277e-05,37,binary_functor:r1
expansion_then_contraction,0.0007055019956972896,binary_functor,2.3230903883262677e-05,37,binary_functor:r2
expansion_then_contraction,0.03880354188741476,contiguous_ngram,1.8985960122914792e-05,11,contiguous_ngram:r0
expansion_then_contraction,0.001652646412152954,contiguous_ngram,3.1324473313448514e-05,11,contiguous_ngram:r1
expansion_then_contraction,0.03839212141824455,contiguous_ngram,0.00017927080406009274,11,contiguous_ngram:r2
late_contraction,0.031190110122641307,contiguous_ngram,1.7750365606268965e-06,23,contiguous_ngram:r0
oscillatory,0.004523232698543974,contiguous_ngram,0.0002575183455587504,23,contiguous_ngram:r1
monotone_contraction,0.07703958758787133,contiguous_ngram,3.2543821314096037e-06,23,contiguous_ngram:r2
monotone_contraction,0.025997868898449548,contiguous_ngram,6.625015367568352e-06,37,contiguous_ngram:r0
oscillatory,0.0013147626081271785,contiguous_ngram,0.0001958341437732611,37,contiguous_ngram:r1
expansion_then_contraction,0.0011581839746901302,contiguous_ngram,8.1824261409086e-06,37,contiguous_ngram:r2
expansion_then_contraction,0.0022596953857242,skip_gram,7.024788208509607e-05,11,skip_gram:r0
expansion_then_contraction,0.0007720548994659508,skip_gram,1.1465530661205429e-05,11,skip_gram:r1
late_contraction,0.053112192635520084,skip_gram,2.3460749983100575e-05,11,skip_gram:r2
late_contraction,0.05440153081620708,skip_gram,7.999994458281223e-06,23,skip_gram:r0
monotone_contraction,0.16984176280753505,skip_gram,1.3153774408924002e-07,23,skip_gram:r1
expansion_then_contraction,0.053936817690827595,skip_gram,1.260394602746499e-05,23,skip_gram:r2
monotone_contraction,0.039233046552936586,skip_gram,8.11476674206319e-05,37,skip_gram:r0
oscillatory,0.0005403858745515491,skip_gram,0.0005062720685565704,37,skip_gram:r1
no_contraction,0.0001268617803615055,skip_gram,0.00013370239904118866,37,skip_gram:r2
