head_a,head_b,layer,norm_correlation
0,1,0,0.6648489008891495
0,2,0,-0.1462406975281492
0,3,0,0.0018045951128762882
1,2,0,0.0019645604564912022
1,3,0,-0.04847455598269457
2,3,0,0.24747842203515205
0,1,1,0.11970436658078683
0,2,1,0.0020583053276429964
0,3,1,0.042487575939942644
1,2,1,-0.5758931486832539
1,3,1,-0.1738010147758771
2,3,1,-0.661902362141404
0,1,2,0.4768455062475977
0,2,2,0.4746081280798787
0,3,2,0.26268470348834405
1,2,2,-0.005889661004129584
1,3,2,-0.28463921992678487
2,3,2,0.5357510464302091
0,1,3,0.723804975863713
0,2,3,-0.4238854625785908
0,3,3,0.6356940774735711
1,2,3,-0.7499795948006102
1,3,3,0.477920673057955
2,3,3,-0.2896321920810695
