gamma,head_a,head_b,layer,pair_target_logprob_drop,sum_individual_drop
0.006161198019981384,0,1,0,0.07809356600046158,0.0719323679804802
0.0004821252077817917,0,2,0,0.04667862877249718,0.046196503564715385
0.003586838021874428,0,3,0,0.052994225174188614,0.049407387152314186
0.006212180480360985,1,2,0,0.057795558124780655,0.05158337764441967
0.00569484569132328,1,3,0,0.06048910692334175,0.05479426123201847
0.0012447647750377655,2,3,0,0.030303161591291428,0.029058396816253662
0.008662380278110504,0,1,1,0.06674707680940628,0.058084696531295776
0.005110405385494232,0,2,1,0.05339372530579567,0.04828331992030144
0.005342544987797737,0,3,1,0.06885075569152832,0.06350821070373058
0.0049563683569431305,1,2,1,0.05697953328490257,0.05202316492795944
0.011987460777163506,1,3,1,0.0792355164885521,0.06724805571138859
0.008450748398900032,2,3,1,0.06589742749929428,0.05744667910039425
-0.011608338914811611,0,1,2,0.011750825680792332,0.023359164595603943
-0.00834973924793303,0,2,2,0.0024975163396447897,0.01084725558757782
-0.0011761989444494247,0,3,2,-0.03936440870165825,-0.038188209757208824
0.01529933512210846,1,2,2,0.13495859503746033,0.11965925991535187
0.00395113043487072,1,3,2,0.07457492500543594,0.07062379457056522
0.002936379984021187,2,3,2,0.06104826554656029,0.0581118855625391
0.005733329802751541,0,1,3,0.1692977249622345,0.16356439515948296
0.00033601559698581696,0,2,3,0.021125273779034615,0.020789258182048798
0.001397768035531044,0,3,3,0.03682246059179306,0.035424692556262016
0.01073944941163063,1,2,3,0.18325220048427582,0.1725127510726452
0.0187289547175169,1,3,3,0.2058771401643753,0.1871481854468584
0.0023774709552526474,2,3,3,0.046750519424676895,0.04437304846942425
