R,between_js_bits,discrimination_utility,head,layer,mode,stability_utility,target_logprob_drop,within_js_bits
30604.720871543686,0.9991790139654042,0.0007059729814339333,0,0,zero,1.598667097406524e-05,0.033272746950387955,3.2647872142315216e-05
41333.649176864245,0.9995646864326542,0.00032030051418396877,0,0,mean,7.521630648887097e-06,-0.01162803452461958,2.418283181713707e-05
35615.345725073326,0.9998740423739254,1.0944572912729988e-05,0,0,equivalent,1.1413046659983535e-05,0.0006856294348835945,2.807424782823351e-05
23992.338894768694,0.9982507533814631,0.001634233565375065,0,0,mismatched,2.4945861726277675e-05,-0.022944727912545204,4.160706289452765e-05
28636.987518498965,0.9996569476435321,0.00022803930330606015,1,0,zero,1.8246693630313324e-05,0.03865962103009224,3.49078947985633e-05
30213.356061851693,0.9996638239444975,0.0002211630023406519,1,0,mean,1.6425617187778457e-05,0.027668479830026627,3.308681835602843e-05
28882.962220249035,0.9998868707914101,-1.8838445720037456e-06,1,0,equivalent,1.795736957136819e-05,0.0029554804787039757,3.4618570739618164e-05
21226.38785195473,0.9980687602584152,0.0018162266884229616,1,0,mismatched,3.0358987439417603e-05,0.0032756493892520666,4.702018860766758e-05
87186.98845891222,0.9998213814466158,6.360550022233014e-05,2,0,zero,-5.1936485079376845e-06,0.01292375661432743,1.146755266031229e-05
99567.18806799033,0.999835537441134,4.944950570417994e-05,2,0,mean,-6.619383609252652e-06,-0.005145329982042313,1.0041817558997323e-05
102496.71982446064,0.9998861784875253,-1.191540687117687e-06,2,0,equivalent,-6.905901874770493e-06,0.004840577021241188,9.755299293479481e-06
81101.83624867222,0.9997276827001674,0.00015730424667070864,2,0,mismatched,-4.334381839094099e-06,-0.004628554452210665,1.2326819329155876e-05
13723.164384930367,0.9998475751455587,3.741180127947441e-05,3,0,zero,5.6197182445044624e-05,0.01613464020192623,7.28583836132946e-05
14118.193694788739,0.9998157827989372,6.920414790090312e-05,3,0,mean,5.415634138806061e-05,-0.002214970998466015,7.081754255631058e-05
10108.08577024043,0.9999014629439232,-1.647599708509695e-05,3,0,equivalent,8.225975040180577e-05,-0.008258169516921043,9.892095157005575e-05
12845.463632796891,0.9995008829640747,0.0003841039827634507,3,0,mismatched,6.114843743538597e-05,-0.018130358308553696,7.780963860363595e-05
8827.13653355964,0.9998298052692852,5.518167755291792e-05,0,1,zero,9.660653876848496e-05,0.027172425761818886,0.00011326773993673494
10355.068184685722,0.9998350689643204,4.9917982517744264e-05,0,1,mean,7.989393986336513e-05,0.012140979990363121,9.65551410316151e-05
11036.375926751727,0.9998941432112124,-9.156264374254874e-06,0,1,equivalent,7.393866149024372e-05,0.0056464411318302155,9.059986265849369e-05
9475.187002602235,0.9997534781414193,0.00013150880541878962,0,1,mismatched,8.885159534614603e-05,0.009486363269388676,0.000105512796514396
32607.7596659993,0.999722180759781,0.00016280618705710737,1,1,zero,1.3997825732092689e-05,0.03091227076947689,3.0659026900342663e-05
35968.913549948695,0.9996390133060822,0.00024597364075595873,1,1,mean,1.1130547723968316e-05,0.012559352442622185,2.779174889221829e-05
38434.0156697555,0.9998901680883892,-5.181141551013901e-06,1,1,equivalent,9.354559887788281e-06,0.000513649545609951,2.6015761056038256e-05
26540.905825567053,0.9991622317823183,0.000722755164519806,1,1,mismatched,2.098492283177635e-05,0.05242142826318741,3.764612400002632e-05
