abstraction_level,component,family,layer,mean_diagnostic_progress,mean_replacement_drop,mean_zero_ablation_drop,n,natural
parent,ff,action,0,6.119302997986476,1.6636398372550805,1.327953583560884,48,False
parent,ff,action,1,0.8912811788419882,1.5265941296238452,0.5700243544609597,48,False
parent,ff,action,2,0.7484620795197164,0.44186048314440995,0.7484620795197164,24,False
parent,sa,action,0,3.8655405839284263,0.9841687902808189,0.7101473001142343,48,False
parent,sa,action,1,-0.6498731374740601,0.8487835573808601,-1.699390953949963,48,False
parent,sa,action,2,1.2348109545807044,0.34008684086923796,1.1631631155808766,24,False
root,ff,action,0,4.0317119012276335,-0.1929329459865888,-0.960344394048055,48,False
root,ff,action,1,0.5161548107862473,0.9487180858850479,-0.3685424129168193,48,False
root,ff,action,2,-1.006768673658371,-0.21502063671747842,-1.006768673658371,24,False
root,sa,action,0,4.837603171666463,-0.19865141560633978,4.520511796077092,48,False
root,sa,action,1,0.31890494128068286,1.0057008763154347,-0.9097087408105532,48,False
root,sa,action,2,2.2350908617178598,0.1539137214422226,1.8457892090082169,24,False
parent,ff,action,0,6.278915852308273,1.6453802213072777,1.7708437430361907,48,True
parent,ff,action,1,1.7889259966711204,1.0303030125796795,1.0529944555213053,48,True
parent,ff,action,2,0.9641261131813129,0.26500189614792663,0.9641261131813129,24,True
parent,sa,action,0,3.088486889998118,0.6590072214603424,-0.5395314743121465,48,True
parent,sa,action,1,3.601931338508924,-0.082185175580283,1.393944116930167,48,True
parent,sa,action,2,-0.04462645761668682,0.07039037036399047,-0.16993553874393305,24,True
root,ff,action,0,3.152473419904709,-1.164148171742757,-0.652918408314387,48,True
root,ff,action,1,0.9812182088692983,-0.5534840474526087,-0.0018589198589324951,48,True
root,ff,action,2,1.0627698302268982,-0.3743782838185628,1.0627698302268982,24,True
root,sa,action,0,2.8658001025517783,1.029884894688924,0.697351356347402,48,True
root,sa,action,1,3.1783665120601654,-0.12188580632209778,1.0408400694529216,48,True
root,sa,action,2,-0.22430908679962158,0.09070265293121338,-0.9424035350481669,24,True
parent,ff,noun,0,8.311989625295004,0.6449536370734373,2.360544264316559,48,False
parent,ff,noun,1,1.6941934451460838,0.18955286405980587,0.7750089143713316,48,False
parent,ff,noun,2,1.3618593799571197,0.3377310124536355,1.3618593799571197,24,False
parent,sa,noun,0,2.641855160395304,-0.6566612565269073,-1.1861543493966262,48,False
parent,sa,noun,1,2.5991314786175885,0.7765530155350765,0.8091676943004131,48,False
parent,sa,noun,2,1.0127340542773406,-0.0370402621726195,0.8347162610540787,24,False
root,ff,noun,0,3.140322228272756,0.15175078312555948,0.38962523142496747,48,False
root,ff,noun,1,2.1702582240104675,-0.033004174629847206,1.1723121056954067,48,False
root,ff,noun,2,2.396859586238861,0.0657347043355306,2.396859586238861,24,False
root,sa,noun,0,3.3095478216807046,0.6694843421379725,0.2821467121442159,48,False
root,sa,noun,1,3.073292205731074,0.607926219701767,1.7317561755577724,48,False
root,sa,noun,2,1.6971178551514943,-0.21596001585324606,1.461654265721639,24,False
parent,ff,noun,0,6.090174044171969,0.2453874102793634,0.27572090302904445,48,True
parent,ff,noun,1,0.6955593414604664,0.49195153700808686,0.23949543262521425,48,True
parent,ff,noun,2,-0.03518905242284139,0.5777241835991541,-0.03518905242284139,24,True
parent,sa,noun,0,3.3946757266918817,0.2399129243567586,-0.5215376342336336,48,True
parent,sa,noun,1,3.5928136159976325,0.6400058829846481,0.25548468025711674,48,True
parent,sa,noun,2,0.9661571284135183,0.10039361814657848,0.6968632241090139,24,True
root,ff,noun,0,5.4203936358292895,-1.51224423541377,-0.5673764298359553,48,True
root,ff,noun,1,0.3090639300644398,-0.22980569877351323,-0.4711975490984817,48,True
root,ff,noun,2,0.547386732728531,-0.2237547026015818,0.547386732728531,24,True
root,sa,noun,0,4.190653453270595,1.3069844618439674,2.744743218024572,48,True
root,sa,noun,1,2.5328593055407205,0.3010381093869607,1.5804504975676537,48,True
root,sa,noun,2,0.4415379511192441,0.39050872437655926,0.6724844382454952,24,True
parent,ff,relation,0,7.084024945894877,0.7383103538304567,1.9103494336207707,48,False
parent,ff,relation,1,3.6542764802773795,0.12266665029649933,2.403427372376124,48,False
parent,ff,relation,2,0.43693886216108996,-0.03903453176220258,0.43693886216108996,24,False
parent,sa,relation,0,4.2350017329057055,1.0074863127277542,0.2518304526650657,48,False
