abstraction_level,angular_concentration,between_cosine_distance,common_energy_fraction,component,effective_rank,family,layer,model_setting,n,natural,parent_id,seed,within_cosine_distance
parent,0.9517980508929398,0.8738423611826237,0.8865463396102274,ff,2.4886897692609824,action,0,tiny-w32-l2-h2,6,False,synthetic:action:p0,11,0.11201944796512711
parent,0.9314436110797489,0.870482728134568,0.8563822618344255,ff,1.6681586240955175,action,0,tiny-w32-l2-h2,6,False,synthetic:action:p1,11,0.15751161833480526
root,0.9472727861052502,0.8781934468624875,0.8811762505036049,ff,2.2486249448246167,action,0,tiny-w32-l2-h2,6,False,synthetic:action:p0,11,0.1223545789368651
root,0.9294506375010211,0.8696233303695785,0.8507864284728421,ff,1.7158322533084103,action,0,tiny-w32-l2-h2,6,False,synthetic:action:p1,11,0.16166184118841673
parent,0.8723196341022069,0.857515686176683,0.7532947677994818,ff,1.370790799500426,action,0,tiny-w32-l2-h2,6,True,natural:action:communication,11,0.2849450928882414
parent,0.8406189109412273,0.8702256404838256,0.6917673791802939,ff,1.326528622047511,action,0,tiny-w32-l2-h2,6,True,natural:action:movement,11,0.3478003900950887
root,0.8950198168337753,0.8623419552241938,0.7894128998517582,ff,1.1331656980138662,action,0,tiny-w32-l2-h2,6,True,natural:action:communication,11,0.23370061739182404
root,0.8380057445755872,0.8669442693522023,0.7090063555326267,ff,1.9656587721677086,action,0,tiny-w32-l2-h2,6,True,natural:action:movement,11,0.352430399454788
parent,0.9406440642758459,0.8930974959469159,0.883379968472025,ff,1.284933723073777,noun,0,tiny-w32-l2-h2,6,False,synthetic:noun:p0,11,0.1380134894273479
parent,0.8531330069369583,0.8956790286393852,0.7142920013021675,ff,1.2818944494072122,noun,0,tiny-w32-l2-h2,6,False,synthetic:noun:p1,11,0.3237480761858947
root,0.9369291250967108,0.8958538880740692,0.8770638488548138,ff,1.1708552464911612,noun,0,tiny-w32-l2-h2,6,False,synthetic:noun:p0,11,0.14652451955148701
root,0.8517315814011179,0.892471632539887,0.7122472998693097,ff,1.2915198785082183,noun,0,tiny-w32-l2-h2,6,False,synthetic:noun:p1,11,0.3260042663475071
parent,0.8949899665604195,0.9012016145543291,0.8000475406688916,ff,1.9748557314465751,noun,0,tiny-w32-l2-h2,6,True,natural:noun:bird,11,0.23860780660113617
parent,0.9054988017770301,0.8469744548888724,0.7523293486082624,ff,1.4462448613698025,noun,0,tiny-w32-l2-h2,6,True,natural:noun:mammal,11,0.2037342532633655
root,0.9124931652336589,0.909578042958062,0.8277346559540323,ff,1.2963257227508256,noun,0,tiny-w32-l2-h2,6,True,natural:noun:bird,11,0.20067093751301662
root,0.9137895963648669,0.851319584430924,0.7756930655766405,ff,1.4856165044591008,noun,0,tiny-w32-l2-h2,6,True,natural:noun:mammal,11,0.18828590585866464
parent,0.8027384520754616,0.8794183754821185,0.6414236828074332,ff,1.4392085705155877,relation,0,tiny-w32-l2-h2,6,False,synthetic:relation:p0,11,0.42642346279296
parent,0.9175037301994534,0.8439644333261261,0.840897458537256,ff,1.3437272959115545,relation,0,tiny-w32-l2-h2,6,False,synthetic:relation:p1,11,0.18962295651799987
root,0.8328809044069101,0.8861078573912785,0.6925789559847944,ff,1.3066448300610158,relation,0,tiny-w32-l2-h2,6,False,synthetic:relation:p0,11,0.36675683358359734
root,0.9239968641792268,0.8399822232819607,0.853495973129258,ff,1.1561054168519107,relation,0,tiny-w32-l2-h2,6,False,synthetic:relation:p1,11,0.17543299535132612
parent,0.8157858822082685,0.8557124717535876,0.6345421177448282,ff,1.3322010074581885,relation,0,tiny-w32-l2-h2,6,True,natural:relation:social,11,0.4007866877593284
parent,0.8916268637769337,0.8821560887526356,0.7905970841490076,ff,2.0526032006075505,relation,0,tiny-w32-l2-h2,6,True,natural:relation:spatial,11,0.2455035525074847
root,0.8162671728226413,0.8577208439213242,0.6431574598270879,ff,1.212333833915663,relation,0,tiny-w32-l2-h2,6,True,natural:relation:social,11,0.3986175644286241
root,0.9010001863425461,0.8818557519892736,0.8095976916521986,ff,1.6010792476216114,relation,0,tiny-w32-l2-h2,6,True,natural:relation:spatial,11,0.22576612592817222
parent,0.8968858312187202,1.0023665773251782,0.7821701767291457,sa,1.9300772706110523,action,0,tiny-w32-l2-h2,6,False,synthetic:action:p0,11,0.23296676757214835
parent,0.9355346755480786,1.0472734811099154,0.8483395326695249,sa,2.1457845644825113,action,0,tiny-w32-l2-h2,6,False,synthetic:action:p1,11,0.1480613534263644
root,0.9042251072381046,0.9929578606881488,0.8039974664715864,sa,1.7557812040832372,action,0,tiny-w32-l2-h2,6,False,synthetic:action:p0,11,0.21738722267195015
root,0.9235875890563267,1.042093338026941,0.8280619867057203,sa,2.265259996806503,action,0,tiny-w32-l2-h2,6,False,synthetic:action:p1,11,0.1747053446919721
parent,0.8893283833499198,0.9765490669666056,0.7708119740786321,sa,2.559667031805414,action,0,tiny-w32-l2-h2,6,True,natural:action:communication,11,0.24789077794489997
parent,0.9279078205323744,1.0103537366381088,0.8246168847139311,sa,2.3324122797815865,action,0,tiny-w32-l2-h2,6,True,natural:action:movement,11,0.16386038943662784
root,0.9630834037213397,0.9693810412895209,0.9152599894342497,sa,2.4141428404814684,action,0,tiny-w32-l2-h2,6,True,natural:action:communication,11,0.08640973131716877
root,0.8783909485397617,0.9990588457672852,0.7672640053201424,sa,1.5609944459144376,action,0,tiny-w32-l2-h2,6,True,natural:action:movement,11,0.2723337511110584
parent,0.9536486620571499,0.9733960222785691,0.8973160536216899,sa,2.1814869547005986,noun,0,tiny-w32-l2-h2,6,False,synthetic:noun:p0,11,0.10794527621872232
parent,0.8595190009177928,1.0295601784931703,0.701949052670324,sa,1.58720164604635,noun,0,tiny-w32-l2-h2,6,False,synthetic:noun:p1,11,0.30244423448931246
root,0.9556416675951761,0.9695866895424822,0.8920494491983876,sa,1.518975539804573,noun,0,tiny-w32-l2-h2,6,False,synthetic:noun:p0,11,0.10193804911010972
root,0.8510074298775341,1.0143969800066777,0.6994210881581783,sa,1.935186721849425,noun,0,tiny-w32-l2-h2,6,False,synthetic:noun:p1,11,0.3255019797000794
parent,0.8902827545237408,1.013368451462609,0.7574919247158629,sa,2.1647468952330025,noun,0,tiny-w32-l2-h2,6,True,natural:noun:bird,11,0.24522209850599497
parent,0.8350006991749539,1.0157857318020538,0.6722449995387293,sa,1.677238626646307,noun,0,tiny-w32-l2-h2,6,True,natural:noun:mammal,11,0.3625557645544059
root,0.9477010594794026,0.9964960668550121,0.8845923880132162,sa,1.816326863990702,noun,0,tiny-w32-l2-h2,6,True,natural:noun:bird,11,0.12110983077142917
root,0.8668456360637945,1.0067489657798525,0.7240048343634635,sa,1.66015189030776,noun,0,tiny-w32-l2-h2,6,True,natural:noun:mammal,11,0.29757892110954387
parent,0.8047348361292525,1.0101454877410179,0.6219187154146717,sa,1.9024824954709172,relation,0,tiny-w32-l2-h2,6,False,synthetic:relation:p0,11,0.416345066166856
parent,0.897905585652529,0.9993886105932064,0.7876890397927351,sa,2.216130167545748,relation,0,tiny-w32-l2-h2,6,False,synthetic:relation:p1,11,0.23142725989463725
root,0.915155113804099,0.99023932390261,0.8133539060509916,sa,1.8195356504659892,relation,0,tiny-w32-l2-h2,6,False,synthetic:relation:p0,11,0.19248150668342942
root,0.9192611487009509,0.972798187684037,0.8346686604140854,sa,1.5377436472252075,relation,0,tiny-w32-l2-h2,6,False,synthetic:relation:p1,11,0.18492075723737683
parent,0.8277902827395406,1.0251457889692825,0.6591016087358056,sa,2.3539436090319352,relation,0,tiny-w32-l2-h2,6,True,natural:relation:social,11,0.3718549413309973
parent,0.7848257285610271,1.025880176104313,0.5938289306272714,sa,2.1849836573984422,relation,0,tiny-w32-l2-h2,6,True,natural:relation:spatial,11,0.45513283185703557
root,0.7743539254962535,1.0100825135434006,0.5982082684591838,sa,1.9623753378713666,relation,0,tiny-w32-l2-h2,6,True,natural:relation:social,11,0.4692136508625711
root,0.7869134154172438,1.0161087461848066,0.5965515050707377,sa,1.8917592464434472,relation,0,tiny-w32-l2-h2,6,True,natural:relation:spatial,11,0.4430256900486018
parent,0.8625944821328208,0.8410519222168278,0.7273085336632512,ff,2.26614976275601,action,1,tiny-w32-l2-h2,6,False,synthetic:action:p0,11,0.30442420882484883
parent,0.9760915628178396,0.8302777768472686,0.9420075920757494,ff,2.5453404581443375,action,1,tiny-w32-l2-h2,6,False,synthetic:action:p1,11,0.05658937572368475
root,0.8670083335246566,0.829181267539587,0.738019634188755,ff,2.0699128710404775,action,1,tiny-w32-l2-h2,6,False,synthetic:action:p0,11,0.2960669273212874
root,0.9767659945667563,0.8253889328173295,0.9481421133877556,ff,2.7307846043141337,action,1,tiny-w32-l2-h2,6,False,synthetic:action:p1,11,0.05507156496336754
parent,0.8316494978927643,0.8575819119612555,0.6833261775923873,ff,1.2828068889352178,action,1,tiny-w32-l2-h2,6,True,natural:action:communication,11,0.35342691904841284
parent,0.8567566148406015,0.8315708170668694,0.6818519590721941,ff,2.089044624983434,action,1,tiny-w32-l2-h2,6,True,natural:action:movement,11,0.30708271723385117
root,0.8745773630793668,0.8392792682694764,0.7421600115459175,ff,1.238986672377303,action,1,tiny-w32-l2-h2,6,True,natural:action:communication,11,0.2686322142774176
root,0.8506920700748961,0.8300532808539266,0.7220950686061797,ff,2.0538461861383186,action,1,tiny-w32-l2-h2,6,True,natural:action:movement,11,0.3263027962027263
parent,0.9489697648166745,0.8628265381743238,0.8801556311837315,ff,1.3564083733240169,noun,1,tiny-w32-l2-h2,6,False,synthetic:noun:p0,11,0.1163579798796641
parent,0.9471902148647456,0.8541533670669283,0.8891047640466064,ff,1.934712295281633,noun,1,tiny-w32-l2-h2,6,False,synthetic:noun:p1,11,0.1229701600540551
root,0.9388873832826011,0.857616624289678,0.8737748018764593,ff,1.329095755164555,noun,1,tiny-w32-l2-h2,6,False,synthetic:noun:p0,11,0.14164463086632414
root,0.9332625373238206,0.8492168806788994,0.8685928704131992,ff,1.9611222080078814,noun,1,tiny-w32-l2-h2,6,False,synthetic:noun:p1,11,0.15454420448994
parent,0.8165457100172405,0.8290360812843941,0.6355215656541855,ff,1.6722191295464006,noun,1,tiny-w32-l2-h2,6,True,natural:noun:bird,11,0.3967105263743768
parent,0.9126894958229332,0.8136822317939939,0.8137222553196,ff,2.103690241838739,noun,1,tiny-w32-l2-h2,6,True,natural:noun:mammal,11,0.19857359120126974
root,0.8568420925285737,0.8104768843211858,0.7076146296674615,ff,1.4256314103919185,noun,1,tiny-w32-l2-h2,6,True,natural:noun:bird,11,0.3175148715753315
root,0.9203962003700221,0.8073027994471473,0.8366856944608112,ff,1.9641872162576983,noun,1,tiny-w32-l2-h2,6,True,natural:noun:mammal,11,0.1827066131792821
parent,0.8698998343867186,0.8537734234453173,0.7322443508637424,ff,1.4530046805080157,relation,1,tiny-w32-l2-h2,6,False,synthetic:relation:p0,11,0.28463859328900765
parent,0.9308477682031088,0.8353735232870327,0.8553489362035419,ff,1.3445844728211502,relation,1,tiny-w32-l2-h2,6,False,synthetic:relation:p1,11,0.15834095125355763
root,0.8899722338250647,0.8435863580291769,0.7731793944069324,ff,1.3831151771419683,relation,1,tiny-w32-l2-h2,6,False,synthetic:relation:p0,11,0.2430823917557388
root,0.9398161432858388,0.8251137427359384,0.8684162432660281,ff,1.2781632744569995,relation,1,tiny-w32-l2-h2,6,False,synthetic:relation:p1,11,0.13736953956848091
parent,0.8724767578524868,0.8300053870612042,0.7522891197502025,ff,1.7823528855884594,relation,1,tiny-w32-l2-h2,6,True,natural:relation:social,11,0.28610576876666516
