abstraction_level,between_parent_dispersion_ci_high,between_parent_dispersion_ci_low,cross_template_cosine_ci_high,cross_template_cosine_ci_low,effective_rank_ci_high,effective_rank_ci_low,family,hierarchy_rsa_spearman_ci_high,hierarchy_rsa_spearman_ci_low,layer,location,mean_between_parent_dispersion,mean_cross_template_cosine,mean_effective_rank,mean_hierarchy_rsa_spearman,mean_normalized_separation,mean_permuted_neighbor_recovery,mean_tree_neighbor_recovery,mean_within_parent_dispersion,n_runs,natural,normalized_separation_ci_high,normalized_separation_ci_low,permuted_neighbor_recovery_ci_high,permuted_neighbor_recovery_ci_low,tree_neighbor_recovery_ci_high,tree_neighbor_recovery_ci_low,within_parent_dispersion_ci_high,within_parent_dispersion_ci_low
parent,0.4682186024110204,0.2889260043281147,0.99479511544216,0.9353656317409471,2.7730927228652584,2.313135212083141,action,0.6210590034081188,-0.4657942525560891,0,post_block,0.3624768594148726,0.9731799751674195,2.563668263640397,0.05175491695067658,0.01422098461494846,0.25,0.4375,0.3367142555398063,4,False,0.2834601198721309,-0.21756276580747136,0.4375,0.0625,0.8125,0.125,0.38738994787764297,0.27597609772945964
root,0.5103781056323272,0.3445396013766236,0.991443817911247,0.9373619456211785,2.7755862652372483,2.2556887531292142,action,0.6210590034081188,-0.36228441865473593,0,post_block,0.43360557275092326,0.9715719382716113,2.5589947495460796,0.15526475085202973,0.05120413479825941,0.25,0.4375,0.3868081524005633,4,False,0.3156517845139074,-0.2239326201245339,0.5625,0.0,0.8125,0.125,0.42711240177615695,0.32737684766830083
parent,0.4520754470464731,0.2947786391637066,0.9925210536687424,0.9260566230219167,2.7776238074740993,2.506091469405762,action,0.724568837309472,-0.25877458475338283,0,post_block,0.37442652072840366,0.957246722240007,2.641491944952178,0.3105295017040594,0.11753893314277686,0.1875,0.5625,0.326645856417279,4,True,0.31158081090430756,-0.12981609891944257,0.375,0.0,0.875,0.125,0.42334542309195666,0.24099798380555812
root,0.5037762235113045,0.32691729287435056,0.9868671935241029,0.9320310711199237,2.779433304152484,2.48435129423966,action,0.41403933560541256,-0.20701966780270628,0,post_block,0.40930111190157403,0.9581403596236803,2.6349078739850347,0.10350983390135314,0.07207043579740605,0.1875,0.4375,0.368998197739976,4,True,0.22697427198573752,-0.08283340039092543,0.375,0.0,0.75,0.0625,0.42169584290430207,0.3114849487422934
parent,0.5767683010507931,0.2508018867170059,0.9966194674792707,0.9112764099009117,2.734016281369742,2.498660727063795,noun,0.362284418654736,-0.20701966780270628,0,post_block,0.3795930803757685,0.9657352363669592,2.6163385042167686,0.05175491695067656,0.08509065578205982,0.375,0.3125,0.32835347657342395,4,False,0.22726632818377784,-0.029191690176216468,0.5,0.125,0.5,0.125,0.44699552719424485,0.23097484099477666
root,0.5871570308501856,0.31159888730009255,0.9859702792346681,0.9166043408564646,2.718124794754451,2.479560023623561,noun,0.362284418654736,-0.10350983390135314,0,post_block,0.4342487244508525,0.9594586247964624,2.5926542750012316,0.10350983390135313,0.07257859066822059,0.3125,0.25,0.3948214592002586,4,False,0.20080285343093418,-0.10410637661717484,0.5,0.0625,0.4375,0.125,0.5004912113167815,0.2716858958281374
parent,0.4105004321850473,0.324711149678309,0.9936613944472956,0.8699886126931854,2.792742322513356,2.349440417112776,noun,0.41403933560541256,-0.1552647508520297,0,post_block,0.3720442420707667,0.947660331844596,2.597838082984971,0.1552647508520297,0.10861038451349488,0.4375,0.4375,0.32917719100542847,4,True,0.23172613708238704,-0.04826676286459124,0.6875,0.25,0.625,0.125,0.37047257269667383,0.2799322041889194
root,0.5949619008868732,0.41312646785285645,0.9933078074126543,0.9189708881795245,2.8091906744460475,2.2130533658917075,noun,0.3105295017040594,-0.10350983390135314,0,post_block,0.4829813165662204,0.9575194098286299,2.523626497346367,0.1552647508520297,0.11546162368373576,0.375,0.375,0.4225453045087809,4,True,0.18835852326487992,0.011059196844698405,0.5,0.25,0.5,0.125,0.49213798781952245,0.3671104313968094
parent,0.44359875376985025,0.35589915196783606,0.9931624428483499,0.9128865952768725,2.767235766729927,2.500005446560688,relation,0.5175491695067657,-0.10350983390135314,0,post_block,0.39974895286884315,0.9626217037242296,2.677158984777128,0.20701966780270625,0.05866998386492201,0.4375,0.375,0.38347649726424693,4,False,0.19067245667487814,-0.1290730676983452,0.625,0.25,0.625,0.125,0.5008374682630139,0.2878002776198283
root,0.6078634201144864,0.39209387772725907,0.9896335951970685,0.9466908436631591,2.5371099849865546,2.4054513577746075,relation,0.8280786712108251,-0.20701966780270628,0,post_block,0.4999786489208727,0.9719401756597715,2.462439095571573,0.3105295017040594,0.11336760348155134,0.25,0.625,0.43366068841761385,4,False,0.3618708353905947,-0.13513562842749202,0.5,0.0,1.0,0.25,0.588695062911168,0.32151730399935274
