abstraction_level,between_parent_dispersion,cross_template_cosine,effective_rank,family,hierarchy_rsa_spearman,layer,location,model_setting,n_items,natural,normalized_separation,permuted_neighbor_recovery,seed,tree_neighbor_recovery,within_parent_dispersion
parent,0.5230389218649103,0.9168626668956658,2.178096720946161,action,0.8280786712108251,0,post_block,tiny-w32-l2-h2,4,False,0.4146449119783386,0.0,11,1.0,0.30616349414698946
root,0.5225474034290807,0.9205208290338548,2.1445834899856866,action,0.8280786712108251,0,post_block,tiny-w32-l2-h2,4,False,0.4322658356045809,0.0,11,1.0,0.2966680134428051
parent,0.49824483522286367,0.9095831180684645,2.8251381853261206,action,0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,True,0.030123363982623715,0.5,11,0.5,0.48323602469898297
root,0.3692268940498681,0.917870164433081,2.7829082136827714,action,-0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,True,-0.12373241203437067,0.5,11,0.25,0.4149122282386173
parent,0.6784458750959104,0.8849746389153491,2.48859190647344,noun,0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,False,0.2723564357196557,0.5,11,0.5,0.4936667747260855
root,0.6537514167520682,0.8943022704297,2.5315020254215224,noun,0.0,0,post_block,tiny-w32-l2-h2,4,False,0.23034521287498602,0.5,11,0.25,0.5031629074929893
parent,0.41888670557148144,0.8332026003832294,2.8053330644598784,noun,0.0,0,post_block,tiny-w32-l2-h2,4,True,0.07300317506679647,0.25,11,0.5,0.38830664607149296
root,0.39945091928778564,0.8978520287597737,2.759326577577342,noun,0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,True,0.142431280616106,0.25,11,0.5,0.34255661331034554
parent,0.4628379984373533,0.8864587856347002,2.411079757581115,relation,-0.20701966780270628,0,post_block,tiny-w32-l2-h2,4,False,-0.2304988686139971,0.75,11,0.0,0.5695216334287302
root,0.37730462042732826,0.9353487473236773,2.4109368574645895,relation,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,False,-0.20157772824367107,0.5,11,0.0,0.4533608286689097
parent,0.5020282564417051,0.8531972850971665,2.6366859748144775,relation,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,True,-0.1509733943748785,0.25,11,0.0,0.5778211663888113
root,0.492349495733309,0.8995340345036529,2.6146027583321856,relation,-0.41403933560541256,0,post_block,tiny-w32-l2-h2,4,True,-0.20582575402800107,0.0,11,0.0,0.5936877019379234
parent,0.41905470840200265,0.9504695257391371,2.4882788522421757,action,0.41403933560541256,0,post_sa,tiny-w32-l2-h2,4,False,0.18843795805413413,0.0,11,0.75,0.34008889483775867
