component,donor_type,layer,mean_output_js_bits,mean_target_probability_change,n
ff,cross_category,0,0.28368394483672943,-0.03397211364302065,576
ff,cross_category,1,0.12488286126589958,-0.01507868541222624,576
ff,cross_category,2,0.060125565528493415,0.0019123139656102943,288
sa,cross_category,0,0.24303941038509494,-0.006992650098940369,576
sa,cross_category,1,0.10509778433181725,-0.005217948843529988,576
sa,cross_category,2,0.032230493703062066,-0.0074351186130360665,288
ff,sibling,0,0.24103783990562283,-0.0040286500768287724,576
ff,sibling,1,0.10616900980434979,-6.812632649834933e-05,576
ff,sibling,2,0.048254531018551504,0.002839541729524075,288
sa,sibling,0,0.20497719558682573,-0.004489011880385015,576
sa,sibling,1,0.11205116252297542,0.0002488248307945151,576
sa,sibling,2,0.03450141261037982,0.0031948083477031128,288
