abstraction_level,between_category_variance,category_id,family,fisher_separation_ratio,layer,location,mean_js_to_category_centroid,mean_within_example_entropy_bits,model_setting,n_entities,n_realizations,natural,nuisance_context_variance,residual_covariance_effective_rank,seed,semantic_member_variance,within_category_variance
parent,60.8907582770717,39,action,3.4360530442553796,0,post_block,0.3130459931928899,0.5052427865118498,tiny-w32-l2-h2,2,6,False,5.889884585826306,1.9311442943770238,11,11.831249952207934,17.72113453803424
parent,60.8907582770717,42,action,3.65191793193053,0,post_block,0.28990166815742185,1.0003138576527917,tiny-w32-l2-h2,2,6,False,3.4754795708657706,1.50621117722586,11,13.198158613791554,16.673638184657325
root,0.0,38,action,0.0,0,post_block,0.5210617723594259,1.0383715415065609,tiny-w32-l2-h2,4,12,False,5.000677597819742,2.673122551319366,11,29.736811517864837,34.73748911568458
parent,43.00491413283385,18,action,2.1557487617057243,0,post_block,0.3832003778713789,1.5710794500634988,tiny-w32-l2-h2,2,6,True,4.643716743580121,1.5785234029738633,11,15.305228558750217,19.948945302330337
parent,43.00491413283385,21,action,1.3981353017765294,0,post_block,0.3518972636281645,1.1160580809401137,tiny-w32-l2-h2,2,6,True,6.190827000701267,1.4862770860261232,11,24.567937246356937,30.758764247058203
root,0.0,17,action,0.0,0,post_block,0.3867701842804052,1.4215028366835367,tiny-w32-l2-h2,4,12,True,5.2433249560124535,3.5746600819580796,11,27.64829628963524,32.89162124564769
parent,58.2805671528018,32,noun,3.0370507129956774,0,post_block,0.3433165829458351,1.0265860852967374,tiny-w32-l2-h2,2,6,False,1.8391054926345451,1.199477789863665,11,17.350750937294865,19.18985642992941
parent,58.2805671528018,35,noun,1.997850397690263,0,post_block,0.4339733222971757,0.5509800512548751,tiny-w32-l2-h2,2,6,False,10.006160717006487,1.5877347176451893,11,19.165476568838642,29.17163728584513
root,0.0,31,noun,0.0,0,post_block,0.5785878780088884,0.8449722504641328,tiny-w32-l2-h2,4,12,False,5.813832048112499,3.0387466052254593,11,34.227862654621646,40.04169470273415
parent,31.648710547833716,11,noun,1.6942630501381122,0,post_block,0.31718337709058697,1.1842162392751088,tiny-w32-l2-h2,2,6,True,8.849733572116442,2.3615295718690548,11,9.83019369493562,18.67992726705206
parent,31.648710547833716,14,noun,1.042325538902501,0,post_block,0.37816614753165406,1.6544958270753638,tiny-w32-l2-h2,2,6,True,11.596044524998709,1.5854879758901692,11,18.767512124642334,30.36355664964104
root,0.0,10,noun,0.0,0,post_block,0.5195954069590214,1.2900887639205652,tiny-w32-l2-h2,4,12,True,7.557620725188945,3.144910607871652,11,23.946528695888144,31.504149421077088
parent,28.191449085203175,46,relation,1.1661673159117971,0,post_block,0.35748149148997704,2.1265041231707715,tiny-w32-l2-h2,2,6,False,8.798084175169254,1.9312586313543438,11,15.376362064700693,24.174446239869948
parent,28.191449085203175,49,relation,0.8023927315974321,0,post_block,0.31237615807874203,0.09165561260001066,tiny-w32-l2-h2,2,6,False,3.7443602972247203,1.227463339324119,11,31.389867587764506,35.13422788498923
root,0.0,45,relation,0.0,0,post_block,0.5238662404008103,1.2067759896701042,tiny-w32-l2-h2,4,12,False,3.811931092797473,2.8948673235914346,11,29.33803349283989,33.14996458563736
parent,29.14520199195516,25,relation,1.1417511668678029,0,post_block,0.3721797769730378,0.564553846464608,tiny-w32-l2-h2,2,6,True,5.920065739203978,1.589036547879225,11,19.60668898434055,25.526754723544528
parent,29.14520199195516,28,relation,1.0551760588549317,0,post_block,0.38458439299610464,0.9817617323350979,tiny-w32-l2-h2,2,6,True,8.957959701000288,1.7331557942727893,11,18.663214744128133,27.62117444512842
root,0.0,24,relation,0.0,0,post_block,0.5448694687877486,0.9678995310814086,tiny-w32-l2-h2,4,12,True,5.611649587992018,3.295332428237187,11,29.270352102999865,34.882001690991885
parent,43.925320511560074,39,action,2.798104247175546,0,post_sa,0.3098161951948348,0.2626061658780809,tiny-w32-l2-h2,2,6,False,3.846229900395319,1.6379562043375648,11,11.852013135366853,15.698243035762172
parent,43.925320511560074,42,action,2.2631987536553364,0,post_sa,0.33889583398260364,0.9079979124860306,tiny-w32-l2-h2,2,6,False,2.0339479633409128,1.2221668403818897,11,17.37456418815061,19.408512151491525
root,0.0,38,action,0.0,0,post_sa,0.5504325912736098,0.4302854168774843,tiny-w32-l2-h2,4,12,False,3.067098389636674,2.7987858957844027,11,26.408395888679483,29.475494278316155
parent,27.843616636084164,18,action,1.3792669061205838,0,post_sa,0.3264426148525907,1.296629087975922,tiny-w32-l2-h2,2,6,True,2.9024129353690773,1.313651962341758,11,17.28484488436571,20.18725781973479
parent,27.843616636084164,21,action,1.2580607620583815,0,post_sa,0.3614362588216918,1.2130629494231253,tiny-w32-l2-h2,2,6,True,3.5582189370248773,1.3836906453051734,11,18.57395263672941,22.132171573754285
root,0.0,17,action,0.0,0,post_sa,0.4608866820329827,1.3599811585987427,tiny-w32-l2-h2,4,12,True,3.1665646711754922,3.48290773348671,11,23.160415807578765,26.32698047875426
parent,53.21821930202723,32,noun,3.9655416386095124,0,post_sa,0.3165375727582146,0.44151574539687494,tiny-w32-l2-h2,2,6,False,1.2064929629483068,1.1949026946572572,11,12.213671078170627,13.420164041118934
parent,53.21821930202723,35,noun,2.07457241284231,0,post_sa,0.38191566060989857,0.5365702220411447,tiny-w32-l2-h2,2,6,False,6.8632048752085275,1.5327524562653676,11,18.78941586369088,25.652620738899408
root,0.0,31,noun,0.0,0,post_sa,0.5751101145768137,0.4203897352044152,tiny-w32-l2-h2,4,12,False,3.8876312224927023,3.0529914634123467,11,29.68971398896524,33.577345211457946
parent,31.50820299487403,11,noun,1.9218411824945034,0,post_sa,0.30107489037175184,1.571521263225167,tiny-w32-l2-h2,2,6,True,5.426199346052463,1.9204880732220098,11,10.968601265919617,16.39480061197208
parent,31.50820299487403,14,noun,1.5504092337108444,0,post_sa,0.35925340308145204,0.5674681066308744,tiny-w32-l2-h2,2,6,True,5.465300332444237,1.5710847728826713,11,14.857206983550242,20.32250731599448
root,0.0,10,noun,0.0,0,post_sa,0.5276580058981722,0.9128986938027124,tiny-w32-l2-h2,4,12,True,4.017611461765371,3.400938513125964,11,21.742328508072465,25.759939969837838
parent,25.991757258473676,46,relation,1.510949235972337,0,post_sa,0.3234657082897012,0.5801516350860508,tiny-w32-l2-h2,2,6,False,5.743455193171371,1.9264687633082753,11,11.458815167518324,17.202270360689695
parent,25.991757258473676,49,relation,0.8104262884872778,0,post_sa,0.3112885716177824,0.003310325880849705,tiny-w32-l2-h2,2,6,False,2.6745279492047858,1.1837119422500169,11,29.397182492209037,32.07171044141382
