boundary,category_id,entity_id,example_id,label_mode,model_seed,ontology_family,output_entropy,parent_id,position_mode,query_level,residual,root_id,target_margin,target_probability,target_rank,template_id,top1_correct
0,cat-244,test-leaf-100,test:b2-d2-i8:natural:parent:t0:paligned:0,natural,11,b2-d2-i8,2.467729132149543e-08,parent-244,aligned,parent,0.015735:0.802769:0.929415:0.925624:-0.496062:-0.0745925:2.19456:-2.22389:2.01316:-4.58315:-0.660946:-0.711922:1.4621:-2.33464:0.585835:1.15839:-2.04551:0.238035:-0.555551:0.656338:0.959591:0.295723:-1.44384:-1.27203:0.218656:0.226612:1.07307:-0.724848:2.53543:-0.218093:0.384795:-2.41811:-0.487424:-0.147745:-0.320754:0.0430316:-0.350703:-1.26298:-2.41063:-0.671432:-2.93575:-1.97868:1.32588:1.04404:-1.29803:0.915923:-1.33614:1.2395:-0.96979:0.307648:-0.639852:1.80736:0.766594:0.798958:-0.769002:0.432883:-0.42634:2.31195:0.627956:0.563926:-0.700019:1.39524:1.19533:-0.285427,root-260,-41.3493766784668,1.1020302928302833e-18,208,0,0
0,cat-244,test-leaf-116,test:b2-d2-i8:natural:parent:t0:paligned:16,natural,11,b2-d2-i8,7.474072390323272e-06,parent-244,aligned,parent,1.59369:0.709846:-2.0031:1.64082:-1.07276:-1.19456:1.02218:-2.59868:-0.191725:-3.01517:-2.07984:-0.644074:1.33264:-1.6154:-0.880218:1.1744:-2.14665:0.615794:-0.141745:0.0352687:0.514161:-1.85185:-1.1214:-1.42538:-2.69024:-1.42685:1.43798:-0.767454:1.60459:-0.614141:-2.33293:-1.5495:-0.610783:-0.196155:-0.670795:1.25511:-0.831634:-0.153864:0.956761:0.579119:-0.900845:-1.23643:-0.160073:1.39006:-2.19064:1.67141:0.678002:1.15664:0.341762:2.66498:-0.713936:-1.54899:0.977924:1.73469:-1.44771:1.79724:-1.31166:0.503766:2.5252:-0.183766:-0.0445823:1.32746:-1.60104:-1.16525,root-260,-43.38096618652344,1.4450603609466163e-19,237,0,0
0,cat-244,test-leaf-100,test:b2-d2-i8:natural:parent:t0:prandomized:0,natural,11,b2-d2-i8,2.467729132149543e-08,parent-244,randomized,parent,0.015735:0.802769:0.929415:0.925624:-0.496062:-0.0745925:2.19456:-2.22389:2.01316:-4.58315:-0.660946:-0.711922:1.4621:-2.33464:0.585835:1.15839:-2.04551:0.238035:-0.555551:0.656338:0.959591:0.295723:-1.44384:-1.27203:0.218656:0.226612:1.07307:-0.724848:2.53543:-0.218093:0.384795:-2.41811:-0.487424:-0.147745:-0.320754:0.0430316:-0.350703:-1.26298:-2.41063:-0.671432:-2.93575:-1.97868:1.32588:1.04404:-1.29803:0.915923:-1.33614:1.2395:-0.96979:0.307648:-0.639852:1.80736:0.766594:0.798958:-0.769002:0.432883:-0.42634:2.31195:0.627956:0.563926:-0.700019:1.39524:1.19533:-0.285427,root-260,-41.3493766784668,1.1020302928302833e-18,208,0,0
0,cat-244,test-leaf-116,test:b2-d2-i8:natural:parent:t0:prandomized:16,natural,11,b2-d2-i8,7.474072390323272e-06,parent-244,randomized,parent,1.59369:0.709846:-2.0031:1.64082:-1.07276:-1.19456:1.02218:-2.59868:-0.191725:-3.01517:-2.07984:-0.644074:1.33264:-1.6154:-0.880218:1.1744:-2.14665:0.615794:-0.141745:0.0352687:0.514161:-1.85185:-1.1214:-1.42538:-2.69024:-1.42685:1.43798:-0.767454:1.60459:-0.614141:-2.33293:-1.5495:-0.610783:-0.196155:-0.670795:1.25511:-0.831634:-0.153864:0.956761:0.579119:-0.900845:-1.23643:-0.160073:1.39006:-2.19064:1.67141:0.678002:1.15664:0.341762:2.66498:-0.713936:-1.54899:0.977924:1.73469:-1.44771:1.79724:-1.31166:0.503766:2.5252:-0.183766:-0.0445823:1.32746:-1.60104:-1.16525,root-260,-43.38096618652344,1.4450603609466163e-19,237,0,0
0,cat-244,test-leaf-100,test:b2-d2-i8:natural:parent:t1:paligned:0,natural,11,b2-d2-i8,2.467729132149543e-08,parent-244,aligned,parent,0.015735:0.802769:0.929415:0.925624:-0.496062:-0.0745925:2.19456:-2.22389:2.01316:-4.58315:-0.660946:-0.711922:1.4621:-2.33464:0.585835:1.15839:-2.04551:0.238035:-0.555551:0.656338:0.959591:0.295723:-1.44384:-1.27203:0.218656:0.226612:1.07307:-0.724848:2.53543:-0.218093:0.384795:-2.41811:-0.487424:-0.147745:-0.320754:0.0430316:-0.350703:-1.26298:-2.41063:-0.671432:-2.93575:-1.97868:1.32588:1.04404:-1.29803:0.915923:-1.33614:1.2395:-0.96979:0.307648:-0.639852:1.80736:0.766594:0.798958:-0.769002:0.432883:-0.42634:2.31195:0.627956:0.563926:-0.700019:1.39524:1.19533:-0.285427,root-260,-41.3493766784668,1.1020302928302833e-18,208,1,0
0,cat-244,test-leaf-116,test:b2-d2-i8:natural:parent:t1:paligned:16,natural,11,b2-d2-i8,7.474072390323272e-06,parent-244,aligned,parent,1.59369:0.709846:-2.0031:1.64082:-1.07276:-1.19456:1.02218:-2.59868:-0.191725:-3.01517:-2.07984:-0.644074:1.33264:-1.6154:-0.880218:1.1744:-2.14665:0.615794:-0.141745:0.0352687:0.514161:-1.85185:-1.1214:-1.42538:-2.69024:-1.42685:1.43798:-0.767454:1.60459:-0.614141:-2.33293:-1.5495:-0.610783:-0.196155:-0.670795:1.25511:-0.831634:-0.153864:0.956761:0.579119:-0.900845:-1.23643:-0.160073:1.39006:-2.19064:1.67141:0.678002:1.15664:0.341762:2.66498:-0.713936:-1.54899:0.977924:1.73469:-1.44771:1.79724:-1.31166:0.503766:2.5252:-0.183766:-0.0445823:1.32746:-1.60104:-1.16525,root-260,-43.38096618652344,1.4450603609466163e-19,237,1,0
0,cat-244,test-leaf-100,test:b2-d2-i8:natural:parent:t1:prandomized:0,natural,11,b2-d2-i8,2.467729132149543e-08,parent-244,randomized,parent,0.015735:0.802769:0.929415:0.925624:-0.496062:-0.0745925:2.19456:-2.22389:2.01316:-4.58315:-0.660946:-0.711922:1.4621:-2.33464:0.585835:1.15839:-2.04551:0.238035:-0.555551:0.656338:0.959591:0.295723:-1.44384:-1.27203:0.218656:0.226612:1.07307:-0.724848:2.53543:-0.218093:0.384795:-2.41811:-0.487424:-0.147745:-0.320754:0.0430316:-0.350703:-1.26298:-2.41063:-0.671432:-2.93575:-1.97868:1.32588:1.04404:-1.29803:0.915923:-1.33614:1.2395:-0.96979:0.307648:-0.639852:1.80736:0.766594:0.798958:-0.769002:0.432883:-0.42634:2.31195:0.627956:0.563926:-0.700019:1.39524:1.19533:-0.285427,root-260,-41.3493766784668,1.1020302928302833e-18,208,1,0
0,cat-244,test-leaf-116,test:b2-d2-i8:natural:parent:t1:prandomized:16,natural,11,b2-d2-i8,7.474072390323272e-06,parent-244,randomized,parent,1.59369:0.709846:-2.0031:1.64082:-1.07276:-1.19456:1.02218:-2.59868:-0.191725:-3.01517:-2.07984:-0.644074:1.33264:-1.6154:-0.880218:1.1744:-2.14665:0.615794:-0.141745:0.0352687:0.514161:-1.85185:-1.1214:-1.42538:-2.69024:-1.42685:1.43798:-0.767454:1.60459:-0.614141:-2.33293:-1.5495:-0.610783:-0.196155:-0.670795:1.25511:-0.831634:-0.153864:0.956761:0.579119:-0.900845:-1.23643:-0.160073:1.39006:-2.19064:1.67141:0.678002:1.15664:0.341762:2.66498:-0.713936:-1.54899:0.977924:1.73469:-1.44771:1.79724:-1.31166:0.503766:2.5252:-0.183766:-0.0445823:1.32746:-1.60104:-1.16525,root-260,-43.38096618652344,1.4450603609466163e-19,237,1,0
0,cat-244,test-leaf-100,test:b2-d2-i8:natural:parent:t2:paligned:0,natural,11,b2-d2-i8,2.467729132149543e-08,parent-244,aligned,parent,0.015735:0.802769:0.929415:0.925624:-0.496062:-0.0745925:2.19456:-2.22389:2.01316:-4.58315:-0.660946:-0.711922:1.4621:-2.33464:0.585835:1.15839:-2.04551:0.238035:-0.555551:0.656338:0.959591:0.295723:-1.44384:-1.27203:0.218656:0.226612:1.07307:-0.724848:2.53543:-0.218093:0.384795:-2.41811:-0.487424:-0.147745:-0.320754:0.0430316:-0.350703:-1.26298:-2.41063:-0.671432:-2.93575:-1.97868:1.32588:1.04404:-1.29803:0.915923:-1.33614:1.2395:-0.96979:0.307648:-0.639852:1.80736:0.766594:0.798958:-0.769002:0.432883:-0.42634:2.31195:0.627956:0.563926:-0.700019:1.39524:1.19533:-0.285427,root-260,-41.3493766784668,1.1020302928302833e-18,208,2,0
0,cat-244,test-leaf-116,test:b2-d2-i8:natural:parent:t2:paligned:16,natural,11,b2-d2-i8,7.474072390323272e-06,parent-244,aligned,parent,1.59369:0.709846:-2.0031:1.64082:-1.07276:-1.19456:1.02218:-2.59868:-0.191725:-3.01517:-2.07984:-0.644074:1.33264:-1.6154:-0.880218:1.1744:-2.14665:0.615794:-0.141745:0.0352687:0.514161:-1.85185:-1.1214:-1.42538:-2.69024:-1.42685:1.43798:-0.767454:1.60459:-0.614141:-2.33293:-1.5495:-0.610783:-0.196155:-0.670795:1.25511:-0.831634:-0.153864:0.956761:0.579119:-0.900845:-1.23643:-0.160073:1.39006:-2.19064:1.67141:0.678002:1.15664:0.341762:2.66498:-0.713936:-1.54899:0.977924:1.73469:-1.44771:1.79724:-1.31166:0.503766:2.5252:-0.183766:-0.0445823:1.32746:-1.60104:-1.16525,root-260,-43.38096618652344,1.4450603609466163e-19,237,2,0
