class_id,entity_id,example_id,feature_bits,label_mode,model_seed,output_entropy,position_mode,predictive_order,stage,target_margin,target_probability,template_id,top1_correct
level1-0,test-entity-100,test:l1:t0:paligned:c0:i0,000000,arbitrary,11,9.835165656113531e-06,aligned,1,s3,14.25178337097168,0.9999994039535522,0,1
level1-1,test-entity-101,test:l1:t0:paligned:c5:i1,101000,arbitrary,11,2.407356021194573e-07,aligned,1,s3,18.1427059173584,1.0,0,1
level1-0,test-entity-102,test:l1:t0:paligned:c10:i2,010100,arbitrary,11,0.00041786086512729526,aligned,1,s3,10.196203231811523,0.9999626874923706,0,1
level1-1,test-entity-103,test:l1:t0:paligned:c15:i3,111100,arbitrary,11,1.6332332153368156e-09,aligned,1,s3,23.44635772705078,1.0,0,1
level1-0,test-entity-104,test:l1:t0:paligned:c20:i4,001010,arbitrary,11,0.00042443518759682775,aligned,1,s3,10.178909301757812,0.9999620914459229,0,1
level1-1,test-entity-105,test:l1:t0:paligned:c25:i5,100110,arbitrary,11,3.217341145500541e-05,aligned,1,s3,12.981010437011719,0.9999977350234985,0,1
level1-0,test-entity-106,test:l1:t0:paligned:c30:i6,011110,arbitrary,11,0.0008957231184467673,aligned,1,s3,9.355413436889648,0.9999134540557861,0,1
level1-1,test-entity-107,test:l1:t0:paligned:c35:i7,110001,arbitrary,11,0.0003719785891007632,aligned,1,s3,10.326883316040039,0.9999672174453735,0,1
level1-0,test-entity-108,test:l1:t0:paligned:c40:i8,000101,arbitrary,11,0.0020611868239939213,aligned,1,s3,8.484453201293945,0.9997861981391907,0,1
level1-1,test-entity-109,test:l1:t0:paligned:c45:i9,101101,arbitrary,11,3.1260340165317757e-06,aligned,1,s3,15.520574569702148,0.9999997615814209,0,1
level1-0,test-entity-110,test:l1:t0:paligned:c50:i10,010011,arbitrary,11,0.00022986967815086246,aligned,1,s3,10.883970260620117,0.9999808073043823,0,1
level1-1,test-entity-111,test:l1:t0:paligned:c55:i11,111011,arbitrary,11,2.3945099201228004e-06,aligned,1,s3,15.772266387939453,0.9999998807907104,0,1
level1-0,test-entity-112,test:l1:t0:paligned:c60:i12,001111,arbitrary,11,0.0021344509441405535,aligned,1,s3,8.392742156982422,0.9997730851173401,0,1
level1-0,test-entity-113,test:l1:t0:paligned:c0:i13,000000,arbitrary,11,6.443028723879252e-06,aligned,1,s3,14.699260711669922,0.9999996423721313,0,1
level1-1,test-entity-114,test:l1:t0:paligned:c5:i14,101000,arbitrary,11,9.435635384136276e-09,aligned,1,s3,21.60285758972168,1.0,0,1
level1-0,test-entity-115,test:l1:t0:paligned:c10:i15,010100,arbitrary,11,0.0005983106675557792,aligned,1,s3,9.801111221313477,0.9999445676803589,0,1
level1-1,test-entity-116,test:l1:t0:paligned:c15:i16,111100,arbitrary,11,2.5805320547078736e-08,aligned,1,s3,20.507843017578125,1.0,0,1
level1-0,test-entity-117,test:l1:t0:paligned:c20:i17,001010,arbitrary,11,0.0001384332572342828,aligned,1,s3,11.403562545776367,0.9999887943267822,0,1
level1-1,test-entity-118,test:l1:t0:paligned:c25:i18,100110,arbitrary,11,7.4648819463618565e-06,aligned,1,s3,14.54916763305664,0.9999995231628418,0,1
level1-0,test-entity-119,test:l1:t0:paligned:c30:i19,011110,arbitrary,11,0.0010559351649135351,aligned,1,s3,9.17304801940918,0.9998961687088013,0,1
level1-1,test-entity-120,test:l1:t0:paligned:c35:i20,110001,arbitrary,11,3.2827349059516564e-05,aligned,1,s3,12.978618621826172,0.9999977350234985,0,1
level1-0,test-entity-121,test:l1:t0:paligned:c40:i21,000101,arbitrary,11,0.0021175916772335768,aligned,1,s3,8.415355682373047,0.9997765421867371,0,1
level1-1,test-entity-122,test:l1:t0:paligned:c45:i22,101101,arbitrary,11,2.024389459620579e-06,aligned,1,s3,15.945755004882812,0.9999998807907104,0,1
