boundary,cross_class_update_similarity,interpretation_status,model_seed,predictive_order,same_class_update_similarity,stage
1,0.7827354315627016,eligible,11,1,0.9623994653902502,s1
2,0.55411938563868,eligible,11,1,0.8052768627812842,s1
3,0.16345322994131642,eligible,11,1,0.8973398989164707,s1
4,0.40707909539049325,eligible,11,1,0.8878498307337644,s1
5,0.2088352736030936,eligible,11,1,0.8665088243035106,s1
6,0.5163078612183888,eligible,11,1,0.9143799869992657,s1
7,0.14004157762390038,eligible,11,1,0.8424251264174416,s1
8,0.4796325051624706,eligible,11,1,0.9230662810228359,s1
9,0.4767684526466343,eligible,11,1,0.913696766093778,s1
10,0.4953373770328488,eligible,11,1,0.9163999979777673,s1
11,0.47025534790253515,eligible,11,1,0.9229112901531455,s1
12,0.47474420281920787,eligible,11,1,0.9219337548376335,s1
1,0.6567981382154348,eligible,11,2,0.9324202535375533,s1
2,0.4891640807405003,eligible,11,2,0.6977595111864412,s1
3,0.08730791600069054,eligible,11,2,0.8790066419726842,s1
4,0.39498508927335774,eligible,11,2,0.8446711068362585,s1
5,0.6564357767099029,eligible,11,2,0.9193574402339041,s1
6,0.5404463564063028,eligible,11,2,0.8808917792328543,s1
7,0.3822846476892912,eligible,11,2,0.906256050416472,s1
8,0.5252555651974777,eligible,11,2,0.8778101017834194,s1
9,0.9039242563075085,eligible,11,2,0.9619911495639902,s1
10,0.7664490118311579,eligible,11,2,0.9430069486389893,s1
11,0.620988152539932,eligible,11,2,0.922699250790036,s1
12,0.8613774520988285,eligible,11,2,0.9682200067008842,s1
1,0.49521340916328,eligible,11,3,0.9065675752699305,s1
2,0.8127124209369405,eligible,11,3,0.9268174018474291,s1
3,0.5880714344757603,eligible,11,3,0.934446200056021,s1
4,0.7982716863285833,eligible,11,3,0.9704793194351485,s1
5,0.5514695918604129,eligible,11,3,0.9281511238206105,s1
6,0.6826739509335263,eligible,11,3,0.9525213100225156,s1
7,0.36419508850973115,eligible,11,3,0.8470380949869472,s1
8,0.7688506772308539,eligible,11,3,0.9608958824067118,s1
9,0.5483754879542146,eligible,11,3,0.9239076417998958,s1
10,0.8127730920469897,eligible,11,3,0.9715406510080216,s1
11,0.7445675934713749,eligible,11,3,0.9043031212951916,s1
12,0.6480888209011672,eligible,11,3,0.9458305910008831,s1
1,0.3506822794788331,eligible,23,1,0.9006237907618923,s1
2,0.4351579244397463,eligible,23,1,0.7841309056642759,s1
3,0.216702468035073,eligible,23,1,0.8719720250265948,s1
4,0.5784400997464989,eligible,23,1,0.897336782348069,s1
5,0.3876192815699888,eligible,23,1,0.9056697644987082,s1
6,0.654077814117345,eligible,23,1,0.9067755511001426,s1
7,0.26366372747793576,eligible,23,1,0.8619754155173025,s1
8,0.6379199680563752,eligible,23,1,0.92210612098113,s1
9,0.8680817991412823,eligible,23,1,0.9617691307560194,s1
10,0.6206239886716758,eligible,23,1,0.9151219961333044,s1
11,0.3602685217517221,eligible,23,1,0.9058838751461296,s1
12,0.6338356881776227,eligible,23,1,0.9404092093847937,s1
1,0.27603659856289836,eligible,23,2,0.8174461745205567,s1
2,0.5507595083582163,eligible,23,2,0.7328730095006355,s1
3,0.20939946710423107,eligible,23,2,0.804578977879266,s1
4,0.541342468799739,eligible,23,2,0.8063641785245098,s1
5,0.906113728801512,eligible,23,2,0.9775406318178408,s1
6,0.7232237627711107,eligible,23,2,0.9210017774589426,s1
7,0.4203633805721761,eligible,23,2,0.874179308129514,s1
8,0.6424113194537052,eligible,23,2,0.9044347173023168,s1
9,0.9117446309249343,eligible,23,2,0.977077742018987,s1
10,0.6334258322311167,eligible,23,2,0.932011311886976,s1
11,0.6092365543673285,eligible,23,2,0.9144629314723576,s1
12,0.6816905611098387,eligible,23,2,0.8933721596768746,s1
1,-0.039386299993738,eligible,23,3,0.8536519405196433,s1
2,0.1811146845629654,eligible,23,3,0.7818849935637546,s1
3,0.9674002544829536,eligible,23,3,0.9915165439654543,s1
4,0.48352943579262725,eligible,23,3,0.8797435039141184,s1
5,0.35210437129318606,eligible,23,3,0.8665881506921209,s1
6,0.4820395684585486,eligible,23,3,0.9335944160995805,s1
7,0.48272846302728023,eligible,23,3,0.9229888412836491,s1
8,0.5703253819722788,eligible,23,3,0.9172783769538266,s1
9,0.676010273799049,eligible,23,3,0.9054162064537257,s1
10,0.6874231289598554,eligible,23,3,0.9299292466091515,s1
11,0.6872312540161917,eligible,23,3,0.932183769786166,s1
12,0.7235877274138425,eligible,23,3,0.911078278854543,s1
1,0.20015154867292376,blocked_by_competence,11,4,0.590478675188852,s2
2,0.6698088472278846,blocked_by_competence,11,4,0.3613918103410526,s2
3,0.6536616323817652,blocked_by_competence,11,4,0.941902195008276,s2
4,-0.03924812666612752,blocked_by_competence,11,4,0.7312434972562627,s2
5,-0.08617331450155051,blocked_by_competence,11,4,0.9824310496971029,s2
6,0.308322401005778,blocked_by_competence,11,4,0.8247117114533892,s2
7,0.9893732971286922,blocked_by_competence,11,4,0.9969237619252533,s2
8,0.8132734058520518,blocked_by_competence,11,4,0.945115156118169,s2
9,0.9952560585741215,blocked_by_competence,11,4,0.9979083511122507,s2
10,0.9337863488137023,blocked_by_competence,11,4,0.9807925845124172,s2
11,0.9986170054847534,blocked_by_competence,11,4,0.9997001053794307,s2
12,0.9553880203161343,blocked_by_competence,11,4,0.9878573054437849,s2
1,-0.7650096404887735,blocked_by_competence,23,4,0.8701168055791281,s2
2,-0.7040944095293711,blocked_by_competence,23,4,0.7597100084622204,s2
3,0.9780800245915475,blocked_by_competence,23,4,0.9722819511434366,s2
4,-0.41219282366158033,blocked_by_competence,23,4,0.8281784988807123,s2
5,0.9208740310746084,blocked_by_competence,23,4,0.9742163896981515,s2
6,0.4848704639603329,blocked_by_competence,23,4,0.9355476492964253,s2
7,0.9634929532776458,blocked_by_competence,23,4,0.9545910937417739,s2
8,0.8363103331116116,blocked_by_competence,23,4,0.9761466320805756,s2
9,0.9974818472268147,blocked_by_competence,23,4,0.9977266601313886,s2
10,0.9472334321061151,blocked_by_competence,23,4,0.9938213121325735,s2
11,0.9993990901397913,blocked_by_competence,23,4,0.9995333871260197,s2
12,0.9699265460414893,blocked_by_competence,23,4,0.9963925175576078,s2
1,0.9999391139328928,eligible,11,1,0.9918602114723375,s3
2,0.9795117567943277,eligible,11,1,0.9715092373946101,s3
3,0.32524031236968837,eligible,11,1,0.9196206882192671,s3
4,0.981485928658861,eligible,11,1,0.9893881424651741,s3
5,0.7805454595880986,eligible,11,1,0.6726701821921439,s3
