example_id,layer,model_depth,model_seed,off_path_mass,path_attention_mass,preferred_hop,preferred_mass,required_path,total_depth
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,6,11,0.5044641856750376,0.49553581432496246,3,0.24996399879455566,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,6,11,0.7034492208622396,0.2965507791377604,3,0.10708077996969223,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,6,11,0.5720041114836931,0.4279958885163069,6,0.22748446464538574,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,6,11,0.570612583309412,0.429387416690588,4,0.06780435889959335,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,4,6,11,0.6390095613896847,0.3609904386103153,3,0.06954751908779144,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,5,6,11,0.5603063628077507,0.4396936371922493,5,0.05391170084476471,1,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,6,11,0.6823619889349408,0.3176380110650592,1,0.2396322637796402,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,6,11,0.5457725287997164,0.4542274712002836,1,0.30227842926979065,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,6,11,0.47851939499378204,0.521480605006218,6,0.2173386812210083,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,6,11,0.5016069002449512,0.49839309975504875,1,0.08834334462881088,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,4,6,11,0.6430564597249031,0.3569435402750969,1,0.06068064644932747,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,5,6,11,0.5862924605607986,0.41370753943920135,7,0.05811069533228874,8,8
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,6,11,0.5012510503222671,0.49874894967773287,7,0.23878373205661774,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,6,11,0.32223317520768546,0.6777668247923145,3,0.3945002853870392,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,6,11,0.4056340353563428,0.5943659646436572,4,0.22021113336086273,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,6,11,0.37953334487974644,0.6204666551202536,5,0.0948341116309166,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,4,6,11,0.5130786802619696,0.48692131973803043,4,0.093854621052742,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,5,6,11,0.45365865901112556,0.5463413409888744,12,0.054381437599658966,8,12
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,6,11,0.2960423647020889,0.7039576352979111,9,0.209859699010849,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,6,11,0.6529778929689201,0.34702210703107994,16,0.27976787090301514,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,6,11,0.6494405578123406,0.35055944218765944,15,0.09289346635341644,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,6,11,0.5757573284208775,0.42424267157912254,0,0.06108146905899048,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,4,6,11,0.2296338565647602,0.7703661434352398,15,0.062183890491724014,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,5,6,11,0.39777463115751743,0.6022253688424826,15,0.04264741763472557,6,16
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,6,11,0.49153740487942343,0.5084625951205766,16,0.1935299187898636,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,6,11,0.50858829380104,0.49141170619896,12,0.18518532812595367,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,6,11,0.5286509413272142,0.47134905867278576,6,0.14344440400600433,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,6,11,0.33839717973023653,0.6616028202697635,6,0.08823899924755096,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,4,6,11,0.2558376146480441,0.7441623853519559,6,0.06066901236772537,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,5,6,11,0.2905238475650549,0.7094761524349451,7,0.03445053845643997,4,24
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,6,11,0.5025869578479387,0.4974130421520613,21,0.20667722821235657,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,6,11,0.5069339498744512,0.4930660501255488,2,0.3186689019203186,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,6,11,0.30009114916902035,0.6999088508309796,3,0.14215253293514252,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,6,11,0.30999508779495955,0.6900049122050405,1,0.06007971987128258,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,4,6,11,0.4060182701796293,0.5939817298203707,7,0.04483896493911743,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,5,6,11,0.25070473551750183,0.7492952644824982,2,0.034926898777484894,3,32
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,6,11,0.5006213500040495,0.4993786499959505,4,0.24995508790016174,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,6,11,0.7561106611974537,0.24388933880254626,3,0.10916965454816818,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,6,11,0.369610033929348,0.630389966070652,1,0.14843004941940308,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,6,11,0.5533876046538353,0.4466123953461647,4,0.07225681096315384,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,4,6,11,0.7293487787246704,0.2706512212753296,0,0.04749234393239021,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,5,6,11,0.5552675612270832,0.4447324387729168,3,0.06803371012210846,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0,6,11,0.8935776695143431,0.10642233048565686,7,0.041324321180582047,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,1,6,11,0.7482847471983405,0.2517152528016595,2,0.2418893575668335,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,2,6,11,0.8458558097481728,0.15414419025182724,3,0.09112817049026489,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,3,6,11,0.8698352128267288,0.13016478717327118,8,0.026235811412334442,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,4,6,11,0.842469185590744,0.15753081440925598,8,0.026320070028305054,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,5,6,11,0.8723638821393251,0.12763611786067486,2,0.016801320016384125,3,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,4,23,0.9272630733612459,0.07273692663875408,4,0.026584893465042114,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,4,23,0.7600033986382186,0.23999660136178136,6,0.10730566084384918,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,4,23,0.7000893577933311,0.29991064220666885,0,0.05604163557291031,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,4,23,0.6996657885611057,0.30033421143889427,0,0.0612640380859375,1,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,4,23,0.5672582095667451,0.4327417904332549,8,0.2492164820432663,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,4,23,0.8628037059679627,0.13719629403203726,0,0.038627054542303085,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,4,23,0.6608758792281151,0.3391241207718849,2,0.055557236075401306,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,4,23,0.685328396037221,0.31467160396277905,0,0.12548518180847168,8,8
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,0,4,23,0.5317663709893168,0.4682336290106832,12,0.24034708738327026,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1,4,23,0.8097907844930887,0.19020921550691128,11,0.044408734887838364,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2,4,23,0.3314618431031704,0.6685381568968296,1,0.16547101736068726,8,12
test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3,4,23,0.7084870999678969,0.29151290003210306,0,0.038996078073978424,8,12
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0,4,23,0.6752818341024702,0.3247181658975298,13,0.09535961598157883,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,1,4,23,0.7742493273399305,0.22575067266006954,16,0.10731752216815948,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,2,4,23,0.3500440935604274,0.6499559064395726,4,0.08896870911121368,6,16
test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,3,4,23,0.556473565287888,0.44352643471211195,0,0.10585958510637283,6,16
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,0,4,23,0.5361981195338785,0.4638018804661215,14,0.22003477811813354,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,1,4,23,0.7798685322050005,0.22013146779499948,6,0.0402672216296196,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,2,4,23,0.2890438393224031,0.7109561606775969,4,0.1817421019077301,4,24
test:isAncestor:D24:d4:b2:N4:t1:paligned:tree307:i1,3,4,23,0.5516038797795773,0.44839612022042274,0,0.034238118678331375,4,24
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,0,4,23,0.5255135764018632,0.47448642359813675,7,0.22792868316173553,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,1,4,23,0.5092224038671702,0.4907775961328298,31,0.11897698044776917,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,2,4,23,0.5417759772390127,0.4582240227609873,0,0.06591084599494934,3,32
test:isAncestor:D32:d3:b2:N4:t2:paligned:tree211:i2,3,4,23,0.5289691761136055,0.4710308238863945,1,0.03354719281196594,3,32
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,0,4,23,0.4990531749699585,0.5009468250300415,8,0.24983954429626465,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,1,4,23,0.4331672745756805,0.5668327254243195,4,0.2443571239709854,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,2,4,23,0.7407456915825605,0.25925430841743946,0,0.04418746381998062,3,8
test:isAncestor:D8:d3:b2:N4:t2:paligned:tree101:i10002,3,4,23,0.7770603485405445,0.2229396514594555,0,0.0547979474067688,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,0,4,23,0.7995601765578613,0.20043982344213873,3,0.1495598703622818,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,1,4,23,0.7484990397351794,0.2515009602648206,8,0.15987439453601837,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,2,4,23,0.5602264269255102,0.43977357307448983,8,0.17021708190441132,3,8
test:isAncestor:D8:d3:b2:N64:t3:paligned:tree307:i20003,3,4,23,0.9657397732371464,0.03426022676285356,0,0.009025147184729576,3,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0,6,37,0.6277217078022659,0.3722782921977341,7,0.18863332271575928,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1,6,37,0.935583245513044,0.06441675448695605,1,0.022853614762425423,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2,6,37,0.9535191373433918,0.046480862656608224,8,0.016440952196717262,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3,6,37,0.6348873535171151,0.3651126464828849,6,0.058671366423368454,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,4,6,37,0.6475758347660303,0.3524241652339697,6,0.055571042001247406,1,8
test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,5,6,37,0.756078889593482,0.24392111040651798,7,0.03414349630475044,1,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0,6,37,0.4370329165212752,0.5629670834787248,1,0.25711390376091003,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1,6,37,0.8849405935798131,0.11505940642018686,0,0.11300554871559143,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2,6,37,0.6192954115904286,0.38070458840957144,0,0.3666146397590637,8,8
test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,3,6,37,0.6557229636237025,0.3442770363762975,1,0.09235474467277527,8,8
