accuracy_delta,baseline_correct,changed_correct,condition,example_id,js_damage,margin_delta,model_depth,model_seed,required_path,total_depth
0,1,1,parent,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.7344143543596147e-07,0.17309093475341797,6,11,1,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.7344143543596147e-07,0.17309093475341797,6,11,1,8
0,1,1,root,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,7.116472033885657e-08,0.11987781524658203,6,11,1,8
0,1,1,off_path_distractors,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,5.060371677245712e-09,-0.009987831115722656,6,11,1,8
0,1,1,sibling_branch,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,1.2544489891297417e-09,-0.004117012023925781,6,11,1,8
0,1,1,parent,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.0953956461889902e-06,0.6459255218505859,6,11,8,8
0,1,1,intermediate_candidate,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.0127632776857354e-07,-0.12498760223388672,6,11,8,8
0,1,1,root,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.0127632776857354e-07,-0.12498760223388672,6,11,8,8
0,1,1,off_path_distractors,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,9.47892431213404e-10,-0.0014009475708007812,6,11,8,8
0,1,1,sibling_branch,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2.0392576516314875e-11,0.0026483535766601562,6,11,8,8
0,1,1,parent,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,3.7019401588622713e-07,-0.39345455169677734,6,11,8,12
0,1,1,intermediate_candidate,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,9.468003270285408e-09,-0.08458805084228516,6,11,8,12
0,1,1,root,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,1.3756000782905176e-09,-0.027899742126464844,6,11,8,12
0,1,1,off_path_distractors,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,2.7550139947152275e-09,-0.04044151306152344,6,11,8,12
0,1,1,sibling_branch,test:isAncestor:D12:d8:b2:N4:t0:paligned:tree211:i0,7.852172245748079e-10,-0.021719932556152344,6,11,8,12
0,1,1,parent,test:isAncestor:D16:d6:b2:N4:t1:paligned:tree101:i1,0.00012127423542551696,-0.08963203430175781,6,11,6,16
