accuracy_delta,component,example_id,js_damage,layer,margin_delta,mode,model_depth,model_seed,predicate,stage,status
-1,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0.64940345287323,0,-11.927340030670166,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,0.00010011482663685456,0,-1.4765625,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,6.638807008130243e-06,1,0.9490127563476562,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,4.042864020448178e-06,1,0.5420455932617188,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,8.34667298477143e-06,2,0.7906951904296875,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,6.146779469418107e-06,2,0.6086511611938477,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,8.443806109426077e-06,3,0.7421035766601562,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2.6061393327836413e-06,3,0.31423473358154297,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,8.108170732157305e-06,4,0.4376211166381836,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,2.3172722194431117e-06,4,0.2031850814819336,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,6.663316980848322e-06,5,0.4266347885131836,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d1:b2:N4:t0:paligned:tree101:i0,3.894238489010604e-06,5,0.34457874298095703,zero,6,11,isAncestor,s1,
-1,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,0.6805800795555115,0,-15.781921148300171,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,2.1855285012861714e-05,0,-2.4234437942504883,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,7.536250450357329e-07,1,0.6865301132202148,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.185678684123559e-06,1,1.2035694122314453,zero,6,11,isAncestor,s1,
0,sa,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.2789020047421218e-06,2,1.4641761779785156,zero,6,11,isAncestor,s1,
0,ff,test:isAncestor:D8:d8:b2:N4:t0:paligned:tree307:i0,1.1545778306754073e-06,2,1.2308683395385742,zero,6,11,isAncestor,s1,
