accuracy_delta,component,example_id,js_damage,layer,margin_delta,mode,model_seed,predictive_order
-1,sa,test:l1:t0:paligned:c0:i0,0.6798725128173828,0,-19.74858283996582,zero,11,1
0,ff,test:l1:t0:paligned:c0:i0,8.4649961706873e-08,0,1.4774055480957031,zero,11,1
0,sa,test:l1:t0:paligned:c0:i0,0.002363935112953186,1,-9.269250869750977,zero,11,1
0,ff,test:l1:t0:paligned:c0:i0,2.1140800221530753e-10,1,0.024019241333007812,zero,11,1
0,sa,test:l1:t0:paligned:c0:i0,3.521287908370141e-06,2,-3.0201377868652344,zero,11,1
0,ff,test:l1:t0:paligned:c0:i0,1.3363649742359485e-08,2,0.4548492431640625,zero,11,1
0,sa,test:l1:t0:paligned:c0:i0,1.2286849937481747e-07,3,2.0383052825927734,zero,11,1
0,ff,test:l1:t0:paligned:c0:i0,7.38704883929131e-08,3,1.331686019897461,zero,11,1
0,sa,test:l1:t0:paligned:c0:i0,3.37780221570938e-08,4,0.7850227355957031,zero,11,1
0,ff,test:l1:t0:paligned:c0:i0,1.7738479130002816e-08,4,0.5349826812744141,zero,11,1
0,sa,test:l1:t0:paligned:c0:i0,2.130538661049286e-07,5,5.035636901855469,zero,11,1
0,ff,test:l1:t0:paligned:c0:i0,4.168042266883276e-08,5,0.8982429504394531,zero,11,1
-1,sa,test:l1:t0:prandomized:c20:i4,0.6448091864585876,0,-14.818069458007812,zero,11,1
0,ff,test:l1:t0:prandomized:c20:i4,3.131412813672796e-05,0,-2.144977569580078,zero,11,1
0,sa,test:l1:t0:prandomized:c20:i4,0.019324705004692078,1,-8.05925178527832,zero,11,1
0,ff,test:l1:t0:prandomized:c20:i4,1.4046554497326724e-07,1,0.26396751403808594,zero,11,1
0,sa,test:l1:t0:prandomized:c20:i4,1.947719965755823e-06,2,1.2609939575195312,zero,11,1
0,ff,test:l1:t0:prandomized:c20:i4,1.1701416724463343e-08,2,-0.069671630859375,zero,11,1
0,sa,test:l1:t0:prandomized:c20:i4,2.927224841187126e-06,3,1.7382221221923828,zero,11,1
0,ff,test:l1:t0:prandomized:c20:i4,1.6292960935970768e-06,3,1.1122264862060547,zero,11,1
0,sa,test:l1:t0:prandomized:c20:i4,2.4557061806262936e-07,4,0.3574638366699219,zero,11,1
0,ff,test:l1:t0:prandomized:c20:i4,2.97498104373517e-07,4,0.39754486083984375,zero,11,1
0,sa,test:l1:t0:prandomized:c20:i4,2.4394760202994803e-06,5,1.4957923889160156,zero,11,1
0,ff,test:l1:t0:prandomized:c20:i4,7.246480890898965e-07,5,0.6633644104003906,zero,11,1
0,sa,test:l1:t1:paligned:c40:i8,0.07114255428314209,0,-6.406213760375977,zero,11,1
0,ff,test:l1:t1:paligned:c40:i8,2.1736195776611567e-05,0,-0.38968658447265625,zero,11,1
0,sa,test:l1:t1:paligned:c40:i8,0.0008109345799311996,1,-1.8231239318847656,zero,11,1
0,ff,test:l1:t1:paligned:c40:i8,0.0002449063758831471,1,-1.5245399475097656,zero,11,1
0,sa,test:l1:t1:paligned:c40:i8,0.00013091255095787346,2,1.9246253967285156,zero,11,1
0,ff,test:l1:t1:paligned:c40:i8,5.204386070545297e-06,2,-0.31510353088378906,zero,11,1
0,sa,test:l1:t1:paligned:c40:i8,3.457435013842769e-06,3,0.07418441772460938,zero,11,1
0,ff,test:l1:t1:paligned:c40:i8,1.0974074029945768e-05,3,0.3975028991699219,zero,11,1
0,sa,test:l1:t1:paligned:c40:i8,3.3578624424990267e-05,4,1.053009033203125,zero,11,1
0,ff,test:l1:t1:paligned:c40:i8,7.4803383540711366e-06,4,0.27544403076171875,zero,11,1
0,sa,test:l1:t1:paligned:c40:i8,1.9610954041127115e-05,5,0.7406654357910156,zero,11,1
0,ff,test:l1:t1:paligned:c40:i8,1.5873778465902433e-05,5,0.5588054656982422,zero,11,1
-1,sa,test:l1:t1:prandomized:c0:i13,0.6931180953979492,0,-24.22589111328125,zero,11,1
0,ff,test:l1:t1:prandomized:c0:i13,2.1344449123716913e-06,0,3.716524124145508,zero,11,1
0,sa,test:l1:t1:prandomized:c0:i13,0.001622575568035245,1,-6.498687744140625,zero,11,1
0,ff,test:l1:t1:prandomized:c0:i13,6.268146535148844e-07,1,-0.7008419036865234,zero,11,1
0,sa,test:l1:t1:prandomized:c0:i13,6.580109584319871e-06,2,-1.7400436401367188,zero,11,1
0,ff,test:l1:t1:prandomized:c0:i13,3.987310037700809e-09,2,0.06687545776367188,zero,11,1
0,sa,test:l1:t1:prandomized:c0:i13,2.041102106886683e-06,3,3.3987693786621094,zero,11,1
0,ff,test:l1:t1:prandomized:c0:i13,1.0136711807717802e-06,3,1.5706825256347656,zero,11,1
0,sa,test:l1:t1:prandomized:c0:i13,2.924181217167643e-07,4,0.6755275726318359,zero,11,1
0,ff,test:l1:t1:prandomized:c0:i13,2.4345814608750516e-07,4,0.6059017181396484,zero,11,1
0,sa,test:l1:t1:prandomized:c0:i13,2.3510365281254053e-06,5,4.929069519042969,zero,11,1
0,ff,test:l1:t1:prandomized:c0:i13,5.647525540553033e-07,5,1.0246391296386719,zero,11,1
-1,sa,test:l1:t2:paligned:c20:i17,0.6928458213806152,0,-21.874698638916016,zero,11,1
0,ff,test:l1:t2:paligned:c20:i17,1.371048711007461e-06,0,2.6302566528320312,zero,11,1
0,sa,test:l1:t2:paligned:c20:i17,0.003233350347727537,1,-7.408960342407227,zero,11,1
0,ff,test:l1:t2:paligned:c20:i17,2.0585417814800167e-07,1,0.6273784637451172,zero,11,1
0,sa,test:l1:t2:paligned:c20:i17,5.215822511672741e-07,2,1.131622314453125,zero,11,1
0,ff,test:l1:t2:paligned:c20:i17,4.297241673612007e-09,2,0.07888984680175781,zero,11,1
0,sa,test:l1:t2:paligned:c20:i17,8.250984819824225e-07,3,1.596414566040039,zero,11,1
0,ff,test:l1:t2:paligned:c20:i17,4.7319878149210126e-07,3,1.0591392517089844,zero,11,1
0,sa,test:l1:t2:paligned:c20:i17,7.11822281118657e-08,4,0.34359169006347656,zero,11,1
0,ff,test:l1:t2:paligned:c20:i17,1.1673810718093591e-07,4,0.4521751403808594,zero,11,1
0,sa,test:l1:t2:paligned:c20:i17,9.678738024376798e-07,5,1.8299407958984375,zero,11,1
0,ff,test:l1:t2:paligned:c20:i17,2.2039671421225648e-07,5,0.6533794403076172,zero,11,1
-1,sa,test:l1:t2:prandomized:c45:i22,0.6104215979576111,0,-17.987911224365234,zero,11,1
0,ff,test:l1:t2:prandomized:c45:i22,8.37964364563959e-08,0,3.1196556091308594,zero,11,1
-1,sa,test:l1:t2:prandomized:c45:i22,0.3248405456542969,1,-15.726753234863281,zero,11,1
0,ff,test:l1:t2:prandomized:c45:i22,3.856246877376179e-08,1,1.4217185974121094,zero,11,1
0,sa,test:l1:t2:prandomized:c45:i22,7.79528050998124e-08,2,-1.0816593170166016,zero,11,1
0,ff,test:l1:t2:prandomized:c45:i22,1.8575871507664488e-08,2,0.8571014404296875,zero,11,1
0,sa,test:l1:t2:prandomized:c45:i22,1.813372563219673e-08,3,0.8400344848632812,zero,11,1
0,ff,test:l1:t2:prandomized:c45:i22,7.782103850217936e-09,3,0.5061264038085938,zero,11,1
0,sa,test:l1:t2:prandomized:c45:i22,1.7787765926868815e-08,4,0.830780029296875,zero,11,1
0,ff,test:l1:t2:prandomized:c45:i22,1.4991208274750534e-08,4,0.7486820220947266,zero,11,1
0,sa,test:l1:t2:prandomized:c45:i22,4.8017334108863e-08,5,1.6931610107421875,zero,11,1
0,ff,test:l1:t2:prandomized:c45:i22,1.3338233628701346e-08,5,0.6965427398681641,zero,11,1
-1,sa,test:l1:t3:paligned:c0:i26,0.6928030252456665,0,-21.434200286865234,zero,11,1
0,ff,test:l1:t3:paligned:c0:i26,1.87406715213001e-06,0,2.7075252532958984,zero,11,1
0,sa,test:l1:t3:paligned:c0:i26,0.010147109627723694,1,-8.272193908691406,zero,11,1
0,ff,test:l1:t3:paligned:c0:i26,2.8373193572406308e-08,1,0.1776885986328125,zero,11,1
0,sa,test:l1:t3:paligned:c0:i26,5.818033059767913e-07,2,-0.6577644348144531,zero,11,1
0,ff,test:l1:t3:paligned:c0:i26,3.7079558978803107e-08,2,0.2072601318359375,zero,11,1
0,sa,test:l1:t3:paligned:c0:i26,1.454833409297862e-06,3,2.0429134368896484,zero,11,1
0,ff,test:l1:t3:paligned:c0:i26,8.068431611718552e-07,3,1.256521224975586,zero,11,1
0,sa,test:l1:t3:paligned:c0:i26,1.5676374687245698e-07,4,0.4532794952392578,zero,11,1
0,ff,test:l1:t3:paligned:c0:i26,1.53363146182528e-07,4,0.44790077209472656,zero,11,1
0,sa,test:l1:t3:paligned:c0:i26,2.4353546450583963e-06,5,4.435417175292969,zero,11,1
0,ff,test:l1:t3:paligned:c0:i26,3.7629621374435374e-07,5,0.7582263946533203,zero,11,1
0,sa,test:l1:t3:prandomized:c25:i31,5.544942268898012e-06,0,-10.18228530883789,zero,11,1
0,ff,test:l1:t3:prandomized:c25:i31,2.0956529567239812e-10,0,2.6702327728271484,zero,11,1
-1,sa,test:l1:t3:prandomized:c25:i31,0.47802823781967163,1,-23.0189151763916,zero,11,1
0,ff,test:l1:t3:prandomized:c25:i31,1.725999898560815e-10,1,3.2208175659179688,zero,11,1
0,sa,test:l1:t3:prandomized:c25:i31,9.476952556042306e-11,2,-0.8646488189697266,zero,11,1
0,ff,test:l1:t3:prandomized:c25:i31,4.427121863548322e-11,2,0.9747676849365234,zero,11,1
0,sa,test:l1:t3:prandomized:c25:i31,5.281327675535352e-14,3,-0.0039520263671875,zero,11,1
0,ff,test:l1:t3:prandomized:c25:i31,4.246946544439467e-12,3,0.2523994445800781,zero,11,1
0,sa,test:l1:t3:prandomized:c25:i31,2.596155929124322e-12,4,0.16658592224121094,zero,11,1
0,ff,test:l1:t3:prandomized:c25:i31,3.411773641381899e-11,4,0.8142070770263672,zero,11,1
0,sa,test:l1:t3:prandomized:c25:i31,3.948603249925853e-11,5,0.8910312652587891,zero,11,1
0,ff,test:l1:t3:prandomized:c25:i31,3.012767813004302e-11,5,0.7629909515380859,zero,11,1
0,sa,test:l1:t0:paligned:c0:i0,7.453087891917676e-05,0,-5.833263397216797,mean,11,1
0,sa,test:l1:t0:prandomized:c20:i4,0.0009188144467771053,0,-5.026790618896484,mean,11,1
0,sa,test:l1:t1:paligned:c40:i8,0.0005731745040975511,0,-1.4290637969970703,mean,11,1
0,sa,test:l1:t1:prandomized:c0:i13,3.675117113743909e-05,0,-2.9709644317626953,mean,11,1
0,sa,test:l1:t2:paligned:c20:i17,0.0003381588030606508,0,-5.184181213378906,mean,11,1
-1,sa,test:l1:t2:prandomized:c45:i22,0.22424353659152985,0,-15.052186965942383,mean,11,1
0,sa,test:l1:t3:paligned:c0:i26,4.6901997848181054e-05,0,-3.1193904876708984,mean,11,1
0,sa,test:l1:t3:prandomized:c25:i31,0.003947276622056961,0,-16.75796127319336,mean,11,1
0,ff,test:l1:t0:paligned:c0:i0,4.968545908923261e-05,0,-5.436563491821289,mean,11,1
0,ff,test:l1:t0:prandomized:c20:i4,3.6022236599819735e-05,0,-2.2426795959472656,mean,11,1
0,ff,test:l1:t1:paligned:c40:i8,0.0001253175432793796,0,2.1785240173339844,mean,11,1
0,ff,test:l1:t1:prandomized:c0:i13,1.6417020560766105e-06,0,-1.0129451751708984,mean,11,1
0,ff,test:l1:t2:paligned:c20:i17,2.4133669285220094e-08,0,0.18993568420410156,mean,11,1
0,ff,test:l1:t2:prandomized:c45:i22,4.0977793105412275e-06,0,-3.7889156341552734,mean,11,1
0,ff,test:l1:t3:paligned:c0:i26,7.353585715463851e-06,0,-1.7639884948730469,mean,11,1
0,ff,test:l1:t3:prandomized:c25:i31,3.915607837967627e-09,0,-3.160982131958008,mean,11,1
0,sa,test:l1:t0:paligned:c0:i0,0.001291898312047124,1,-8.664361953735352,mean,11,1
0,sa,test:l1:t0:prandomized:c20:i4,0.003705538110807538,1,-6.391010284423828,mean,11,1
0,sa,test:l1:t1:paligned:c40:i8,0.0002002491819439456,1,0.06976509094238281,mean,11,1
0,sa,test:l1:t1:prandomized:c0:i13,0.000510031939484179,1,-5.361736297607422,mean,11,1
0,sa,test:l1:t2:paligned:c20:i17,0.0010423469357192516,1,-6.284029006958008,mean,11,1
-1,sa,test:l1:t2:prandomized:c45:i22,0.5810189247131348,1,-17.78194236755371,mean,11,1
0,sa,test:l1:t3:paligned:c0:i26,0.0012346790172159672,1,-6.1657562255859375,mean,11,1
-1,sa,test:l1:t3:prandomized:c25:i31,0.49559348821640015,1,-23.160573959350586,mean,11,1
0,ff,test:l1:t0:paligned:c0:i0,6.942670438547793e-09,1,-0.27105140686035156,mean,11,1
0,ff,test:l1:t0:prandomized:c20:i4,7.69625785324024e-09,1,0.058116912841796875,mean,11,1
0,ff,test:l1:t1:paligned:c40:i8,1.473695760978444e-06,1,-0.1642913818359375,mean,11,1
0,ff,test:l1:t1:prandomized:c0:i13,6.315633527265163e-08,1,-0.24720001220703125,mean,11,1
0,ff,test:l1:t2:paligned:c20:i17,1.0469651101630006e-07,1,0.42539405822753906,mean,11,1
0,ff,test:l1:t2:prandomized:c45:i22,2.499440370229422e-07,1,-1.6709232330322266,mean,11,1
0,ff,test:l1:t3:paligned:c0:i26,1.4816282600804698e-07,1,-0.35947608947753906,mean,11,1
0,ff,test:l1:t3:prandomized:c25:i31,2.7052995260623547e-12,1,0.1919384002685547,mean,11,1
0,sa,test:l1:t0:paligned:c0:i0,1.4262052445701556e-06,2,-2.3249359130859375,mean,11,1
0,sa,test:l1:t0:prandomized:c20:i4,2.161042857551365e-06,2,1.3627758026123047,mean,11,1
0,sa,test:l1:t1:paligned:c40:i8,0.00013108618441037834,2,2.915172576904297,mean,11,1
0,sa,test:l1:t1:prandomized:c0:i13,2.013008725043619e-06,2,-1.1286067962646484,mean,11,1
0,sa,test:l1:t2:paligned:c20:i17,5.273381020742818e-07,2,1.1409950256347656,mean,11,1
0,sa,test:l1:t2:prandomized:c45:i22,9.615600760071175e-09,2,-0.438720703125,mean,11,1
0,sa,test:l1:t3:paligned:c0:i26,1.163857177743921e-06,2,-0.8832550048828125,mean,11,1
0,sa,test:l1:t3:prandomized:c25:i31,2.0227109917558828e-12,2,-0.02399444580078125,mean,11,1
0,ff,test:l1:t0:paligned:c0:i0,4.451791824067186e-09,2,-0.22183609008789062,mean,11,1
0,ff,test:l1:t0:prandomized:c20:i4,1.1180782166775316e-07,2,-0.20951271057128906,mean,11,1
0,ff,test:l1:t1:paligned:c40:i8,6.960169685044093e-08,2,0.023462295532226562,mean,11,1
0,ff,test:l1:t1:prandomized:c0:i13,1.0033528496933286e-07,2,-0.30956268310546875,mean,11,1
0,ff,test:l1:t2:paligned:c20:i17,1.228303858624713e-08,2,-0.126922607421875,mean,11,1
0,ff,test:l1:t2:prandomized:c45:i22,4.908938677772312e-08,2,-0.9001731872558594,mean,11,1
0,ff,test:l1:t3:paligned:c0:i26,4.642234330276551e-08,2,-0.20914649963378906,mean,11,1
0,ff,test:l1:t3:prandomized:c25:i31,1.76988104727549e-10,2,-1.1470985412597656,mean,11,1
0,sa,test:l1:t0:paligned:c0:i0,8.23231971480709e-09,3,-0.2957954406738281,mean,11,1
0,sa,test:l1:t0:prandomized:c20:i4,2.073841187666403e-07,3,-0.28031158447265625,mean,11,1
0,sa,test:l1:t1:paligned:c40:i8,1.286046790482942e-05,3,0.6247711181640625,mean,11,1
0,sa,test:l1:t1:prandomized:c0:i13,5.487693215400213e-07,3,1.0050773620605469,mean,11,1
0,sa,test:l1:t2:paligned:c20:i17,1.6082515230664285e-07,3,-0.4261493682861328,mean,11,1
0,sa,test:l1:t2:prandomized:c45:i22,6.290301612921212e-11,3,0.00971221923828125,mean,11,1
0,sa,test:l1:t3:paligned:c0:i26,1.98758414171607e-08,3,-0.13904762268066406,mean,11,1
0,sa,test:l1:t3:prandomized:c25:i31,3.242044827045376e-11,3,-0.5670108795166016,mean,11,1
0,ff,test:l1:t0:paligned:c0:i0,1.529883775219787e-09,3,-0.1327648162841797,mean,11,1
0,ff,test:l1:t0:prandomized:c20:i4,3.994742314716859e-09,3,-0.04125404357910156,mean,11,1
0,ff,test:l1:t1:paligned:c40:i8,4.385527518024901e-06,3,0.29451751708984375,mean,11,1
0,ff,test:l1:t1:prandomized:c0:i13,2.0091675878575188e-08,3,0.15563392639160156,mean,11,1
0,ff,test:l1:t2:paligned:c20:i17,2.6062053848363576e-08,3,-0.18235015869140625,mean,11,1
0,ff,test:l1:t2:prandomized:c45:i22,1.5582894974386363e-09,3,-0.19149398803710938,mean,11,1
0,ff,test:l1:t3:paligned:c0:i26,1.943251959346526e-08,3,-0.13768959045410156,mean,11,1
0,ff,test:l1:t3:prandomized:c25:i31,9.387504662505819e-12,3,-0.32302284240722656,mean,11,1
0,sa,test:l1:t0:paligned:c0:i0,2.23662688370041e-09,4,-0.15975570678710938,mean,11,1
0,sa,test:l1:t0:prandomized:c20:i4,1.5903117400739575e-07,4,-0.247467041015625,mean,11,1
0,sa,test:l1:t1:paligned:c40:i8,7.979148904269096e-06,4,0.3815135955810547,mean,11,1
0,sa,test:l1:t1:prandomized:c0:i13,2.1886734202780644e-08,4,-0.15041542053222656,mean,11,1
0,sa,test:l1:t2:paligned:c20:i17,5.682562687070458e-08,4,-0.26380348205566406,mean,11,1
0,sa,test:l1:t2:prandomized:c45:i22,3.308635143639549e-09,4,-0.2733001708984375,mean,11,1
0,sa,test:l1:t3:paligned:c0:i26,1.7801374951886828e-07,4,-0.39129066467285156,mean,11,1
0,sa,test:l1:t3:prandomized:c25:i31,5.7260154950888875e-11,4,-0.7246608734130859,mean,11,1
0,ff,test:l1:t0:paligned:c0:i0,1.0795275784403202e-08,4,-0.3359031677246094,mean,11,1
