architecture,diagnostic_extrapolation_gap,easy_mean_accuracy,hard_mean_accuracy,hard_worst_seed_accuracy,predicate,status
baseline,0.20756172839506176,0.26851851851851855,0.06095679012345679,0.05555555555555555,ancestor_k,observed_1x_diagnostic_gap
baseline,0.14930555555555555,0.22916666666666666,0.0798611111111111,0.07291666666666667,grandparent,observed_1x_diagnostic_gap
baseline,0.04629629629629628,0.7222222222222222,0.6759259259259259,0.49537037037037035,isAncestor,observed_1x_diagnostic_gap
baseline,0.16666666666666669,0.2638888888888889,0.09722222222222221,0.0625,parent,observed_1x_diagnostic_gap
baseline,0.17592592592592593,0.24537037037037038,0.06944444444444445,0.041666666666666664,root,observed_1x_diagnostic_gap
deep_narrow_match,0.22376543209876545,0.2777777777777778,0.05401234567901234,0.037037037037037035,ancestor_k,observed_1x_diagnostic_gap
deep_narrow_match,0.10416666666666666,0.16319444444444445,0.05902777777777778,0.041666666666666664,grandparent,observed_1x_diagnostic_gap
deep_narrow_match,0.08024691358024683,0.7384259259259259,0.6581790123456791,0.5,isAncestor,observed_1x_diagnostic_gap
deep_narrow_match,0.1840277777777778,0.3298611111111111,0.14583333333333331,0.052083333333333336,parent,observed_1x_diagnostic_gap
deep_narrow_match,0.09722222222222224,0.1388888888888889,0.041666666666666664,0.027777777777777776,root,observed_1x_diagnostic_gap
depth8,0.23688271604938269,0.29398148148148145,0.05709876543209876,0.05092592592592592,ancestor_k,observed_1x_diagnostic_gap
depth8,0.18055555555555558,0.25,0.06944444444444443,0.052083333333333336,grandparent,observed_1x_diagnostic_gap
depth8,0.06635802469135799,0.9351851851851851,0.8688271604938271,0.7592592592592593,isAncestor,observed_1x_diagnostic_gap
depth8,0.14236111111111108,0.2708333333333333,0.12847222222222224,0.09375,parent,observed_1x_diagnostic_gap
depth8,0.16666666666666669,0.20833333333333334,0.041666666666666664,0.027777777777777776,root,observed_1x_diagnostic_gap
heads2,0.24845679012345678,0.3125,0.0640432098765432,0.05092592592592592,ancestor_k,observed_1x_diagnostic_gap
heads2,0.17708333333333331,0.2673611111111111,0.09027777777777779,0.07291666666666667,grandparent,observed_1x_diagnostic_gap
heads2,-0.003086419753086378,0.4930555555555556,0.49614197530864196,0.49537037037037035,isAncestor,observed_1x_diagnostic_gap
heads2,0.1840277777777778,0.2743055555555556,0.09027777777777779,0.052083333333333336,parent,observed_1x_diagnostic_gap
heads2,0.17592592592592593,0.2638888888888889,0.08796296296296297,0.06944444444444445,root,observed_1x_diagnostic_gap
heads8,0.23225308641975312,0.28472222222222227,0.05246913580246914,0.046296296296296294,ancestor_k,observed_1x_diagnostic_gap
heads8,0.16666666666666663,0.24652777777777776,0.07986111111111112,0.07291666666666667,grandparent,observed_1x_diagnostic_gap
heads8,0.05246913580246915,0.8796296296296297,0.8271604938271605,0.6111111111111112,isAncestor,observed_1x_diagnostic_gap
heads8,0.15972222222222224,0.23958333333333334,0.0798611111111111,0.041666666666666664,parent,observed_1x_diagnostic_gap
heads8,0.18518518518518517,0.28703703703703703,0.10185185185185186,0.06944444444444445,root,observed_1x_diagnostic_gap
shallow_wide_match,0.220679012345679,0.28703703703703703,0.06635802469135803,0.06481481481481481,ancestor_k,observed_1x_diagnostic_gap
shallow_wide_match,0.15277777777777773,0.23611111111111108,0.08333333333333333,0.052083333333333336,grandparent,observed_1x_diagnostic_gap
shallow_wide_match,-0.010802469135802406,0.6527777777777778,0.6635802469135802,0.4976851851851852,isAncestor,observed_1x_diagnostic_gap
shallow_wide_match,0.16666666666666669,0.2638888888888889,0.09722222222222222,0.07291666666666667,parent,observed_1x_diagnostic_gap
shallow_wide_match,0.125,0.24537037037037038,0.12037037037037036,0.08333333333333333,root,observed_1x_diagnostic_gap
width128,0.21373456790123457,0.28935185185185186,0.07561728395061729,0.0625,ancestor_k,observed_1x_diagnostic_gap
width128,0.14930555555555552,0.23263888888888887,0.08333333333333333,0.07291666666666667,grandparent,observed_1x_diagnostic_gap
width128,0.07253086419753085,0.7708333333333334,0.6983024691358025,0.5,isAncestor,observed_1x_diagnostic_gap
width128,0.16319444444444442,0.25,0.08680555555555557,0.052083333333333336,parent,observed_1x_diagnostic_gap
width128,0.15740740740740738,0.24074074074074073,0.08333333333333333,0.013888888888888888,root,observed_1x_diagnostic_gap
